"aar","bydel_id","innvkat_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_id","naringsregion_id","kommune_id"
"2013","000301","alle","alle","personer","14633","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","alle","alle","prosent","4.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","personer","5617","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","prosent","2.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","1","personer","2536","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","1","prosent","6.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","2","personer","6480","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","2","prosent","12.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","personer","9016","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","prosent","9.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","alle","alle","personer","1516","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","5.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","personer","512","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","prosent","2.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","1","personer","261","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","1","prosent","7.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","2","personer","743","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","2","prosent","15.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","personer","1004","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","prosent","11.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","alle","alle","personer","1532","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","alle","alle","prosent","4.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","alle","personer","584","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","alle","prosent","2.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","innvandrere","1","personer","344","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","innvandrere","1","prosent","6.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","innvandrere","2","personer","604","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","innvandrere","2","prosent","13.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","innvandrere","alle","personer","948","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030102","innvandrere","alle","prosent","10.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","alle","alle","personer","830","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","alle","alle","prosent","3.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","befolkningen_ellers","alle","personer","359","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","befolkningen_ellers","alle","prosent","1.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","innvandrere","1","personer","144","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","innvandrere","1","prosent","5.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","innvandrere","2","personer","327","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","innvandrere","2","prosent","14.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","innvandrere","alle","personer","471","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","030103","innvandrere","alle","prosent","9.9","arbledige_innvkat_land","NULL","NULL","NULL"
