"aar","bydel_id","spraak","bhgalder","enhet","tabellvariabel","tabell_navn","barnikommune","naringsregion_id","kommune_id","fylke_id"
"2013","030101","alle","1-5","personer","2805","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","alle","1-5","prosent","79.2","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","1","personer","76","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","2","personer","188","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","3","personer","201","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","4","personer","261","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","5","personer","220","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","1-5","personer","946","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","1-5","prosent","71.4","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","ikke_minoritet","1-5","personer","1859","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","NULL","1-5","personer","3540","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030101","NULL","1","personer","287","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","2","personer","269","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","3","personer","271","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","4","personer","272","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","5","personer","226","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","1-5","personer","1325","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","1-5","personer","2215","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030102","alle","1-5","personer","2665","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","alle","1-5","prosent","85.6","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","1","personer","62","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","2","personer","154","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","3","personer","154","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","4","personer","168","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","5","personer","168","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","1-5","personer","706","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","1-5","prosent","68.6","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","ikke_minoritet","1-5","personer","1959","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","NULL","1-5","personer","3112","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030102","NULL","1","personer","228","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","2","personer","229","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","3","personer","202","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","4","personer","190","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","5","personer","180","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","1-5","personer","1029","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","1-5","personer","2083","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030103","alle","1-5","personer","2141","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","alle","1-5","prosent","90.5","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","1","personer","43","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","2","personer","86","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","3","personer","104","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","4","personer","92","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","5","personer","98","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","1-5","personer","423","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","1-5","prosent","69","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","ikke_minoritet","1-5","personer","1718","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","NULL","1-5","personer","2365","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030103","NULL","1","personer","126","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030103","NULL","2","personer","135","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
