"aar","fylke_id","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_id","5","samf_tilsk","naringsregion_id"
"2011","01","totalt","kroner","182774235.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","inttilsk_1-5","kroner","157844400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","inttilsk_1","kroner","41070000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","inttilsk_2-5","kroner","116774400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","funkhem","kroner","8430048.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","em_tilsk","kroner","12614187.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","barnehage_tilsk","kroner","393300.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","eldre_tilsk","kroner","550800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","01","skole_tilsk","kroner","2941500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","totalt","kroner","371602196.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","inttilsk_1-5","kroner","317229375.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","inttilsk_1","kroner","91923200.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","inttilsk_2-5","kroner","225306175.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","funkhem","kroner","23232625.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","em_tilsk","kroner","23889896.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","barnehage_tilsk","kroner","683100.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","eldre_tilsk","kroner","1513700.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","02","skole_tilsk","kroner","5053500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","totalt","kroner","432915367.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","inttilsk_1-5","kroner","390271188.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","inttilsk_1","kroner","116689000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","inttilsk_2-5","kroner","273582188.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","funkhem","kroner","9040709.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","em_tilsk","kroner","26050170.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","barnehage_tilsk","kroner","972900.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","eldre_tilsk","kroner","1198900.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","03","skole_tilsk","kroner","5381500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","totalt","kroner","196552255.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","inttilsk_1-5","kroner","166242320.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","inttilsk_1","kroner","53889620.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","inttilsk_2-5","kroner","112352700.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","funkhem","kroner","14962511.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","em_tilsk","kroner","11442824.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","barnehage_tilsk","kroner","848700.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","eldre_tilsk","kroner","138700.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","04","skole_tilsk","kroner","2917200.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","totalt","kroner","208576389.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","inttilsk_1-5","kroner","182322800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","inttilsk_1","kroner","54082500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","inttilsk_2-5","kroner","128240300.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","funkhem","kroner","12141473.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","em_tilsk","kroner","10120916.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","barnehage_tilsk","kroner","703800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","eldre_tilsk","kroner","550800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","05","skole_tilsk","kroner","2736600.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","totalt","kroner","242328918.50","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","inttilsk_1-5","kroner","210594600.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","inttilsk_1","kroner","62604500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","inttilsk_2-5","kroner","147990100.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","funkhem","kroner","11540312.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","em_tilsk","kroner","15633606.50","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","barnehage_tilsk","kroner","952200.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","eldre_tilsk","kroner","273400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","06","skole_tilsk","kroner","3334800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","totalt","kroner","158888812.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","inttilsk_1-5","kroner","130737400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","inttilsk_1","kroner","32592500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","inttilsk_2-5","kroner","98144900.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","funkhem","kroner","8516377.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","em_tilsk","kroner","16460835.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","barnehage_tilsk","kroner","372600.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","eldre_tilsk","kroner","348800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","07","skole_tilsk","kroner","2452800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","totalt","kroner","241103610.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","inttilsk_1-5","kroner","205278475.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","inttilsk_1","kroner","61682500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","inttilsk_2-5","kroner","143595975.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","funkhem","kroner","14364056.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","em_tilsk","kroner","17099279.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","barnehage_tilsk","kroner","848700.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","eldre_tilsk","kroner","689500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","08","skole_tilsk","kroner","2823600.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","totalt","kroner","143414870.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","inttilsk_1-5","kroner","120811325.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","inttilsk_1","kroner","26912500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","inttilsk_2-5","kroner","93898825.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","funkhem","kroner","8389580.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","em_tilsk","kroner","11728965.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","barnehage_tilsk","kroner","289800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","eldre_tilsk","kroner","138700.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","09","skole_tilsk","kroner","2056500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","totalt","kroner","229104447.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","inttilsk_1-5","kroner","198927500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","inttilsk_1","kroner","52670000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","inttilsk_2-5","kroner","146257500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","funkhem","kroner","9066990.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","em_tilsk","kroner","16025357.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","barnehage_tilsk","kroner","792900.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","eldre_tilsk","kroner","693500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","10","skole_tilsk","kroner","3598200.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","totalt","kroner","308213867.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","inttilsk_1-5","kroner","273148582.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","inttilsk_1","kroner","74634182.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","inttilsk_2-5","kroner","198514400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","funkhem","kroner","14395400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","em_tilsk","kroner","15234585.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","barnehage_tilsk","kroner","1035000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","11","eldre_tilsk","kroner","412100.00","tilskudd","NULL","NULL","NULL","NULL"
