"aar","bydel_id","spraak","enhet","tabellvariabel","tabell_navn","fylke_id","naringsregion_id","kommune_id"
"2013","000301","alle","personer","4966","voksne_videregaende","NULL","NULL","NULL"
"2013","000301","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","000301","minoritet","personer","2998","voksne_videregaende","NULL","NULL","NULL"
"2013","000301","minoritet","prosent","60.4","voksne_videregaende","NULL","NULL","NULL"
"2013","000301","ikke_minoritet","personer","1968","voksne_videregaende","NULL","NULL","NULL"
"2013","000301","ikke_minoritet","prosent","39.6","voksne_videregaende","NULL","NULL","NULL"
"2013","030101","alle","personer","541","voksne_videregaende","NULL","NULL","NULL"
"2013","030101","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030101","minoritet","personer","327","voksne_videregaende","NULL","NULL","NULL"
"2013","030101","minoritet","prosent","60.4","voksne_videregaende","NULL","NULL","NULL"
"2013","030101","ikke_minoritet","personer","214","voksne_videregaende","NULL","NULL","NULL"
"2013","030101","ikke_minoritet","prosent","39.6","voksne_videregaende","NULL","NULL","NULL"
"2013","030102","alle","personer","528","voksne_videregaende","NULL","NULL","NULL"
"2013","030102","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030102","minoritet","personer","272","voksne_videregaende","NULL","NULL","NULL"
"2013","030102","minoritet","prosent","51.5","voksne_videregaende","NULL","NULL","NULL"
"2013","030102","ikke_minoritet","personer","256","voksne_videregaende","NULL","NULL","NULL"
"2013","030102","ikke_minoritet","prosent","48.5","voksne_videregaende","NULL","NULL","NULL"
"2013","030103","alle","personer","337","voksne_videregaende","NULL","NULL","NULL"
"2013","030103","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030103","minoritet","personer","180","voksne_videregaende","NULL","NULL","NULL"
"2013","030103","minoritet","prosent","53.4","voksne_videregaende","NULL","NULL","NULL"
"2013","030103","ikke_minoritet","personer","157","voksne_videregaende","NULL","NULL","NULL"
"2013","030103","ikke_minoritet","prosent","46.6","voksne_videregaende","NULL","NULL","NULL"
"2013","030104","alle","personer","293","voksne_videregaende","NULL","NULL","NULL"
"2013","030104","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030104","minoritet","personer","132","voksne_videregaende","NULL","NULL","NULL"
"2013","030104","minoritet","prosent","45.1","voksne_videregaende","NULL","NULL","NULL"
"2013","030104","ikke_minoritet","personer","161","voksne_videregaende","NULL","NULL","NULL"
"2013","030104","ikke_minoritet","prosent","54.9","voksne_videregaende","NULL","NULL","NULL"
"2013","030105","alle","personer","364","voksne_videregaende","NULL","NULL","NULL"
"2013","030105","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030105","minoritet","personer","176","voksne_videregaende","NULL","NULL","NULL"
"2013","030105","minoritet","prosent","48.4","voksne_videregaende","NULL","NULL","NULL"
"2013","030105","ikke_minoritet","personer","188","voksne_videregaende","NULL","NULL","NULL"
"2013","030105","ikke_minoritet","prosent","51.6","voksne_videregaende","NULL","NULL","NULL"
"2013","030106","alle","personer","135","voksne_videregaende","NULL","NULL","NULL"
"2013","030106","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030106","minoritet","personer","86","voksne_videregaende","NULL","NULL","NULL"
"2013","030106","minoritet","prosent","63.7","voksne_videregaende","NULL","NULL","NULL"
"2013","030106","ikke_minoritet","personer","49","voksne_videregaende","NULL","NULL","NULL"
"2013","030106","ikke_minoritet","prosent","36.3","voksne_videregaende","NULL","NULL","NULL"
"2013","030107","alle","personer","200","voksne_videregaende","NULL","NULL","NULL"
"2013","030107","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030107","minoritet","personer","113","voksne_videregaende","NULL","NULL","NULL"
"2013","030107","minoritet","prosent","56.5","voksne_videregaende","NULL","NULL","NULL"
"2013","030107","ikke_minoritet","personer","87","voksne_videregaende","NULL","NULL","NULL"
"2013","030107","ikke_minoritet","prosent","43.5","voksne_videregaende","NULL","NULL","NULL"
"2013","030108","alle","personer","218","voksne_videregaende","NULL","NULL","NULL"
"2013","030108","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030108","minoritet","personer","120","voksne_videregaende","NULL","NULL","NULL"
"2013","030108","minoritet","prosent","55","voksne_videregaende","NULL","NULL","NULL"
"2013","030108","ikke_minoritet","personer","98","voksne_videregaende","NULL","NULL","NULL"
"2013","030108","ikke_minoritet","prosent","45","voksne_videregaende","NULL","NULL","NULL"
"2013","030109","alle","personer","256","voksne_videregaende","NULL","NULL","NULL"
"2013","030109","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030109","minoritet","personer","196","voksne_videregaende","NULL","NULL","NULL"
"2013","030109","minoritet","prosent","76.6","voksne_videregaende","NULL","NULL","NULL"
"2013","030109","ikke_minoritet","personer","60","voksne_videregaende","NULL","NULL","NULL"
"2013","030109","ikke_minoritet","prosent","23.4","voksne_videregaende","NULL","NULL","NULL"
"2013","030110","alle","personer","293","voksne_videregaende","NULL","NULL","NULL"
"2013","030110","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030110","minoritet","personer","207","voksne_videregaende","NULL","NULL","NULL"
"2013","030110","minoritet","prosent","70.6","voksne_videregaende","NULL","NULL","NULL"
"2013","030110","ikke_minoritet","personer","86","voksne_videregaende","NULL","NULL","NULL"
"2013","030110","ikke_minoritet","prosent","29.4","voksne_videregaende","NULL","NULL","NULL"
