Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0101 Halden;101;Halden;1393;1593;738;746;655;847;1931;595;397;31;32;530;273;557;571;31;595;397;32
0104 Moss;104;Moss;1851;2716;1063;1290;788;1426;2213;1588;594;56;116;546;271;977;419;56;1588;594;116
0105 Sarpsborg;105;Sarpsborg;2691;4228;1578;2026;1113;2202;4048;2079;631;57;104;694;300;1640;1414;57;2079;631;104
0106 Fredrikstad;106;Fredrikstad;3770;5632;2184;2730;1586;2902;4947;3012;1179;107;157;1177;597;1885;1288;107;3012;1179;157
0111 Hvaler;111;Hvaler;130;103;69;41;61;62;140;49;25;9;10;41;33;47;19;9;49;25;10
0118 Aremark;118;Aremark;28;12;16;0;12;12;32;8;0;0;0;14;9;5;4;0;8;0;0
0119 Marker;119;Marker;164;105;70;51;94;54;190;46;25;5;3;83;27;49;31;5;46;25;3
0121 Rõmskog;121;Rõmskog;41;6;20;3;21;3;44;3;0;0;0;21;16;4;3;0;3;0;0
