"Nëringsregion 
nr & navn";naringsregion_nr;"Nëringsregion
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
01 Halden;1;Halden;1393;1593;738;746;655;847;1931;595;397;31;32;530;273;557;571;31;595;397;32
02 Indre ùstfold;2;Indre ùstfold;3666;3341;2135;1535;1531;1806;4487;1787;513;75;145;794;488;2310;895;75;1787;513;145
03 Mosseregionen;3;Mosseregionen;3449;3690;2020;1721;1429;1969;3981;2175;713;90;180;918;513;1926;624;90;2175;713;180
04 Nedre Glomma;4;Nedre Glomma;6591;9963;3831;4797;2760;5166;9135;5140;1835;173;271;1912;930;3572;2721;173;5140;1835;271
05 Akershus Vest;5;Akershus Vest;14878;12735;8164;5729;6714;7006;16017;7746;2220;858;771;3932;3295;6791;1999;858;7746;2220;771
06 Follo;6;Follo;8544;7607;4728;3574;3816;4033;9486;4123;1685;361;494;2637;2077;3466;1306;361;4123;1685;494
07 Nedre Romerike;7;Nedre Romerike;11102;13895;6750;6523;4352;7372;12505;9983;1711;253;542;2667;1831;6348;1659;253;9983;1711;542
08 ùvre Romerike;8;ùvre Romerike;6456;5119;3842;2238;2614;2881;7298;3179;616;138;343;1646;914;3759;979;138;3179;616;343
