Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0101 Halden;101;Halden;2 098;400;1091;593;14;1031;284;558;182;7;1067;116;533;411;7
0104 Moss;104;Moss;3 398;729;1540;1073;56;1769;567;798;376;28;1629;162;742;697;28
0105 Sarpsborg;105;Sarpsborg;5 641;1150;3093;1372;26;2996;939;1628;417;12;2645;211;1465;955;14
0106 Fredrikstad;106;Fredrikstad;7 359;1548;4173;1597;41;3955;1221;2182;534;18;3404;327;1991;1063;23
0111 Hvaler;111;Hvaler;156;36;61;59;0;76;24;35;17;0;80;12;26;42;0
0118 Aremark;118;Aremark;21;5;0;16;0;8;5;0;3;0;13;0;0;13;0
0119 Marker;119;Marker;173;35;73;59;6;86;26;42;15;3;87;9;31;44;3
0121 Rømskog;121;Rømskog;25;10;3;9;3;13;7;3;3;0;12;3;0;6;3
0122 Trøgstad;122;Trøgstad;359;165;58;133;3;207;134;36;34;3;152;31;22;99;0
0123 Spydeberg;123;Spydeberg;434;135;165;127;7;235;107;87;38;3;199;28;78;89;4
0124 Askim;124;Askim;1 757;342;879;523;13;916;271;450;189;6;841;71;429;334;7
0125 Eidsberg;125;Eidsberg;1 203;339;465;387;12;645;269;240;131;5;558;70;225;256;7
0127 Skiptvet;127;Skiptvet;287;123;59;102;3;167;98;29;37;3;120;25;30;65;0
0128 Rakkestad;128;Rakkestad;758;243;326;186;3;431;200;168;63;0;327;43;158;123;3
0135 Råde;135;Råde;468;205;120;140;3;288;172;63;50;3;180;33;57;90;0
0136 Rygge;136;Rygge;1 054;340;348;357;9;558;265;186;102;5;496;75;162;255;4
0137 Våler;137;Våler (Østf.);368;179;49;137;3;210;146;25;39;0;158;33;24;98;3
0138 Hobøl;138;Hobøl;514;229;102;177;6;286;177;60;46;3;228;52;42;131;3
0211 Vestby;211;Vestby;1 311;370;499;428;14;701;284;271;140;6;610;86;228;288;8
0213 Ski;213;Ski;2 590;616;1209;746;19;1408;495;632;272;9;1182;121;577;474;10
0214 Ås;214;Ås;1 849;650;563;611;25;1038;475;313;238;12;811;175;250;373;13
0215 Frogn;215;Frogn;886;298;250;325;13;467;213;135;112;7;419;85;115;213;6
0216 Nesodden;216;Nesodden;1 249;432;349;452;16;671;311;172;180;8;578;121;177;272;8
0217 Oppegård;217;Oppegård;1 831;499;767;552;13;987;389;394;199;5;844;110;373;353;8
0219 Bærum;219;Bærum;12 834;4790;4176;3742;126;7083;3619;2141;1268;55;5751;1171;2035;2474;71
0220 Asker;220;Asker;6 168;2226;1983;1896;63;3402;1692;1040;636;34;2766;534;943;1260;29
0221 Aurskog-Høland;221;Aurskog-Høland;1 136;519;169;436;12;651;415;93;135;8;485;104;76;301;4
0226 Sørum;226;Sørum;1 640;707;377;539;17;935;544;200;179;12;705;163;177;360;5
0227 Fet;227;Fet;985;453;222;299;11;564;350;111;97;6;421;103;111;202;5
