Bydel nr ;bydel_nr;"Bydel.
navn";botid_5.alle;botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0301 Oslo;301;Oslo kommune;151722;49689;27039;74994;0;57548;29150;11940;16458;0;94174;20539;15099;58536;0
01 Gamle Oslo               ;30101;Gamle Oslo;14245;4612;2464;7169;0;4877;2694;1008;1175;0;9368;1918;1456;5994;0
02 Grünerløkka              ;30102;Grünerløkka;14715;6149;2812;5754;0;6661;4047;1429;1185;0;8054;2102;1383;4569;0
03 Sagene                   ;30103;Sagene;7893;2829;1475;3589;0;3333;1782;697;854;0;4560;1047;778;2735;0
04 St. Hanshaugen           ;30104;St.Hanshaugen;8385;4068;1567;2750;0;4705;2768;906;1031;0;3680;1300;661;1719;0
05 Frogner                  ;30105;Frogner;13196;6690;2046;4460;0;8179;4661;1293;2225;0;5017;2029;753;2235;0
06 Ullern                   ;30106;Ullern;4769;1883;842;2044;0;2796;1112;517;1167;0;1973;771;325;877;0
07 Vestre Aker              ;30107;Vestre Aker;6736;2839;1212;2685;0;4008;1654;799;1555;0;2728;1185;413;1130;0
08 Nordre Aker              ;30108;Nordre Aker;7153;3382;1247;2524;0;3642;1769;657;1216;0;3511;1613;590;1308;0
09 Bjerke                   ;30109;Bjerke;9286;2641;1798;4847;0;2647;1382;634;631;0;6639;1259;1164;4216;0
10 Grorud                   ;30110;Grorud;8644;1696;1642;5306;0;1645;689;455;501;0;6999;1007;1187;4805;0
11 Stovner                  ;30111;Stovner;10508;2077;1627;6804;0;1829;866;422;541;0;8679;1211;1205;6263;0
12 Alna                     ;30112;Alna;16192;3005;2902;10285;0;2802;1166;712;924;0;13390;1839;2190;9361;0
13 Østensjø                 ;30113;Østensjø;8345;2025;1575;4745;0;2653;971;633;1049;0;5692;1054;942;3696;0
14 Nordstrand               ;30114;Nordstrand;6505;2166;1290;3049;0;3455;1377;743;1335;0;3050;789;547;1714;0
15 Søndre Nordstrand        ;30115;Søndre Nordstrand;12338;2268;1957;8113;0;2632;1112;632;888;0;9706;1156;1325;7225;0
16 Sentrum                  ;30116;Sentrum;484;277;77;130;0;283;200;46;37;0;201;77;31;93;0
17 Marka                    ;30117;Marka;153;75;27;51;0;116;56;18;42;0;37;19;9;9;0
99 Uoppgitt                 ;30199;Uoppgitt;2175;1007;479;689;0;1285;844;339;102;0;890;163;140;587;0
