"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";bosetting.anmodning;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_per_1000;bosetting.bosatt_av_anmodede;bosetting.bosatt_av_vedtak;bosetting.bosatt_siste_trear;bosetting.bosatt_per_1000_snitt_trear;;;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.promille;enhet.prosent;enhet.prosent;enhet.personer;enhet.promille;;;
01 Halden;01;Halden;30;10;6;0,200803213;20,00;60,00;.;.;;;
02 Indre Østfold;02;Indre Østfold;145;45;45;0,756709491;31,03;100,00;.;.;;;
03 Mosseregionen;03;Mosseregionen;80;32;49;0,846798583;61,25;153,13;.;.;;;
04 Nedre Glomma;04;Nedre Glomma;170;114;97;0,719653973;57,06;85,09;.;.;;;
05 Akershus Vest;05;Akershus Vest;240;185;149;0,855854562;62,08;80,54;.;.;;;
06 Follo;06;Follo;190;140;90;0,679399109;47,37;64,29;.;.;;;
07 Nedre Romerike;07;Nedre Romerike;225;135;132;0,796735798;58,67;97,78;.;.;;;
08 Øvre Romerike;08;Øvre Romerike;109;65;55;0,584124557;50,46;84,62;.;.;;;
09 Oslo;09;Oslo;450;410;459;0,735617005;102,00;111,95;.;.;;;
10 Fjellregionen;10;Fjellregionen;61;47;28;1,830184979;45,90;59,57;.;.;;;
11 Glåmdal;11;Glåmdal;97;68;34;0,637432273;35,05;50,00;.;.;;;
12 Hamarregionen;12;Hamarregionen;127;100;81;0,903564058;63,78;81,00;.;.;;;
13 Sør Østerdal;13;Sør Østerdal;81;50;44;1,241675133;54,32;88,00;.;.;;;
14 Gjøvikregionen;14;Gjøvikregionen;117;105;89;1,278129622;76,07;84,76;.;.;;;
15 Hadeland;15;Hadeland;75;65;68;2,355059915;90,67;104,62;.;.;;;
16 Lillehammerregionen;16;Lillehammerregionen;87;65;69;1,811356417;79,31;106,15;.;.;;;
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;40;20;24;1,775673276;60,00;120,00;.;.;;;
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;54;33;25;1,303237241;46,30;75,76;.;.;;;
19 Valdres;19;Valdres;54;29;22;1,225285436;40,74;75,86;.;.;;;
20 Drammensregionen;20;Drammensregionen;288;234;228;1,292282579;79,17;97,44;.;.;;;
21 Hallingdal;21;Hallingdal;70;47;42;2,040320622;60,00;89,36;.;.;;;
22 Kongsberg/Numedal;22;Kongsberg/Numedal;87;59;42;1,295097132;48,28;71,19;.;.;;;
23 Midt-Buskerud;23;Midt-Buskerud;33;25;25;1,309037596;75,76;100,00;.;.;;;
24 Ringerike/Hole;24;Ringerike/Hole;52;40;33;0,920168419;63,46;82,50;.;.;;;
25 Tønsbergregionen;25;Tønsbergregionen;244;126;110;0,826154551;45,08;87,30;.;.;;;
26 Sandefjord/Larvik;26;Sandefjord/Larvik;120;75;66;0,731739767;55,00;88,00;.;.;;;
27 Grenland;27;Grenland;280;240;237;1,978280649;84,64;98,75;.;.;;;
28 Midt-Telemark;28;Midt-Telemark;70;35;40;2,383080131;57,14;114,29;.;.;;;
29 Øst-Telemark;29;Øst-Telemark;60;44;50;2,490163853;83,33;113,64;.;.;;;
30 Vest-Telemark;30;Vest-Telemark;35;28;12;0,842874201;34,29;42,86;.;.;;;
31 Setesdal;31;Setesdal;40;5;5;0,717463051;12,50;100,00;.;.;;;
32 Arendalregionen;32;Arendalregionen;215;156;144;1,608004288;66,98;92,31;.;.;;;
33 Lister;33;Lister;125;70;61;1,69864387;48,80;87,14;.;.;;;
34 Mandalsregionen;34;Mandalsregionen;75;55;34;1,361906669;45,33;61,82;.;.;;;
35 Kristiansandregionen;35;Kristiansandregionen;300;235;214;1,624559699;71,33;91,06;.;.;;;
36 Dalane;36;Dalane;65;30;27;1,130937421;41,54;90,00;.;.;;;
37 Haugesundregionen;37;Haugesundregionen;184;119;132;1,296762025;71,74;110,92;.;.;;;
38 Ryfylke;38;Ryfylke;65;25;26;1,140601009;40,00;104,00;.;.;;;
39 Stavangerregionen;39;Stavangerregionen;380;282;271;0,892333832;71,32;96,10;.;.;;;
40 Bergen;40;Bergen;300;265;278;1,037506998;92,67;104,91;.;.;;;
41 Bjørnefjorden;41;Bjørnefjorden;40;10;9;0,368943183;22,50;90,00;.;.;;;
42 Hardanger;42;Hardanger;90;30;28;1,217920835;31,11;93,33;.;.;;;
43 Voss;43;Voss;40;0;15;1,066780457;37,50;.;.;.;;;
44 Nordhordland;44;Nordhordland;75;17;12;0,371885459;16,00;70,59;.;.;;;
45 Osterfjorden;45;Osterfjorden;45;6;8;0,656329477;17,78;133,33;.;.;;;
46 Sunnhordland;46;Sunnhordland;139;53;59;0,935053409;42,45;111,32;.;.;;;
47 Hordaland Vest;47;Hordaland Vest;105;60;55;0,898913132;52,38;91,67;.;.;;;
48 HAFS;48;HAFS;40;0;0;0;0,00;.;.;.;;;
49 Nordfjord;49;Nordfjord;135;33;30;0,914857282;22,22;90,91;.;.;;;
50 Sogn;50;Sogn;115;34;24;0,739052781;20,87;70,59;.;.;;;
51 Sunnfjord;51;Sunnfjord;100;50;55;1,668183197;55,00;110,00;.;.;;;
52 Nordmøre;52;Nordmøre;115;77;67;1,089785296;58,26;87,01;.;.;;;
53 Romsdal;53;Romsdal;85;69;60;1,035536149;70,59;86,96;.;.;;;
54 Storfjord;54;Storfjord;20;14;12;0,692001615;60,00;85,71;.;.;;;
55 Søre Sunnmøre;55;Søre Sunnmøre;115;95;89;1,89047963;77,39;93,68;.;.;;;
56 Ålesundregionen;56;Ålesundregionen;100;66;56;0,741093642;56,00;84,85;.;.;;;
57 Fosen;57;Fosen;19;19;15;0,594153529;78,95;78,95;.;.;;;
58 Hitra/Frøya;58;Hitra/Frøya;10;10;0;0;0,00;0,00;.;.;;;
59 Oppdal/Rennebu;59;Oppdal/Rennebu;20;15;15;1,60806175;75,00;100,00;.;.;;;
60 Orkdalregionen;60;Orkdalregionen;30;25;25;1,115523627;83,33;100,00;.;.;;;
61 Trondheimsregionen;61;Trondheimsregionen;350;287;284;1,22501445;81,14;98,95;.;.;;;
62 Rørosregionen;62;Rørosregionen;15;10;7;0,825082508;46,67;70,00;.;.;;;
63 Stjørdalsregionen;63;Stjørdalsregionen;65;50;53;1,926152057;81,54;106,00;.;.;;;
64 Innherred;64;Innherred;125;110;112;1,735492368;89,60;101,82;.;.;;;
65 Indre Namdal;65;Indre Namdal;15;15;15;1,726519337;100,00;100,00;.;.;;;
66 Kystgruppen;66;Kystgruppen;30;25;31;3,109016147;103,33;124,00;.;.;;;
67 Midtre Namdal;67;Midtre Namdal;43;43;45;2,227502228;104,65;104,65;.;.;;;
68 Sør-Helgeland;68;Sør-Helgeland;50;40;24;1,821631879;48,00;60,00;.;.;;;
69 HALD;69;HALD;55;40;40;3,15084679;72,73;100,00;.;.;;;
70 Ytre Helgeland;70;Ytre Helgeland;0;0;0;0;.;.;.;.;;;
71 Mosjøregionen;71;Mosjøregionen;40;36;33;2,039302929;82,50;91,67;.;.;;;
72 Ranaregionen;72;Ranaregionen;80;70;64;1,984680745;80,00;91,43;.;.;;;
73 Salten;73;Salten;170;143;105;1,321619172;61,76;73,43;.;.;;;
74 Ofoten;74;Ofoten;80;60;42;1,631701632;52,50;70,00;.;.;;;
75 Lofoten;75;Lofoten;80;70;79;3,306822938;98,75;112,86;.;.;;;
76 Vesterålen;76;Vesterålen;130;90;83;2,553689004;63,85;92,22;.;.;;;
77 Sør-Troms;77;Sør-Troms;55;45;104;2,882083968;189,09;231,11;.;.;;;
78 Midt-Troms;78;Midt-Troms;100;65;56;1,870844887;56,00;86,15;.;.;;;
79 Tromsøregionen;79;Tromsøregionen;110;100;112;1,431547733;101,82;112,00;.;.;;;
80 Nord-Troms;80;Nord-Troms;40;23;21;1,299263751;52,50;91,30;.;.;;;
81 Vest-Finnmark;81;Vest-Finnmark;75;45;58;1,555293361;77,33;128,89;.;.;;;
82 Midt-Finnmark;82;Midt-Finnmark;15;15;11;0,794166486;73,33;73,33;.;.;;;
83 Øst-Finnmark;83;Øst-Finnmark;120;106;101;4,317900047;84,17;95,28;.;.;;;
;;;;;;;.;.;.;.;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
