Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0101 Halden;101;Halden;39,5;37,5;41,4;323;162;161;39,5;35;37;40;323;25;18;280
0104 Moss;104;Moss;40,1;37,9;42,2;358;177;181;40,1;33,6;37,6;41,1;358;28;40;290
0105 Sarpsborg;105;Sarpsborg;37,9;35,7;39,9;622;298;324;37,9;34,1;37,6;38,5;622;73;35;514
0106 Fredrikstad;106;Fredrikstad;40,2;37,6;43;916;473;443;40,2;37,2;39,8;40,6;916;99;37;780
0111 Hvaler;111;Hvaler;39,3;37,2;42,4;42;25;17;39,3;:;:;:;42;:;:;:
0118 Aremark;118;Aremark;41;41,8;40,5;14;5;9;41;.;.;41;14;.;.;14
0119 Marker;119;Marker;41,1;37,2;44,6;51;24;27;41,1;:;:;:;51;:;:;:
0121 Rømskog;121;Rømskog;45,3;43,1;47;9;4;5;45,3;.;.;45,3;9;.;.;9
0122 Trøgstad;122;Trøgstad;40,2;38,7;41,9;81;42;39;40,2;:;:;40,8;81;:;:;71
0123 Spydeberg;123;Spydeberg;39,8;38;41,7;68;35;33;39,8;:;:;39,8;68;:;:;60
0124 Askim;124;Askim;41;39,1;43;163;85;78;41;38,7;37,7;41,7;163;17;16;130
0125 Eidsberg;125;Eidsberg;38,5;35,7;41;136;64;72;38,5;36,4;33,4;39,1;136;21;5;110
0127 Skiptvet;127;Skiptvet;38;34,6;40,8;55;25;30;38;33,6;.;38,2;55;3;.;52
0128 Rakkestad;128;Rakkestad;39,2;35,6;42,8;84;42;42;39,2;32,2;33;40,3;84;5;7;72
0135 Råde;135;Råde;39,3;37,2;41,9;69;38;31;39,3;:;:;:;69;:;:;:
0136 Rygge;136;Rygge;39,7;38;41,7;224;124;100;39,7;30;37,8;40,4;224;13;7;204
0137 Våler (Østfold);137;Våler (Østf.);37,9;37,3;38,5;65;36;29;37,9;:;:;38,2;65;:;:;58
0138 Hobøl;138;Hobøl;36,2;32,5;40,6;68;37;31;36,2;:;:;:;68;:;:;:
