naringsgregion_nr-naringsregionnavn;naringsgregion_nr;naringsgregionnavn;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer
01 Halden;1;Halden;42;26;61,9;16;26;16;0
02 Indre Østfold;2;Indre Østfold;24;22;91,7;2;21;3;0
03 Mosseregionen;3;Mosseregionen;32;27;84,4;5;25;7;0
04 Nedre Glomma;4;Nedre Glomma;152;127;83,6;25;128;19;5
05 Akershus Vest;5;Akershus Vest;232;113;48,7;119;150;82;0
06 Follo;6;Follo;245;125;51;120;122;123;0
07 Nedre Romerike;7;Nedre Romerike;212;111;52,4;101;110;102;0
08 Øvre Romerike;8;Øvre Romerike;56;42;75;14;38;17;1
09 Oslo;9;Oslo;2260;1758;77,8;502;1613;647;0
10 Fjellregionen;10;Fjellregionen;17;1;5,9;16;0;17;0
11 Glåmdal;11;Glåmdal;42;33;78,6;9;36;4;2
12 Hamarregionen;12;Hamarregionen;109;38;34,9;71;56;53;0
13 Sør Østerdal;13;Sør Østerdal;78;64;82,1;14;58;9;11
14 Gjøvikregionen;14;Gjøvikregionen;139;70;50,4;69;74;62;3
15 Hadeland;15;Hadeland;60;56;93,3;4;54;6;0
16 Lillehammerregionen;16;Lillehammerregionen;116;45;38,8;71;39;75;2
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;8;8;100;0;8;0;0
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;28;28;100;0;28;0;0
19 Valdres;19;Valdres;27;10;37;17;10;17;0
20 Drammensregionen;20;Drammensregionen;266;189;71,1;77;177;83;6
21 Hallingdal;21;Hallingdal;27;22;81,5;5;21;4;2
22 Kongsberg/Numedal;22;Kongsberg/Numedal;26;21;80,8;5;22;4;0
23 Midt-Buskerud;23;Midt-Buskerud;60;24;40;36;26;34;0
24 Ringerike/Hole;24;Ringerike/Hole;88;56;63,6;32;71;16;1
25 Tønsbergregionen;25;Tønsbergregionen;211;93;44,1;118;97;113;1
26 Sandefjord/Larvik;26;Sandefjord/Larvik;242;190;78,5;52;211;27;4
27 Grenland;27;Grenland;377;191;50,7;186;168;202;7
28 Midt-Telemark;28;Midt-Telemark;51;36;70,6;15;36;15;0
29 Øst-Telemark;29;Øst-Telemark;46;46;100;0;46;0;0
30 Vest-Telemark;30;Vest-Telemark;25;17;68;8;17;8;0
31 Setesdal;31;Setesdal;1;0;0;1;0;1;0
32 Arendalregionen;32;Arendalregionen;283;203;71,7;80;199;84;0
33 Lister;33;Lister;72;37;51,4;35;33;38;1
34 Mandalsregionen;34;Mandalsregionen;58;29;50;29;28;29;1
35 Kristiansandregionen;35;Kristiansandregionen;420;177;42,1;243;166;244;10
36 Dalane;36;Dalane;23;0;0;23;2;21;0
37 Haugesundregionen;37;Haugesundregionen;206;87;42,2;119;84;119;3
38 Ryfylke;38;Ryfylke;45;12;26,7;33;27;18;0
39 Stavangerregionen;39;Stavangerregionen;643;403;62,7;240;393;249;1
40 Bergen;40;Bergen;318;204;64,2;114;298;17;3
41 Bjørnefjorden;41;Bjørnefjorden;53;25;47,2;28;24;29;0
42 Hardanger;42;Hardanger;50;18;36;32;18;32;0
43 Voss;43;Voss;56;24;42,9;32;24;32;0
44 Nordhordland;44;Nordhordland;48;19;39,6;29;18;28;2
45 Osterfjorden;45;Osterfjorden;19;0;0;19;2;14;3
46 Sunnhordland;46;Sunnhordland;28;13;46,4;15;18;9;1
