Nr & navn;bydel_nr;Bydelsnavn;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo kommune;51570;6297;34756;10517;100;12,2;67,4;20,4;26647;3347;17856;5444;100;12,6;67;20,4;24923;2950;16900;5073;100;11,8;67,8;20,4
030101 Gamle Oslo;30101;Gamle Oslo;2343;523;1077;743;100;22,3;46;31,7;1153;271;510;372;100;23,5;44,2;32,3;1190;252;567;371;100;21,2;47,6;31,2
030102 Grünerløkka ;30102;Grünerløkka ;2078;406;1203;469;100;19,5;57,9;22,6;1044;220;587;237;100;21,1;56,2;22,7;1034;186;616;232;100;18;59,6;22,4
030103 Sagene;30103;Sagene;1245;216;767;262;100;17,3;61,6;21;606;112;373;121;100;18,5;61,6;20;639;104;394;141;100;16,3;61,7;22,1
030104 St.Hanshaugen;30104;St.Hanshaugen;1342;204;1014;124;100;15,2;75,6;9,2;645;122;472;51;100;18,9;73,2;7,9;697;82;542;73;100;11,8;77,8;10,5
030105 Frogner;30105;Frogner;2470;187;2137;146;100;7,6;86,5;5,9;1228;104;1043;81;100;8,5;84,9;6,6;1242;83;1094;65;100;6,7;88,1;5,2
030106 Ullern;30106;Ullern;2627;97;2473;57;100;3,7;94,1;2,2;1340;48;1268;24;100;3,6;94,6;1,8;1287;49;1205;33;100;3,8;93,6;2,6
030107 Vestre Aker;30107;Vestre Aker;4604;186;4254;164;100;4;92,4;3,6;2431;111;2235;85;100;4,6;91,9;3,5;2173;75;2019;79;100;3,5;92,9;3,6
030108 Nordre Aker;30108;Nordre Aker;4527;127;4273;127;100;2,8;94,4;2,8;2436;73;2290;73;100;3;94;3;2091;54;1983;54;100;2,6;94,8;2,6
030109 Bjerke;30109;Bjerke;2487;511;1322;654;100;20,5;53,2;26,3;1314;271;679;364;100;20,6;51,7;27,7;1173;240;643;290;100;20,5;54,8;24,7
030110 Grorud;30110;Grorud;2827;596;1300;931;100;21,1;46;32,9;1499;301;703;495;100;20,1;46,9;33;1328;295;597;436;100;22,2;45;32,8
030111 Stovner;30111;Stovner;3796;660;1563;1573;100;17,4;41,2;41,4;2037;371;828;838;100;18,2;40,6;41,1;1759;289;735;735;100;16,4;41,8;41,8
030112 Alna;30112;Alna;4736;877;1804;2055;100;18,5;38,1;43,4;2495;479;947;1069;100;19,2;38;42,8;2241;398;857;986;100;17,8;38,2;44
030113 Østensjø;30113;Østensjø;4525;385;3509;631;100;8,5;77,5;13,9;2339;184;1842;313;100;7,9;78,8;13,4;2186;201;1667;318;100;9,2;76,3;14,5
030114 Nordstrand;30114;Nordstrand;4977;262;4464;251;100;5,3;89,7;5;2546;144;2302;100;100;5,7;90,4;3,9;2431;118;2162;151;100;4,9;88,9;6,2
030115 Søndre Nordstrand;30115;Søndre Nordstrand;4879;751;2119;2009;100;15,4;43,4;41,2;2539;384;1102;1053;100;15,1;43,4;41,5;2340;367;1017;956;100;15,7;43,5;40,9
030116 Sentrum;30116;Sentrum;17;12;4;1;100;70,6;23,5;5,9;13;12;1;0;100;92,3;7,7;0;4;0;3;1;100;0;75;25
030117 Marka;30117;Marka;194;3;191;0;100;1,5;98,5;0;89;3;86;0;100;3,4;96,6;0;105;0;105;0;100;0;100;0
030199 Oslo uoppgitt;30199;Oslo uoppgitt;1896;294;1282;320;100;15,5;67,6;16,9;893;137;588;168;100;15,3;65,8;18,8;1003;157;694;152;100;15,7;69,2;15,2
