Bydel nr & navn;bydel_nr;Bydelnavn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;11236;864;10372;1807;8565;74,7;59,2;76,4;66,9;78,7;5301;350;4951;805;4146;69,3;49;71,4;57,8;74,8;5935;514;5421;1002;4419;80,3;69;81,5;76,5;82,8
030101 Gamle Oslo;30101;Gamle Oslo;530;69;461;128;333;67,3;50,7;70,7;65,3;73;222;25;197;54;143;60,2;37,9;65;62,1;66,2;308;44;264;74;190;73,5;62,9;75,6;67,9;79,2
030102 Grünerløkka;30102;Grünerløkka;484;39;445;81;364;66,4;46,4;69;54,7;73,2;217;17;200;35;165;59,3;35,4;62,9;45,5;68,5;267;22;245;46;199;73,6;61,1;74,9;64,8;77,7
030103 Sagene;30103;Sagene;401;23;378;46;332;72,8;48,9;75;59,7;77,8;171;11;160;26;134;64;36,7;67,5;59,1;69,4;230;12;218;20;198;81;70,6;81,6;60,6;84,6
030104 St.Hanshaugen;30104;St.Hanshaugen;453;12;441;14;427;80;41,4;82,1;53,8;83,6;188;5;183;8;175;74,6;38,5;76,6;50;78,5;265;7;258;6;252;84,4;43,8;86,6;60;87,5
030105 Frogner;30105;Frogner;744;28;716;30;686;79,1;66,7;79,6;69,8;80,1;339;6;333;10;323;74,3;50;75;71,4;75,1;405;22;383;20;363;83,5;73,3;84,2;69;85,2
030106 Ullern;30106;Ullern;457;7;450;24;426;85,4;63,6;85,9;85,7;85,9;251;3;248;13;235;82;60;82,4;76,5;82,7;206;4;202;11;191;90;66,7;90,6;100;90,1
030107 Vestre Aker;30107;Vestre Aker;872;14;858;26;832;85,4;56;86,1;78,8;86,4;403;5;398;15;383;79,6;50;80,2;71,4;80,6;469;9;460;11;449;91,1;60;92;91,7;92
