Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;131740;5524;126216;3893;122323;.;.;.;.;.;63146;2397;60749;1754;58995;.;.;.;.;.;68594;3127;65467;2139;63328;.;.;.;.;.
01 Østfold;1;Østfold;6789;391;6398;193;6205;65,8;53,9;66,7;67,2;66,7;3185;159;3026;107;2919;60,3;42,6;61,7;66;61,5;3604;232;3372;86;3286;71,5;65,9;71,9;68,8;72
02 Akershus;2;Akershus;16158;541;15617;602;15015;74,9;58,1;75,7;70,7;75,9;7886;261;7625;278;7347;70,3;51,9;71,2;62,9;71,5;8272;280;7992;324;7668;79,9;65,4;80,5;79;80,6
03 Oslo;3;Oslo;11236;864;10372;1807;8565;74,7;59,2;76,4;66,9;78,7;5301;350;4951;805;4146;69,3;49;71,4;57,8;74,8;5935;514;5421;1002;4419;80,3;69;81,5;76,5;82,8
04 Hedmark;4;Hedmark;5138;160;4978;63;4915;68,3;54,8;68,8;82,9;68,7;2404;61;2343;22;2321;62;43;62,7;75,9;62,6;2734;99;2635;41;2594;74,9;66;75,3;87,2;75,1
05 Oppland;5;Oppland;5005;144;4861;56;4805;68,8;51,2;69,6;70,9;69,5;2408;64;2344;29;2315;63,3;41;64,3;67,4;64,2;2597;80;2517;27;2490;74,9;64;75,3;75;75,3
06 Buskerud;6;Buskerud;6712;290;6422;248;6174;70;53,6;70,9;62;71,4;3162;123;3039;107;2932;64;46,4;65;51,2;65,7;3550;167;3383;141;3242;76,2;60,5;77,2;73,8;77,4
07 Vestfold;7;Vestfold;6191;224;5967;104;5863;68,4;50,2;69,3;63,8;69,4;2965;106;2859;50;2809;63,4;43,8;64,4;58,1;64,5;3226;118;3108;54;3054;73,7;57,8;74,5;70,1;74,6
