Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;44662;2046;42616;1410;41206;.;.;.;.;.;21551;896;20655;635;20020;.;.;.;.;.;23111;1150;21961;775;21186;.;.;.;.;.
01 Østfold;1;Østfold;2344;150;2194;68;2126;66,4;54;67,4;61,3;67,6;1118;69;1049;40;1009;61,5;46;62,9;65,6;62,8;1226;81;1145;28;1117;71,5;63,3;72,2;56;72,7
02 Akershus;2;Akershus;5549;200;5349;214;5135;75,8;59,2;76,6;71,3;76,8;2679;90;2589;103;2486;71;50;72;62,4;72,5;2870;110;2760;111;2649;80,9;69,6;81,5;82,2;81,4
03 Oslo;3;Oslo;3879;286;3593;659;2934;74,4;55,8;76,4;65,4;79,4;1841;118;1723;277;1446;69,7;48,4;71,9;55,2;76,3;2038;168;1870;382;1488;79,2;62,5;81,2;75,5;82,8
04 Hedmark;4;Hedmark;1703;63;1640;22;1618;67,9;56,8;68,4;81,5;68,2;803;22;781;8;773;63,1;47,8;63,7;80;63,6;900;41;859;14;845;72,8;63,1;73,3;82,4;73,2
05 Oppland;5;Oppland;1703;67;1636;21;1615;69,9;55,8;70,6;80,8;70,5;833;35;798;12;786;64,7;50;65,5;80;65,3;870;32;838;9;829;75,8;64;76,3;81,8;76,3
06 Buskerud;6;Buskerud;2251;114;2137;91;2046;71,9;63,7;72,4;66,4;72,7;1054;47;1007;43;964;65,7;56;66,3;55,1;66,9;1197;67;1130;48;1082;78,3;70,5;78,9;81,4;78,7
07 Vestfold;7;Vestfold;2130;78;2052;40;2012;69,8;50;70,9;64,5;71;1028;43;985;18;967;64,7;50,6;65,5;52,9;65,8;1102;35;1067;22;1045;75,3;49,3;76,7;78,6;76,6
