Næringsregion nr & navn;naringsregion_nr;Næringsregion navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;222;18;204;5;199;63,4;69,2;63;100;62,4;92;5;87;2;85;52,9;50;53;100;52,5;130;13;117;3;114;73,9;81,3;73,1;100;72,6
02 Indre Østfold;2;Indre Østfold;490;26;464;16;448;66,8;54,2;67,7;84,2;67,3;217;8;209;12;197;58,8;34,8;60,4;80;59,5;273;18;255;4;251;75;72;75,2;100;74,9
03 Mosseregionen;3;Mosseregionen;438;11;427;26;401;65,8;37,9;67;65;67,2;223;6;217;12;205;61,6;37,5;62,7;57,1;63,1;215;5;210;14;196;70,7;38,5;72,2;73,7;72,1
04 Nedre Glomma;4;Nedre Glomma;1014;76;938;24;914;63,6;54,3;64,5;85,7;64,1;480;32;448;15;433;57,6;43,2;58,9;78,9;58,4;534;44;490;9;481;70,2;66,7;70,5;100;70,1
05 Akershus Vest;5;Akershus Vest;1835;59;1776;51;1725;82,5;59;83,6;75;83,9;902;27;875;22;853;79,3;54;80,4;75,9;80,5;933;32;901;29;872;85,9;64;87;74,4;87,5
06 Follo;6;Follo;1286;44;1242;27;1215;74,1;61,1;74,6;58,7;75,1;636;22;614;13;601;70,2;57,9;70,7;48,1;71,5;650;22;628;14;614;78,3;64,7;78,9;73,7;79
07 Nedre Romerike;7;Nedre Romerike;1436;56;1380;95;1285;70,7;54,9;71,5;68,8;71,7;692;31;661;44;617;65;50;66;64,7;66,1;744;25;719;51;668;76,9;62,5;77,6;72,9;77,9
08 Øvre Romerike;8;Øvre Romerike;731;20;711;17;694;64,4;44,4;65,2;65,4;65,2;365;8;357;7;350;58,7;34,8;59,6;50;59,8;366;12;354;10;344;71,3;54,5;72,1;83,3;71,8
