Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.minoritet;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;
0101 Halden;101;Halden;117;35;82;29,9;
0104 Moss;104;Moss;149;51;98;34,2;
0105 Sarpsborg;105;Sarpsborg;281;105;176;37,4;
0106 Fredrikstad;106;Fredrikstad;358;99;259;27,7;
0111 Hvaler;111;Hvaler;11;1;10;9,1;
0118 Aremark;118;Aremark;:;:;:;:;
0119 Marker;119;Marker;7;1;6;14,3;
0121 Rømskog;121;Rømskog;:;:;:;:;
0122 Trøgstad;122;Trøgstad;29;11;18;37,9;
0123 Spydeberg;123;Spydeberg;21;6;15;28,6;
0124 Askim;124;Askim;54;17;37;31,5;
0125 Eidsberg;125;Eidsberg;58;25;33;43,1;
0127 Skiptvet;127;Skiptvet;14;3;11;21,4;
0128 Rakkestad;128;Rakkestad;29;10;19;34,5;
0135 Råde;135;Råde;29;3;26;10,3;
0136 Rygge;136;Rygge;49;9;40;18,4;
0137 Våler;137;Våler;25;5;20;20;
0138 Hobøl;138;Hobøl;19;1;18;5,3;
0211 Vestby;211;Vestby;82;31;51;37,8;
0213 Ski;213;Ski;135;64;71;47,4;
0214 Ås;214;Ås;81;27;54;33,3;
0215 Frogn;215;Frogn;60;21;39;35;
0216 Nesodden;216;Nesodden;69;24;45;34,8;
0217 Oppegård;217;Oppegård;105;49;56;46,7;
0219 Bærum;219;Bærum;545;292;253;53,6;
0220 Asker;220;Asker;189;87;102;46;
0221 Aurskog-Høland;221;Aurskog-Høland;69;12;57;17,4;
0226 Sørum;226;Sørum;94;29;65;30,9;
0227 Fet;227;Fet;53;16;37;30,2;
0228 Rælingen;228;Rælingen;82;24;58;29,3;
0229 Enebakk;229;Enebakk;47;10;37;21,3;
0230 Lørenskog;230;Lørenskog;162;75;87;46,3;
0231 Skedsmo;231;Skedsmo;304;135;169;44,4;
0233 Nittedal;233;Nittedal;105;32;73;30,5;
0234 Gjerdrum;234;Gjerdrum;32;8;24;25;
0235 Ullensaker;235;Ullensaker;174;60;114;34,5;
0236 Nes;236;Nes;111;34;77;30,6;
0237 Eidsvoll;237;Eidsvoll;113;29;84;25,7;
0238 Nannestad;238;Nannestad;56;13;43;23,2;
0239 Hurdal;239;Hurdal;10;5;5;50;
0301 Oslo;301;Oslo;4966;2998;1968;60,4;
0402 Kongsvinger;402;Kongsvinger;100;24;76;24;
0403 Hamar;403;Hamar;164;50;114;30,5;
0412 Ringsaker;412;Ringsaker;168;27;141;16,1;
0415 Løten;415;Løten;36;1;35;2,8;
0417 Stange;417;Stange;104;18;86;17,3;
0418 Nord-Odal;418;Nord-Odal;29;1;28;3,4;
0419 Sør-Odal;419;Sør-Odal;33;2;31;6,1;
0420 Eidskog;420;Eidskog;30;5;25;16,7;
0423 Grue;423;Grue;20;6;14;30;
0425 Åsnes;425;Åsnes;23;5;18;21,7;
0426 Våler;426;Våler;20;1;19;5;
0427 Elverum;427;Elverum;120;29;91;24,2;
0428 Trysil;428;Trysil;28;11;17;39,3;
0429 Åmot;429;Åmot;24;2;22;8,3;
0430 Stor-Elvdal;430;Stor-Elvdal;13;6;7;46,2;
0432 Rendalen;432;Rendalen;5;.;.;.;
0434 Engerdal;434;Engerdal;6;1;5;16,7;
0436 Tolga;436;Tolga;15;5;10;33,3;
0437 Tynset;437;Tynset;35;11;24;31,4;
0438 Alvdal;438;Alvdal;12;2;10;16,7;
0439 Folldal;439;Folldal;14;.;.;.;
0441 Os;441;Os;9;1;8;11,1;
0501 Lillehammer;501;Lillehammer;97;38;59;39,2;
0502 Gjøvik;502;Gjøvik;136;47;89;34,6;
0511 Dovre;511;Dovre;6;.;.;.;
0512 Lesja;512;Lesja;:;:;:;:;
0513 Skjåk;513;Skjåk;8;.;.;.;
0514 Lom;514;Lom;:;:;:;:;
0515 Vågå;515;Vågå;25;4;21;16;
0516 Nord-Fron;516;Nord-Fron;36;5;31;13,9;
0517 Sel;517;Sel;23;3;20;13;
0519 Sør-Fron;519;Sør-Fron;9;1;8;11,1;
0520 Ringebu;520;Ringebu;10;1;9;10;
0521 Øyer;521;Øyer;11;2;9;18,2;
0522 Gausdal;522;Gausdal;16;1;15;6,3;
0528 Østre Toten;528;Østre Toten;58;9;49;15,5;
0529 Vestre Toten;529;Vestre Toten;75;16;59;21,3;
0532 Jevnaker;532;Jevnaker;30;3;27;10;
0533 Lunner;533;Lunner;34;9;25;26,5;
