Bydel;bydel_nr;bydel_navn;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen
Nedbrytninger;;;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Innvkat og kjønn;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;30266;47547;111823;.;.;19329;16304;15293;23794;.;.;18907;13962;32254;88029;.;.;422;14,5;22,8;53,5;.;.;9,2;21,9;20,6;32;.;.;25,4;10,4;24;65,4;.;.;0,3;16542;27179;53830;.;.;12049;8145;8849;11587;.;.;11814;8397;18330;42243;.;.;235;15,1;24,8;49,1;.;.;11;20,2;21,9;28,7;.;.;29,2;12,1;26,5;61;.;.;0,3;13724;20368;57993;.;.;7280;8159;6444;12207;.;.;7093;5565;13924;45786;.;.;187;13,8;20,5;58,4;.;.;7,3;24,1;19;36;.;.;20,9;8,5;21,3;69,9;.;.;0,3
030101 Gamle Oslo;30101;Gamle Oslo;3134;4322;10193;6037;4156;1942;1734;1379;1960;1146;814;1905;1400;2943;8233;4891;3342;37;16;22,1;52;30,8;21,2;9,9;24,8;19,8;28,1;16,4;11,7;27,3;11,1;23,3;65,3;38,8;26,5;0,3;1850;2729;5093;2959;2134;1246;934;879;1027;606;421;1221;916;1850;4066;2353;1713;25;16,9;25;46,6;27,1;19,5;11,4;23;21,6;25,3;14,9;10,4;30,1;13,4;27;59,3;34,3;25;0,4;1284;1593;5100;3078;2022;696;800;500;933;540;393;684;484;1093;4167;2538;1629;12;14,8;18,4;58,8;35,5;23,3;8;27,4;17,1;32;18,5;13,5;23,4;8,4;19;72,4;44,1;28,3;0,2
030102 Grünerløkka;30102;Grünerløkka;2556;4333;11949;7009;4940;2083;1313;1393;2325;1290;1035;2049;1243;2940;9624;5719;3905;34;12,2;20,7;57,1;33,5;23,6;10;18,5;19,7;32,8;18,2;14,6;28,9;9;21,2;69,5;41,3;28,2;0,2;1540;2784;6011;3522;2489;1377;753;914;1226;692;534;1353;787;1870;4785;2830;1955;24;13,1;23,8;51,4;30,1;21,3;11,8;17,7;21,5;28,9;16,3;12,6;31,9;10,5;25;64,1;37,9;26,2;0,3;1016;1549;5938;3487;2451;706;560;479;1099;598;501;696;456;1070;4839;2889;1950;10;11;16,8;64,5;37,9;26,6;7,7;19,8;16,9;38,8;21,1;17,7;24,6;7,2;16,8;75,9;45,3;30,6;0,2
030103 Sagene;30103;Sagene;1688;2704;9979;5466;4513;941;801;637;1461;775;686;918;887;2067;8518;4691;3827;23;11;17,7;65,2;35,7;29,5;6,1;21;16,7;38,3;20,3;18;24,1;7,7;18;74,1;40,8;33,3;0,2;1012;1649;4849;2621;2228;570;430;388;729;404;325;556;582;1261;4120;2217;1903;14;12,5;20,4;60;32,4;27,6;7,1;20,4;18,4;34,7;19,2;15,5;26,4;9,7;21,1;68,9;37,1;31,8;0,2;676;1055;5130;2845;2285;371;371;249;732;371;361;362;305;806;4398;2474;1924;9;9,3;14,6;70,9;39,3;31,6;5,1;21,6;14,5;42,7;21,6;21,1;21,1;5,5;14,6;79,7;44,8;34,9;0,2
030104 St.Hanshaugen;30104;St.Hanshaugen;1211;2292;8396;4314;4082;1209;532;672;1590;759;831;1190;679;1620;6806;3555;3251;19;9,2;17,5;64;32,9;31,1;9,2;13,4;16,9;40;19,1;20,9;29,9;7,4;17,8;74,6;39;35,6;0,2;758;1464;4313;2189;2124;812;317;445;829;382;447;803;441;1019;3484;1807;1677;9;10,3;19,9;58,7;29,8;28,9;11,1;13,2;18,6;34,7;16;18,7;33,5;8,9;20,6;70,4;36,5;33,9;0,2;453;828;4083;2125;1958;397;215;227;761;377;384;387;238;601;3322;1748;1574;10;7,9;14,4;70,9;36,9;34;6,9;13,5;14,3;47,9;23,7;24,2;24,3;5,7;14,4;79,6;41,9;37,7;0,2
030105 Frogner;30105;Frogner;1554;3175;10896;5654;5242;1989;583;852;2736;1245;1491;1939;971;2323;8160;4409;3751;50;8,8;18;61,9;32,1;29,8;11,3;9,5;13,9;44,8;20,4;24,4;31,7;8,4;20,2;70,9;38,3;32,6;0,4;911;1831;5684;2858;2826;1235;316;492;1352;587;765;1211;595;1339;4332;2271;2061;24;9,4;19;58,9;29,6;29,3;12,8;9,4;14,6;40,1;17,4;22,7;35,9;9,5;21,3;68,9;36,1;32,8;0,4;643;1344;5212;2796;2416;754;267;360;1384;658;726;728;376;984;3828;2138;1690;26;8,1;16,9;65,6;35,2;30,4;9,5;9,7;13,1;50,5;24;26,5;26,6;7,2;18,9;73,4;41;32,4;0,5
030106 Ullern;30106;Ullern;620;1593;6433;3250;3183;624;243;352;1134;528;606;607;377;1241;5299;2722;2577;17;6,7;17,2;69,4;35,1;34,3;6,7;10,4;15,1;48,5;22,6;25,9;26;5,4;17,9;76,5;39,3;37,2;0,2;332;873;3058;1449;1609;375;105;209;510;218;292;364;227;664;2548;1231;1317;11;7,2;18,8;65,9;31,2;34,7;8,1;8,8;17,6;43;18,4;24,6;30,6;6,6;19,2;73,9;35,7;38,2;0,3;288;720;3375;1801;1574;249;138;143;624;310;314;243;150;577;2751;1491;1260;6;6,2;15,5;72,9;38,9;34;5,4;12;12,5;54,4;27;27,4;21,2;4,3;16,6;79;42,8;36,2;0,2
