kommune;kommune_nr;kommune_navn;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen;utd_4.grunnskole;utd_4.vgs;utd_4.universitet_og_hogskole;utd_4.uoppgitt_ingen
Nedbrytninger;;;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Innvkat og kjønn;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;1729;3222;2613;291;302;297;291;259;1427;2925;2322;32;22;41;33,3;3,7;26,3;25,8;25,3;22,5;21,3;43,6;34,6;0,5;941;1781;1091;163;137;156;132;146;804;1625;959;17;23,7;44,8;27,4;4,1;24;27,3;23,1;25,6;23,6;47,7;28,2;0,5;788;1441;1522;128;165;141;159;113;623;1300;1363;15;20,3;37,1;39,2;3,3;28,5;24,4;27,5;19,6;18,9;39,4;41,3;0,5
0104 Moss;104;Moss;1920;3225;3100;496;558;522;502;476;1362;2703;2598;20;22;36,9;35,5;5,7;27,1;25,4;24,4;23,1;20,4;40,4;38,9;0,3;1015;1798;1260;300;269;300;209;285;746;1498;1051;15;23,2;41,1;28,8;6,9;25,3;28,2;19,7;26,8;22,5;45,3;31,8;0,5;905;1427;1840;196;289;222;293;191;616;1205;1547;5;20,7;32,7;42,1;4,5;29;22,3;29,4;19,2;18,3;35,7;45,9;0,1
0105 Sarpsborg;105;Sarpsborg;3520;6280;4402;721;808;943;666;678;2712;5337;3736;43;23,6;42,1;29,5;4,8;26,1;30,5;21,5;21,9;22,9;45,1;31,6;0,4;1902;3634;1770;421;388;566;301;388;1514;3068;1469;33;24,6;47;22,9;5,4;23,6;34,4;18,3;23,6;24,9;50,4;24,1;0,5;1618;2646;2632;300;420;377;365;290;1198;2269;2267;10;22,5;36,8;36,6;4,2;28,9;26;25,1;20;20,9;39,5;39,5;0,2
0106 Fredrikstad;106;Fredrikstad;4489;8056;7543;1035;1010;1003;1128;978;3479;7053;6415;57;21,3;38,1;35,7;4,9;24,5;24,4;27,4;23,7;20,5;41,5;37,7;0,3;2340;4544;3120;630;458;599;510;594;1882;3945;2610;36;22;42,7;29,3;5,9;21,2;27,7;23,6;27,5;22,2;46,6;30,8;0,4;2149;3512;4423;405;552;404;618;384;1597;3108;3805;21;20,5;33,5;42,2;3,9;28,2;20,6;31,6;19,6;18,7;36,4;44,6;0,2
0111 Hvaler;111;Hvaler;184;456;370;19;11;21;36;17;173;435;334;2;17,9;44,3;36;1,8;12,9;24,7;42,4;20;18,3;46,1;35,4;0,2;110;253;141;11;5;11;13;9;105;242;128;2;21,4;49,1;27,4;2,1;13,2;28,9;34,2;23,7;22;50,7;26,8;0,4;74;203;229;8;6;10;23;8;68;193;206;.;14,4;39,5;44,6;1,6;12,8;21,3;48,9;17;14,6;41,3;44,1;.
0118 Aremark;118;Aremark;79;168;94;3;3;9;2;2;76;159;92;1;23;48,8;27,3;0,9;18,8;56,3;12,5;12,5;23,2;48,5;28;0,3;47;103;32;1;1;5;.;1;46;98;32;.;25,7;56,3;17,5;0,5;14,3;71,4;.;14,3;26,1;55,7;18,2;.;32;65;62;2;2;4;2;1;30;61;60;1;19,9;40,4;38,5;1,2;22,2;44,4;22,2;11,1;19,7;40,1;39,5;0,7
0119 Marker;119;Marker;256;390;211;26;23;35;24;19;233;355;187;7;29;44,2;23,9;2,9;22,8;34,7;23,8;18,8;29,8;45,4;23,9;0,9;146;212;75;16;9;13;6;12;137;199;69;4;32,5;47,2;16,7;3,6;22,5;32,5;15;30;33,5;48,7;16,9;1;110;178;136;10;14;22;18;7;96;156;118;3;25,3;41;31,3;2,3;23;36,1;29,5;11,5;25,7;41,8;31,6;0,8
