naringsregion;naringsregion_nr;naringsregion_navn;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen
Nedbrytninger;;;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Innvkat og kjønn;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;1729;3222;2613;2106;507;291;302;297;291;197;94;259;1427;2925;2322;1909;413;32;22;41;33,3;26,8;6,5;3,7;26,3;25,8;25,3;17,1;8,2;22,5;21,3;43,6;34,7;28,5;6,2;0,5;941;1781;1091;824;267;163;137;156;132;82;50;146;804;1625;959;742;217;17;23,7;44,8;27,4;20,7;6,7;4,1;24;27,3;23,2;14,4;8,8;25,6;23,6;47,7;28,2;21,8;6,4;0,5;788;1441;1522;1282;240;128;165;141;159;115;44;113;623;1300;1363;1167;196;15;20,3;37,1;39,2;33;6,2;3,3;28,5;24,4;27,5;19,9;7,6;19,6;18,9;39,4;41,3;35,4;5,9;0,5
02 Indre Østfold;2;Indre Østfold;4437;7108;4002;3284;718;857;841;879;669;500;169;789;3596;6229;3333;2784;549;68;27;43,3;24,4;20;4,4;5,2;26,5;27,7;21;15,7;5,3;24,8;27,2;47,1;25,2;21;4,2;0,5;2438;3972;1525;1167;358;539;382;525;270;195;75;505;2056;3447;1255;972;283;34;28,8;46,9;18;13,8;4,2;6,4;22,7;31,2;16,1;11,6;4,5;30;30,3;50,8;18,5;14,3;4,2;0,5;1999;3136;2477;2117;360;318;459;354;399;305;94;284;1540;2782;2078;1812;266;34;25,2;39,5;31,2;26,7;4,5;4;30,7;23,7;26,7;20,4;6,3;19;23,9;43,2;32,3;28,2;4,1;0,5
03 Mosseregionen;3;Mosseregionen;3528;6421;5534;4229;1305;820;783;877;798;564;234;782;2745;5544;4736;3665;1071;38;21,6;39,4;33,9;25,9;8;5;24,2;27,1;24,6;17,4;7,2;24,1;21;42,4;36,3;28,1;8,2;0,3;1863;3588;2236;1594;642;514;391;522;330;218;112;487;1472;3066;1906;1376;530;27;22,7;43,8;27,2;19,4;7,8;6,3;22,6;30,2;19,1;12,6;6,5;28,2;22,7;47,4;29,5;21,3;8,2;0,4;1665;2833;3298;2635;663;306;392;355;468;346;122;295;1273;2478;2830;2289;541;11;20,6;35;40,7;32,5;8,2;3,8;26;23,5;31;22,9;8,1;19,5;19,3;37,6;42,9;34,7;8,2;0,2
04 Nedre Glomma;4;Nedre Glomma;8193;14792;12315;9917;2398;1775;1829;1967;1830;1292;538;1673;6364;12825;10485;8625;1860;102;22,1;39,9;33,2;26,7;6,5;4,8;25,1;26,9;25,1;17,7;7,4;22,9;21,4;43,1;35,2;29;6,2;0,3;4352;8431;5031;3766;1265;1062;851;1176;824;575;249;991;3501;7255;4207;3191;1016;71;23,1;44,7;26,7;20;6,7;5,6;22,1;30,6;21,5;15;6,5;25,8;23,3;48,3;28;21,2;6,8;0,5;3841;6361;7284;6151;1133;713;978;791;1006;717;289;682;2863;5570;6278;5434;844;31;21,1;35;40;33,8;6,2;3,9;28,3;22,9;29,1;20,7;8,4;19,7;19,4;37,8;42,6;36,9;5,7;0,2
05 Akershus Vest;5;Akershus Vest;4955;12358;29552;17774;11778;3225;1737;3008;5422;3002;2420;3143;3218;9350;24130;14772;9358;82;9,9;24,7;59;35,5;23,5;6,4;13,1;22,6;40,8;22,6;18,2;23,6;8,7;25,4;65,6;40,2;25,4;0,2;2736;6566;13525;7519;6006;2040;871;1735;2440;1240;1200;1984;1865;4831;11085;6279;4806;56;11;26,4;54,4;30,2;24,2;8,2;12,4;24,7;34,7;17,6;17,1;28,2;10,5;27,1;62,1;35,2;26,9;0,3;2219;5792;16027;10255;5772;1185;866;1273;2982;1762;1220;1159;1353;4519;13045;8493;4552;26;8,8;23;63,6;40,7;22,9;4,7;13,8;20,3;47,5;28,1;19,4;18,5;7,1;23,9;68,8;44,8;24;0,1
06 Follo;6;Follo;5859;13320;17558;11892;5666;1852;1301;1820;2847;1720;1127;1781;4558;11500;14711;10172;4539;71;15,2;34,5;45,5;30,8;14,7;4,8;16,8;23,5;36,7;22,2;14,5;23;14,8;37,3;47,7;33;14,7;0,2;3229;7111;7565;4837;2728;1164;655;1009;1267;729;538;1116;2574;6102;6298;4108;2190;48;16,9;37,3;39,7;25,4;14,3;6,1;16,2;24,9;31,3;18;13,3;27,6;17,1;40,6;41,9;27,3;14,6;0,3;2630;6209;9993;7055;2938;688;646;811;1580;991;589;665;1984;5398;8413;6064;2349;23;13,5;31,8;51,2;36,1;15,1;3,5;17,5;21,9;42,7;26,8;15,9;18;12,5;34,1;53,2;38,3;14,9;0,1
07 Nedre Romerike;7;Nedre Romerike;9911;19518;18304;13546;4758;3235;2649;3197;3532;2384;1148;3159;7262;16321;14772;11162;3610;76;19,4;38,3;35,9;26,6;9,3;6,3;21,1;25,5;28,2;19;9,2;25,2;18,9;42,5;38,4;29;9,4;0,2;5319;10660;7746;5385;2361;2167;1238;1833;1525;1011;514;2120;4081;8827;6221;4374;1847;47;20,5;41,2;29,9;20,8;9,1;8,4;18,4;27,3;22,8;15,1;7,7;31,6;21,3;46;32,4;22,8;9,6;0,2;4592;8858;10558;8161;2397;1068;1411;1364;2007;1373;634;1039;3181;7494;8551;6788;1763;29;18,3;35,3;42,1;32,5;9,6;4,3;24,2;23,4;34,5;23,6;10,9;17,8;16,5;38,9;44,5;35,3;9,2;0,2
