Fylke nr & navn;fylke_nr;"Fylke
navn";spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;;;;
Nedbrytninger;;;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;;;;
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;;;;
00 Hele landet;0;Hele landet;8050;9694;9698;9697;35;56;62;20;2818;5429;6013;1939;52;36;24;55;4186;3490;2328;5333;9;8;12;23;725;776;1164;2230;0;0;2;1;0;0;194;97;3;0;0;1;242;0;0;97;;;;
01 Østfold;1;Østfold;259;334;335;334;42;55;55;19;109;184;184;63;51;34;28;52;132;114;94;174;5;10;15;26;13;33;50;87;1;1;2;1;3;3;7;3;2;0;0;1;5;0;0;3;;;;
02 Akershus;2;Akershus;969;1204;1206;1206;44;62;68;23;426;746;820;277;45;33;22;56;436;397;265;675;8;5;10;19;78;60;121;229;0;0;1;0;0;0;12;0;3;0;0;2;29;0;0;24;;;;
03 Oslo;3;Oslo;1882;2464;2465;2464;40;61;69;23;753;1503;1701;567;51;33;22;59;960;813;542;1454;6;5;8;17;113;123;197;419;0;0;1;1;0;0;25;25;3;0;0;1;56;0;0;25;;;;
04 Hedmark;4;Hedmark;158;209;210;210;34;46;52;13;54;96;109;27;53;44;32;51;84;92;67;107;10;11;11;31;16;23;23;65;1;0;5;2;2;0;11;4;2;0;0;3;3;0;0;6;;;;
05 Oppland;5;Oppland;316;385;386;387;35;49;53;17;111;189;205;66;49;40;27;48;155;154;104;186;13;10;16;29;41;39;62;112;0;1;4;5;0;4;15;19;3;0;0;2;9;0;0;8;;;;
06 Buskerud;6;Buskerud;468;518;519;519;35;60;65;28;164;311;337;145;54;34;23;52;253;176;119;270;8;6;10;18;37;31;52;93;0;0;2;1;0;0;10;5;2;0;0;1;9;0;0;5;;;;
07 Vestfold;7;Vestfold;167;207;208;204;40;70;73;24;67;145;152;49;51;24;14;54;85;50;29;110;7;6;10;20;12;12;21;41;1;0;3;2;2;0;6;4;1;0;0;0;2;0;0;0;;;;
08 Telemark;8;Telemark;295;315;315;316;22;45;50;12;65;142;158;38;61;44;28;50;180;139;88;158;14;11;21;34;41;35;66;107;0;0;1;2;0;0;3;6;2;0;0;2;6;0;0;6;;;;
09 Aust-Agder;9;Aust-Agder;186;218;218;217;31;56;57;16;58;122;124;35;57;35;24;50;106;76;52;109;10;10;18;32;19;22;39;69;1;0;1;1;2;0;2;2;1;0;0;0;2;0;0;0;;;;
10 Vest-Agder;10;Vest-Agder;196;225;225;224;44;61;64;23;86;137;144;52;42;29;22;55;82;65;50;123;13;10;12;21;25;23;27;47;1;0;1;1;2;0;2;2;1;0;0;0;2;0;0;0;;;;
11 Rogaland;11;Rogaland;674;796;797;797;36;52;65;23;243;414;518;183;50;39;23;56;337;310;183;446;10;9;12;20;67;72;96;159;0;0;1;1;0;0;8;8;3;0;0;1;20;0;0;8;;;;
12 Hordaland;12;Hordaland;713;832;833;836;26;51;62;17;185;424;516;142;62;42;26;56;442;349;217;468;11;7;10;25;78;58;83;209;0;0;2;1;0;0;17;8;1;0;0;1;7;0;0;8;;;;
14 Sogn og Fjordane;14;Sogn og Fjordane;170;202;202;202;34;54;60;17;58;109;121;34;51;37;24;59;87;75;48;119;10;8;12;22;17;16;24;44;1;0;3;1;2;0;6;2;5;0;0;0;9;0;0;0;;;;
15 Møre og Romsdal;15;Møte og Romsdal;289;347;347;346;36;60;65;23;104;208;226;80;56;33;22;53;162;115;76;183;7;7;11;23;20;24;38;80;0;1;3;1;0;3;10;3;1;0;0;0;3;0;0;0;;;;
16 Sør-Trøndelag;16;Sør-Trøndelag;313;320;320;320;28;51;58;13;88;163;186;42;50;38;28;53;157;122;90;170;12;10;12;31;38;32;38;99;0;1;2;3;0;3;6;10;10;0;0;0;31;0;0;0;;;;
17 Nord-Trøndelag;17;Nord-Trøndelag;143;171;170;171;40;48;55;15;57;82;94;26;42;43;31;56;60;74;53;96;16;8;14;28;23;14;24;48;0;1;1;0;0;2;2;0;2;0;0;1;3;0;0;2;;;;
18 Nordland;18;Nordland;309;328;325;326;24;48;49;16;74;157;159;52;58;36;27;45;179;118;88;147;15;14;21;34;46;46;68;111;0;2;4;4;0;7;13;13;3;0;0;2;9;0;0;7;;;;
19 Troms Romsa;19;Troms Romsa;303;359;357;357;21;47;42;10;64;169;150;36;66;41;33;50;200;147;118;179;11;11;21;34;33;39;75;121;0;0;5;3;0;0;18;11;2;0;0;2;6;0;0;7;;;;
20 Finnmark Finnmárku;20;Finnmark Finnmárku;234;255;254;254;27;45;52;13;63;115;132;33;52;42;28;50;122;107;71;127;15;12;16;31;35;31;41;79;0;0;4;2;0;0;10;5;6;0;0;3;14;0;0;8;;;;
99 Uoppgitt fylke;99;Uoppgitt fylke;6;5;6;7;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;:;:;:;:;.;.;.;.;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
