Fylkenr-fylkenavn;fylke_nr;"Fylke
navn";kjonn.alle;kjonn.0;kjonn.1
00 Hele landet;0;Hele landet;10962;5230;5732
01 Østfold;1;Østfold;360;167;193
02 Akershus;2;Akershus;898;411;487
03 Oslo;3;Oslo;783;416;367
04 Hedmark;4;Hedmark;422;220;202
05 Oppland;5;Oppland;543;296;247
06 Buskerud;6;Buskerud;508;246;262
07 Vestfold;7;Vestfold;344;182;162
08 Telemark;8;Telemark;515;251;264
09 Aust-Agder;9;Aust-Agder;341;141;200
10 Vest-Agder;10;Vest-Agder;656;286;370
11 Rogaland;11;Rogaland;932;455;477
12 Hordaland;12;Hordaland;948;401;547
14 Sogn og Fjordane;14;Sogn og Fjordane;331;161;170
15 Møre og Romsdal;15;Møre og Romsdal;609;285;324
16 Sør-Trøndelag;16;Sør-Trøndelag;613;276;337
17 Nord-Trøndelag;17;Nord-Trøndelag;513;245;268
18 Nordland;18;Nordland;868;428;440
19 Troms ;19;Troms ;540;235;305
20 Finnmark ;20;Finnmark ;238;128;110
99 Uoppgitt fylke;99;Uoppgitt fylke;0;0;0
