naringsgregion_nr-naringsregionnavn;naringsgregion_nr;naringsgregionnavn;avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_8.alle;avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
02 Indre Østfold;2;Indre Østfold;18;:;:;11;:;:;:;:;:;:;61,1111111;:;:;:;:;18;12;6;66,66666667;33,33333333;7;11;:;:;:;:;:;7;:;:;:;:;:;:;:;:;:;:;:;:;:;63,63636364;:;:;:;:;:;:;:;:;7;11;5;7;:;:;71,42857143;63,63636364;:;:
03 Mosseregionen;3;Mosseregionen;27;5;:;:;11;:;:;:;18,5185185;:;:;40,7407407;:;:;:;27;15;12;55,55555556;44,44444444;14;13;:;:;:;:;:;:;5;6;:;:;:;:;:;:;:;:;:;:;:;:;35,71428571;46,15384615;:;:;:;:;:;:;14;13;6;9;8;:;42,85714286;69,23076923;57,14285714;:
04 Nedre Glomma;4;Nedre Glomma;71;6;5;16;13;18;:;10;8,4507042;7,0422535;22,5352113;18,3098592;25,3521127;:;14,084507;71;29;42;40,84507042;59,15492958;32;39;:;:;:;:;6;10;:;10;12;6;:;:;5;5;:;:;:;:;18,75;25,64102564;:;25,64102564;37,5;15,38461538;:;:;15,625;12,82051282;32;39;9;20;23;19;28,125;51,28205128;71,875;48,71794872
05 Akershus Vest;5;Akershus Vest;91;:;:;22;31;8;:;23;:;:;24,1758242;34,0659341;8,7912088;:;25,2747253;91;53;38;58,24175824;41,75824176;55;36;:;:;:;:;14;8;15;16;5;:;:;:;18;5;:;:;:;:;25,45454545;22,22222222;27,27272727;44,44444444;9,090909091;:;:;:;32,72727273;13,88888889;55;36;29;24;26;12;52,72727273;66,66666667;47,27272727;33,33333333
06 Follo;6;Follo;74;12;14;17;17;6;:;7;16,2162162;18,9189189;22,972973;22,972973;8,1081081;:;9,4594595;74;34;40;45,94594595;54,05405405;38;36;5;7;12;:;8;9;5;12;:;:;:;:;:;:;13,15789474;19,44444444;31,57894737;:;21,05263158;25;13,15789474;33,33333333;:;:;:;:;:;:;38;36;13;21;25;15;34,21052632;58,33333333;65,78947368;41,66666667
07 Nedre Romerike;7;Nedre Romerike;75;13;:;11;31;5;:;11;17,3333333;:;14,6666667;41,3333333;6,6666667;:;14,6666667;75;42;33;56;44;39;36;5;8;:;:;6;5;13;18;5;:;:;:;8;:;12,82051282;22,22222222;:;:;15,38461538;13,88888889;33,33333333;50;12,82051282;:;:;:;20,51282051;:;39;36;19;23;20;13;48,71794872;63,88888889;51,28205128;36,11111111
08 Øvre Romerike;8;Øvre Romerike;18;:;:;5;9;:;:;:;:;:;27,7777778;50;:;:;:;18;:;:;77,77777778;:;9;9;:;:;:;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;55,55555556;:;:;:;:;:;:;9;9;6;8;:;:;66,66666667;88,88888889;:;:
09 Oslo;9;Oslo;309;79;12;29;102;32;11;44;25,566343;3,8834951;9,3851133;33,0097087;10,3559871;3,5598706;14,2394822;309;131;178;42,39482201;57,60517799;154;155;47;32;9;:;12;17;30;72;19;13;10;:;27;17;30,51948052;20,64516129;5,844155844;:;7,792207792;10,96774194;19,48051948;46,4516129;12,33766234;8,387096774;6,493506494;:;17,53246753;10,96774194;154;155;42;89;112;66;27,27272727;57,41935484;72,72727273;42,58064516
10 Fjellregionen;10;Fjellregionen;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
