"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;arbeidsalder_18-69.18-29;arbeidsalder_18-69.30-54;arbeidsalder_18-69.55-69;arbeidsalder_18-69.18-29;arbeidsalder_18-69.30-54;arbeidsalder_18-69.55-69;arbeidsalder_18-69.18-29;arbeidsalder_18-69.30-54;arbeidsalder_18-69.55-69;arbeidsalder_18-69.18-29;arbeidsalder_18-69.30-54;arbeidsalder_18-69.55-69;arbeidsalder_18-69.18-29;arbeidsalder_18-69.30-54;arbeidsalder_18-69.55-69;arbeidsalder_18-69.18-29;arbeidsalder_18-69.30-54;arbeidsalder_18-69.55-69
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;2978;7602;2848;318;846;186;2660;6756;2662;64,9;77,4;49,9;48,9;61,1;40,7;67,5;80,1;50,7
02 Indre Østfold;2;Indre Østfold;5756;16465;6530;742;2541;345;5014;13924;6185;68,5;80,2;57,6;55,7;69,3;41,9;71;82,6;58,9
03 Mosseregionen;3;Mosseregionen;5270;16245;5897;714;2511;416;4556;13734;5481;66,4;80,1;54,3;56;66,3;44,7;68,4;83,3;55,2
04 Nedre Glomma;4;Nedre Glomma;12990;36177;13067;1941;5245;725;11049;30932;12342;66,1;78,2;51,9;54,2;61,8;40,4;68,7;81,8;52,8
05 Akershus Vest;5;Akershus Vest;14652;54113;19546;2802;11479;1920;11850;42634;17626;62,4;85,8;68,2;56,6;74,8;58,5;64;89,3;69,5
06 Follo;6;Follo;11926;40838;14564;1665;6626;1156;10261;34212;13408;66,1;85,1;63,5;56,9;73,8;58,6;67,8;87,7;64
07 Nedre Romerike;7;Nedre Romerike;16732;52964;16366;2906;10507;1351;13826;42457;15015;70,2;84,9;60,4;61,3;73;50,1;72,4;88,4;61,5
08 Øvre Romerike;8;Øvre Romerike;9974;29501;9219;1561;4848;536;8413;24653;8683;72,8;83,8;58,6;65,3;74;51,5;74,4;86;59,1
