Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;1316;723;593;379;292;87;937;431;506;56,4;69,7;45,7;59,8;70,2;39,9;55,1;69,3;46,9
0104 Moss;104;Moss;2164;1029;1135;620;423;197;1544;606;938;59;72,1;50,6;57;67,8;42,5;59,8;75,4;52,8
0105 Sarpsborg;105;Sarpsborg;3158;1473;1685;743;568;175;2415;905;1510;57,7;71,4;49,4;53,7;67,8;32,1;59;73,9;52,7
0106 Fredrikstad;106;Fredrikstad;4445;2278;2167;1312;1067;245;3133;1211;1922;59,1;76;47,8;61,4;75;34,3;58,1;76,9;50,4
0111 Hvaler;111;Hvaler;105;74;31;25;17;8;80;57;23;65,6;74;51,7;43,1;63;25,8;78,4;78,1;79,3
0118 Aremark;118;Aremark;19;14;5;6; : ; : ;13;9;4;57,6;66,7;41,7;60; : ; : ;56,5;64,3;44,4
0119 Marker;119;Marker;128;86;42;35;29;6;93;57;36;64,6;72,3;53,2;64,8;76,3;37,5;64,6;70,4;57,1
0121 Rømskog;121;Rømskog;32;27;5;8; : ; : ;24;20;4;86,5;84,4;100;88,9; : ; : ;85,7;83,3;100
0122 Trøgstad;122;Trøgstad;247;199;48;126;117;9;121;82;39;68,4;74,8;50,5;63,3;72,7;23,7;74,7;78,1;68,4
0123 Spydeberg;123;Spydeberg;275;148;127;99;67;32;176;81;95;67,2;72,2;62,3;58,2;66,3;46,4;73,6;77,9;70,4
0124 Askim;124;Askim;1158;509;649;239;171;68;919;338;581;61,1;71,3;54,9;57,3;70,1;39,3;62,1;71,9;57,6
0125 Eidsberg;125;Eidsberg;692;426;266;262;210;52;430;216;214;62,4;72;51,5;62,1;70,7;41,6;62,6;73,2;54,6
0127 Skiptvet;127;Skiptvet;187;138;49;74;62;12;113;76;37;70;75,4;58,3;66,1;73,8;42,9;72,9;76,8;66,1
