Fylke nr & navn;fylke_nr;"Fylke
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;349803;194395;155408;199393;120957;78436;150410;73438;76972;66,8;76,7;57,5;71,7;79,3;62,6;61,2;72,7;53,1
01 Østfold;1;Østfold;16133;8626;7507;9219;5479;3740;6914;3147;3767;60,3;73,3;50,1;65,2;76,4;53,8;54,8;68,5;46,9
02 Akershus;2;Akershus;46519;25984;20535;26170;15926;10244;20349;10058;10291;69,7;77;62,2;74,5;78,5;69,1;64,4;74,9;56,6
03 Oslo;3;Oslo;85579;38235;47344;48843;22645;26198;36736;15590;21146;64,5;76,7;57,2;69,7;78,1;63,8;58,7;74,8;50,7
04 Hedmark;4;Hedmark;7014;4276;2738;3761;2506;1255;3253;1770;1483;61,1;72,2;49,2;64,3;75,3;49,8;57,7;68,3;48,7
05 Oppland;5;Oppland;7310;4493;2817;4044;2735;1309;3266;1758;1508;64,1;75,9;51,4;67,1;78;51,9;60,8;72,8;51
06 Buskerud;6;Buskerud;20455;11599;8856;11710;7270;4440;8745;4329;4416;67,4;77,5;57,6;73,3;80,7;63,6;60,9;72,6;52,6
07 Vestfold;7;Vestfold;12986;7827;5159;7144;4720;2424;5842;3107;2735;66;75,9;55,1;71,3;79,4;59,5;60,6;71,1;51,8
08 Telemark;8;Telemark;7505;3933;3572;3983;2362;1621;3522;1571;1951;60,1;72,5;50,6;62,7;74,8;50,8;57,4;69,2;50,5
09 Aust-Agder;9;Aust-Agder;5275;3240;2035;2923;1940;983;2352;1300;1052;63,1;73,1;51,8;67,6;75,8;55,8;58,2;69,4;48,5
10 Vest-Agder;10;Vest-Agder;9673;4957;4716;5441;3069;2372;4232;1888;2344;63,6;75;54,8;68,8;78,6;59,3;57,9;69,8;50,9
11 Rogaland;11;Rogaland;37727;23152;14575;22849;15336;7513;14878;7816;7062;72,7;79,7;63,7;79,7;84,3;71,7;64;72,1;57
12 Hordaland;12;Hordaland;31518;19376;12142;18673;12673;6000;12845;6703;6142;68,7;76,3;59,3;73,9;79,9;63,9;62,4;70,3;55,5
14 Sogn og Fjordane;14;Sogn og Fjordane;5325;3846;1479;3081;2472;609;2244;1374;870;71,3;79,8;55,8;76,1;83,5;56,1;65,6;74;55,7
15 Møre og Romsdal;15;Møte og Romsdal;14666;10199;4467;8544;6790;1754;6122;3409;2713;72,1;78,8;60,6;77,2;82;63;66,1;73;59,1
16 Sør-Trøndelag;16;Sør-Trøndelag;16296;9427;6869;9397;5962;3435;6899;3465;3434;66,9;75,9;57,5;70,9;77,6;61,5;62,1;73,2;53,9
17 Nord-Trøndelag;17;Nord-Trøndelag;4203;2543;1660;2368;1662;706;1835;881;954;63,9;75,8;51,5;68,2;78,5;52,1;59,1;71,3;51,1
18 Nordland;18;Nordland;8965;5222;3743;4709;3137;1572;4256;2085;2171;64,1;76,2;52,5;65,7;78,1;49,9;62,5;73,6;54,5
19 Troms Romsa;19;Troms Romsa;7763;4601;3162;4068;2623;1445;3695;1978;1717;68,4;76,7;59,1;70,6;77,7;60,6;66,1;75,3;57,9
20 Finnmark Finnmárku;20;Finnmark Finnmárku;4891;2859;2032;2466;1650;816;2425;1209;1216;71;75,7;65,3;72;76,1;64,8;70,1;75,1;65,7
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
