Kommune nr & navn;kommune_nr;"Kommune
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;1316;723;593;709;425;284;607;298;309;56,4;69,7;45,7;60,8;73,8;48,1;51,9;64,5;43,7
0104 Moss;104;Moss;2164;1029;1135;1204;629;575;960;400;560;59;72,1;50,6;62,4;72,4;54,2;55,2;71,6;47,4
0105 Sarpsborg;105;Sarpsborg;3158;1473;1685;1852;976;876;1306;497;809;57,7;71,4;49,4;63,6;76;53,8;51;63,8;45,4
0106 Fredrikstad;106;Fredrikstad;4445;2278;2167;2538;1459;1079;1907;819;1088;59,1;76;47,8;63,7;79,4;50,3;53,9;70,7;45,7
0111 Hvaler;111;Hvaler;105;74;31;52;42;10;53;32;21;65,6;74;51,7;72,2;75;62,5;60,2;72,7;47,7
0118 Aremark;118;Aremark;19;14;5;10;10;0;9;4;5;57,6;66,7;41,7;62,5;66,7;0;52,9;66,7;45,5
0119 Marker;119;Marker;128;86;42;57;34;23;71;52;19;64,6;72,3;53,2;67,9;72,3;62,2;62,3;72,2;45,2
0121 Rømskog;121;Rømskog;32;27;5;17; : ; : ;15; : ; : ;86,5;84,4;100;85; : ; : ;88,2; : ; : 
0122 Trøgstad;122;Trøgstad;247;199;48;143;128;15;104;71;33;68,4;74,8;50,5;70,8;75,7;45,5;65,4;73,2;53,2
0123 Spydeberg;123;Spydeberg;275;148;127;151;94;57;124;54;70;67,2;72,2;62,3;71,9;73,4;69,5;62,3;70,1;57,4
0124 Askim;124;Askim;1158;509;649;655;319;336;503;190;313;61,1;71,3;54,9;66,7;73,7;61,2;55;67,6;49,4
0125 Eidsberg;125;Eidsberg;692;426;266;404;268;136;288;158;130;62,4;72;51,5;69,7;77,2;58,4;54,4;64,5;45,8
0127 Skiptvet;127;Skiptvet;187;138;49;114;94;20;73;44;29;70;75,4;58,3;78,1;79,7;71,4;60,3;67,7;51,8
