Fylke nr & navn;fylke_nr;"Fylke
navn";vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika;vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;349803;46290;39995;101711;29309;6438;88485;26124;11451;66,8;81,8;76,2;75,1;66,3;70,8;58,5;45,5;66,4
01 Østfold;1;Østfold;16133;2264;1099;5084;2291;179;3958;910;348;60,3;76,9;71;72,5;56,2;67;49,7;37,6;65,5
02 Akershus;2;Akershus;46519;7355;4847;12863;3341;925;13235;2653;1300;69,7;85,5;78,8;72,4;67,3;75,6;62,2;54,4;69,3
03 Oslo;3;Oslo;85579;13851;8095;14688;6427;1608;28136;9503;3271;64,5;84,3;75,6;71,8;66,6;72;57,7;48,8;66,8
04 Hedmark;4;Hedmark;7014;1185;809;2182;636;100;1482;475;145;61,1;74,1;73,3;71,4;59;63,3;53,8;32,1;57,3
05 Oppland;5;Oppland;7310;915;863;2613;759;102;1438;481;139;64,1;80,3;75,4;74,7;65,9;73,9;55,4;31,4;69,2
06 Buskerud;6;Buskerud;20455;2467;2062;6798;1871;274;5339;1088;556;67,4;82,8;79,3;75,5;68,7;70,1;56,6;45;69,8
07 Vestfold;7;Vestfold;12986;1694;1458;4462;1348;216;2905;608;295;66;78,7;75,9;75,5;63,3;64,7;54,9;41,9;60,8
08 Telemark;8;Telemark;7505;844;964;2028;793;98;1834;646;298;60,1;72,4;72,6;73,2;60;58,7;52,9;36;62,7
09 Aust-Agder;9;Aust-Agder;5275;671;805;1648;494;117;1157;265;118;63,1;74,1;75,5;72;61;67,6;51,9;38,2;59,9
10 Vest-Agder;10;Vest-Agder;9673;1123;1412;2217;1246;205;2281;606;583;63,6;77,3;77,4;73,3;65,2;67;54,1;39,1;62,2
11 Rogaland;11;Rogaland;37727;3671;5681;12854;2951;950;7994;2363;1263;72,7;83,5;79,7;79,3;71,4;72;63;56,5;67,5
12 Hordaland;12;Hordaland;31518;2674;4188;11820;1910;700;6432;2308;1486;68,7;81,6;73,1;76,7;68,5;72;60;48,9;66,6
14 Sogn og Fjordane;14;Sogn og Fjordane;5325;533;784;2469;297;61;714;279;188;71,3;82,6;78,2;80,1;73,2;67,8;64,4;32,1;71,5
15 Møre og Romsdal;15;Møte og Romsdal;14666;1169;1970;6863;954;199;2530;622;359;72,1;81,2;80,4;78;70,8;74;65;38,8;67,6
16 Sør-Trøndelag;16;Sør-Trøndelag;16296;1735;2132;5211;1228;351;3919;1152;568;66,9;80,2;71,1;77,5;67,8;65,7;58,5;45,6;62,3
17 Nord-Trøndelag;17;Nord-Trøndelag;4203;525;449;1509;303;61;887;392;77;63,9;79,9;77,4;74,4;66;68,5;58,4;35,4;55,8
18 Nordland;18;Nordland;8965;1263;919;2922;866;119;1967;712;197;64,1;78,3;74,6;76,3;68,6;67,2;60,5;30,7;66,1
19 Troms Romsa;19;Troms Romsa;7763;1327;1124;2010;723;142;1434;799;204;68,4;79,9;73,7;76,8;71,4;71;63,9;44,1;72,9
20 Finnmark Finnmárku;20;Finnmark Finnmárku;4891;1024;334;1470;871;31;843;262;56;71;75,1;77,9;76;75,9;63,3;67;42,3;65,9
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
