Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika;vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;1316;258;142;310;248;13;246;81;18;56,4;69,5;68,6;70,8;48,7;59,1;48,8;31,6;64,3
0104 Moss;104;Moss;2164;304;126;572;209;27;685;166;75;59;80,2;69,2;69,4;60,4;62,8;50,1;38,7;75
0105 Sarpsborg;105;Sarpsborg;3158;349;118;984;644;22;828;154;59;57,7;74,1;63,8;71,9;54,1;56,4;48,8;35,3;68,6
0106 Fredrikstad;106;Fredrikstad;4445;694;315;1207;650;62;1134;299;84;59,1;81,1;73,4;74;58,4;76,5;46,5;35,6;61,8
0111 Hvaler;111;Hvaler;105;28;19;23;9;4;15; : ;6;65,6;84,8;79,2;65,7;64,3;50;51,7; : ;85,7
0118 Aremark;118;Aremark;19;6;6; : ; : ;0; : ; : ;0;57,6;66,7;85,7; : ; : ;.; : ; : ;.
0119 Marker;119;Marker;128;40;7;38;11; : ;21;9; : ;64,6;69;58,3;84,4;61,1; : ;55,3;45; : 
0121 Rømskog;121;Rømskog;32;15;8;4; : ;0; : ;0;0;86,5;83,3;80;100; : ;.; : ;.;.
0122 Trøgstad;122;Trøgstad;247;40;23;133;20; : ;24;4;0;68,4;75,5;79,3;73,5;87; : ;48;19;.
0123 Spydeberg;123;Spydeberg;275;30;23;93;16; : ;91;16; : ;67,2;76,9;65,7;72,7;64; : ;67,4;47,1; : 
0124 Askim;124;Askim;1158;121;66;317;167;5;386;57;39;61,1;75,6;78,6;68,9;54,6;50;54,1;52,3;73,6
0125 Eidsberg;125;Eidsberg;692;60;45;316;87;5;124;36;19;62,4;65,9;61,6;75,2;56,9;62,5;51,2;40,4;57,6
0127 Skiptvet;127;Skiptvet;187;17;13;104;17;4;25; : ;4;70;73,9;92,9;73,8;73,9;80;54,3; : ;50
0128 Rakkestad;128;Rakkestad;424;33;24;205;64;5;60;31; : ;62;64,7;66,7;75,4;54,2;62,5;45,5;51,7; : 
0135 Råde;135;Råde;322;48;25;167;27; : ;38;8; : ;68,4;77,4;75,8;75,2;58,7; : ;57,6;30,8; : 
0136 Rygge;136;Rygge;772;110;72;274;60;11;201;20;24;67,2;82,7;78,3;72,1;62,5;73,3;55,8;55,6;66,7
0137 Våler (Østfold);137;Våler (Østf.);294;55;25;142;24; : ;31;9; : ;69,7;77,5;64,1;67;75; : ;66;75; : 
0138 Hobøl;138;Hobøl;395;56;42;193;33;7;45;15;4;71,3;86,2;75;78,5;60;87,5;53,6;46,9;50
0211 Vestby;211;Vestby;1079;209;154;214;92;22;266;76;46;70,2;82,3;80,2;70,2;69,2;81,5;65,5;46,1;85,2
0213 Ski;213;Ski;2069;361;209;466;248;26;537;156;66;67,7;84,7;80,7;71;66,7;76,5;58,1;53,8;69,5
0214 Ås;214;Ås;1732;235;223;388;121;51;464;185;65;68,5;83,6;71;73,6;68,8;69,9;66,9;50,8;64,4
0215 Frogn;215;Frogn;843;212;144;190;60;34;143;44;16;70,7;84,1;80;67,1;77,9;77,3;57,2;55,7;59,3
0216 Nesodden;216;Nesodden;1218;299;258;257;90;51;168;51;44;72,8;84,2;76,6;76,3;64,3;81;62,2;50,5;62
0217 Oppegård;217;Oppegård;1633;346;203;346;106;35;427;120;50;68,4;87,2;79,9;69,9;67,9;87,5;57,1;52,2;72,5
0219 Bærum;219;Bærum;10807;1772;1289;2911;754;324;2832;605;320;69,9;87,7;80;72,3;69,2;75,3;60,5;52,6;70,3
0220 Asker;220;Asker;5118;884;659;1411;393;156;1116;348;151;70,7;86,3;80,2;71,8;70,6;75,4;60,5;57,1;73,7
0221 Aurskog Høland;221;Aurskog-Høland;792;120;89;412;20;7;109;21;14;69,3;78,4;66,9;72,3;64,5;87,5;61,6;42;66,7
0226 Sørum;226;Sørum;1317;189;125;525;73;17;319;37;32;72,4;84;78,6;72,9;72,3;73,9;66,3;60,7;64
0227 Fet;227;Fet;784;118;77;339;59;4;133;37;17;71,3;84,3;76,2;72,6;64,1;50;67,5;55,2;63
0228 Rælingen;228;Rælingen;1575;198;117;371;95;9;616;114;55;71;86,1;84,2;78,8;73,1;64,3;64,1;60;65,5
0229 Enebakk;229;Enebakk;681;96;64;250;45;5;163;31;27;70,6;80;80;70,4;63,4;55,6;69,1;51,7;79,4
0230 Lørenskog;230;Lørenskog;3571;384;222;850;267;27;1538;217;66;68,3;82,8;84,4;70,9;66,4;77,1;64,2;56,5;73,3
0231 Skedsmo;231;Skedsmo;4924;521;318;1081;310;52;2263;289;90;66,1;84,6;76,6;70,2;60,1;83,9;62,1;56,3;63,8
0233 Nittedal;233;Nittedal;1566;277;161;466;81;26;459;56;40;74,7;88,2;81,3;76,3;69,2;83,9;67,3;63,6;74,1
0234 Gjerdrum;234;Gjerdrum;447;90;34;230;13;6;54;13;7;73,8;90;75,6;74,9;56,5;75;60,7;56,5;63,6
0235 Ullensaker;235;Ullensaker;3023;529;194;876;281;31;910;112;90;71,2;85;77,9;74,2;65,7;77,5;63,9;63,6;72
0236 Nes (Akershus);236;Nes (Ak.);1007;150;110;384;90;14;188;53;18;67,9;84,7;74,8;72,7;62,9;66,7;56,1;53;58,1
0237 Eidsvoll;237;Eidsvoll;1264;198;103;463;86;17;276;58;63;68,8;83,2;76,9;72,2;66,2;56,7;60;51,3;69,2
0238 Nannestad;238;Nannestad;950;142;64;406;53;10;234;24;17;74,1;87,7;78;75,7;73,6;66,7;69,6;46,2;63
0239 Hurdal;239;Hurdal;119;25;30;27;4; : ;20;6; : ;73,5;86,2;90,9;71,1;44,4; : ;66,7;60; : 
0301 Oslo;301;Oslo kommune;85579;13851;8095;14688;6427;1608;28136;9503;3271;64,5;84,3;75,6;71,8;66,6;72;57,7;48,8;66,8
0402 Kongsvinger;402;Kongsvinger;725;152;54;149;88;5;218;33;26;53,6;71;74;67,7;50,3;62,5;47,3;21,7;53,1
0403 Hamar;403;Hamar;1349;195;125;300;144;19;375;156;35;61,3;78,3;80,1;69,9;61;73,1;55,9;41,9;58,3
0412 Ringsaker;412;Ringsaker;1254;143;134;578;94;23;231;43;8;67,2;75,3;75,7;74,1;67,1;88,5;57,2;32,8;44,4
0415 Løten;415;Løten;226;31;22;89;12; : ;57;9; : ;61,1;83,8;62,9;65,9;54,5; : ;60;25,7; : 
0417 Stange;417;Stange;715;90;117;211;77;13;122;72;13;62,4;75,6;73,1;74,6;58,8;46,4;53;41,9;59,1
0418 Nord-Odal;418;Nord-Odal;95;17;11;41; : ; : ;15; : ;5;63,3;60,7;68,8;73,2; : ; : ;50; : ;55,6
0419 Sør-Odal;419;Sør-Odal;214;58;18;61;14;4;40;10;9;66;80,6;69,2;68,5;82,4;50;61,5;31,3;60
0420 Eidskog;420;Eidskog;170;75;11;31;13; : ;34; : ; : ;56,1;66,4;61,1;66;50; : ;47,9; : ; : 
0423 Grue;423;Grue;156;27;14;60;16; : ;31;6; : ;66,1;64,3;66,7;74,1;72,7; : ;62;40; : 
0425 Åsnes;425;Åsnes;180;33;16;59;19; : ;38;11; : ;54,4;62,3;69,6;70,2;65,5; : ;45,8;23,4; : 
0426 Våler (Hedm.);426;Våler (Hedm.);118;22;28;42;4;0;20; : ; : ;68,2;73,3;90,3;65,6;66,7;.;57,1; : ; : 
0427 Elverum;427;Elverum;726;120;56;174;83;11;180;76;26;60,2;79,5;68,3;66,2;54,2;64,7;58,6;38,8;70,3
0428 Trysil;428;Trysil;251;118;40;53;8; : ;23;6; : ;57,6;73,3;70,2;53,5;33,3; : ;41,8;18,8; : 
0429 Åmot;429;Åmot;135;18;30;58;6;4;13; : ;4;61,6;64,3;69,8;70,7;50;66,7;44,8; : ;80
0430 Stor-Elvdal;430;Stor-Elvdal;103; : ;30;24;7; : ;18;15;0;35,6; : ;58,8;77,4;53,8; : ;38,3;11,5;.
0432 Rendalen;432;Rendalen;35;9;4;13;4; : ; : ; : ;0;53;52,9;30,8;81,3;80; : ; : ; : ;.
0434 Engerdal;434;Engerdal;35;18;6;7; : ;0; : ;0; : ;47,3;69,2;75;100; : ;.; : ;.; : 
0436 Tolga;436;Tolga;67;5;27;17;7; : ;5;4; : ;60,4;83,3;75;81;53,8; : ;45,5;18,2; : 
0437 Tynset;437;Tynset;268;18;17;157;14; : ;36;21; : ;72,8;94,7;81;80,9;82,4; : ;62,1;40,4; : 
0438 Alvdal;438;Alvdal;65;7;16;18;9;0;10; : ; : ;67;87,5;94,1;78,3;69,2;.;76,9; : ; : 
0439 Folldal;439;Folldal;39;7;12;9; : ;0;7;0; : ;79,6;87,5;85,7;100; : ;.;87,5;.; : 
