Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;634415;470920;163495;57418;106077;18,6;16,4;29,9;22,1;37,1
01 Østfold;1;Østfold;44214;34072;10142;3088;7054;23,5;21,4;35,8;25,5;43,5
02 Akershus;2;Akershus;63972;44861;19111;7600;11511;16,8;14,5;27,6;22;33,1
03 Oslo;3;Oslo;88461;45349;43112;10886;32226;19,5;14,3;31,7;21,5;37,7
04 Hedmark;4;Hedmark;27543;23195;4348;1632;2716;21,8;20,3;35,5;26,6;44,5
05 Oppland;5;Oppland;23636;19733;3903;1417;2486;19,3;17,8;32,4;23,2;41,9
06 Buskerud;6;Buskerud;34595;25122;9473;3325;6148;19,2;16,9;29,9;21,6;37,6
07 Vestfold;7;Vestfold;33851;27409;6442;2484;3958;21,3;19,8;31;23,2;39,2
08 Telemark;8;Telemark;24363;19804;4559;1411;3148;21,6;19,9;34,2;25,1;40,8
09 Aust-Agder;9;Aust-Agder;16424;13502;2922;1177;1745;21,9;20,4;32,7;25,4;40,7
10 Vest-Agder;10;Vest-Agder;23103;17823;5280;1625;3655;19,6;17,5;32,8;23,8;39,4
11 Rogaland;11;Rogaland;48935;35060;13875;5902;7973;15,9;13,8;25,7;19,8;33,1
12 Hordaland;12;Hordaland;55497;42370;13127;5738;7389;16,4;14,6;27,6;22;34,2
14 Sogn og Fjordane;14;Sogn og Fjordane;10036;7935;2101;993;1108;14,3;12,8;26,3;19,7;37,8
15 Møre og Romsdal;15;Møte og Romsdal;28178;22586;5592;2762;2830;16,5;15,1;26,2;20,7;35,6
16 Sør-Trøndelag;16;Sør-Trøndelag;34426;27463;6963;2684;4279;16,6;15,1;27,5;21,1;34
17 Nord-Trøndelag;17;Nord-Trøndelag;15585;13281;2304;809;1495;17,9;16,6;32,9;23,4;42
18 Nordland;18;Nordland;31172;26299;4873;1617;3256;19,8;18,4;32,8;22,9;41,9
19 Troms Romsa;19;Troms Romsa;20143;16727;3416;1343;2073;18,5;17,2;28,6;21,8;35,8
20 Finnmark Finnmárku;20;Finnmark Finnmárku;10281;8329;1952;925;1027;20,2;19,1;26,9;24;30,3
