Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;4962;588;4374;4022;455;3567;940;133;807;25;14,7;27,7;23,2;12,8;25,9;37,9;29,7;39,7
0104 Moss;104;Moss;5157;612;4545;3697;438;3259;1460;174;1286;25;16,1;27;22;13,5;24;38;31,5;39,1
0105 Sarpsborg;105;Sarpsborg;8904;997;7907;6723;711;6012;2181;286;1895;25,1;14,8;27,5;22,7;12,4;25,1;37,5;28,9;39,3
0106 Fredrikstad;106;Fredrikstad;12158;1526;10632;9248;1099;8149;2910;427;2483;23,7;15,3;25,7;21,3;12,9;23,4;36,3;28,8;38,1
0111 Hvaler;111;Hvaler;677;67;610;615;51;564;62;16;46;23,2;14,3;24,8;22,5;12,1;24,4;32,6;34;32,2
0118 Aremark;118;Aremark;180;23;157;166;21;145;14; : ; : ;20,4;16,3;21,2;19,6;15,2;20,4;40; : ; : 
0119 Marker;119;Marker;521;50;471;454;43;411;67;7;60;22,9;12,1;25,3;21,9;10,9;24,5;33;33,3;33
0121 Rømskog;121;Rømskog;78;8;70;73;7;66;5; : ; : ;18,8;12,9;19,8;19,3;11,9;20,7;13,2; : ; : 
0122 Trøgstad;122;Trøgstad;750;90;660;640;71;569;110;19;91;21,2;13,8;22,9;20,3;12;22,2;28,6;31,7;28
0123 Spydeberg;123;Spydeberg;744;90;654;608;70;538;136;20;116;20,4;13,7;21,8;18,9;11,7;20,5;31,6;35,1;31
0124 Askim;124;Askim;2495;279;2216;1774;201;1573;721;78;643;24,2;14,4;26,5;21,4;12,1;23,7;36,2;28,4;37,4
0125 Eidsberg;125;Eidsberg;1675;250;1425;1277;185;1092;398;65;333;22,6;17;23,9;20,5;14,6;22;33,2;31,9;33,5
0127 Skiptvet;127;Skiptvet;492;54;438;413;43;370;79;11;68;20,1;12,2;21,8;19;10,7;20,9;28,2;28,2;28,2
0128 Rakkestad;128;Rakkestad;1150;136;1014;900;97;803;250;39;211;21,9;14,3;23,7;20;11,7;21,8;34,2;30,5;35
0135 Råde;135;Råde;906;113;793;754;84;670;152;29;123;19,5;13,1;21;18,2;10,6;20;30,5;39,7;28,9
0136 Rygge;136;Rygge;2070;257;1813;1700;220;1480;370;37;333;21;14,1;22,6;19,7;12,9;21,3;31;29,8;31,1
0137 Våler (Østfold);137;Våler (Østf.);615;77;538;488;63;425;127;14;113;18,5;13,6;19,5;16,9;12;18;29,1;34,1;28,5
0138 Hobøl;138;Hobøl;680;103;577;520;78;442;160;25;135;19,3;15;20,3;17,6;12,8;18,9;27,4;32,1;26,7
0211 Vestby;211;Vestby;1844;212;1632;1402;142;1260;442;70;372;17,7;12,2;18,8;15,9;9,2;17,3;27,4;35,2;26,3
0213 Ski;213;Ski;3133;366;2767;2214;257;1957;919;109;810;16,3;9,8;17,8;13,8;7,8;15,4;28,9;26,5;29,3
0214 Ås;214;Ås;1794;280;1514;1204;177;1027;590;103;487;14,9;11;15,9;12,7;8,2;14,1;22,7;28,3;21,8
0215 Frogn;215;Frogn;1781;203;1578;1444;157;1287;337;46;291;17,3;10,7;18,8;15,9;8,9;17,6;27,1;33,8;26,3
0216 Nesodden;216;Nesodden;2126;303;1823;1695;246;1449;431;57;374;17,4;13,4;18,3;16,2;11,8;17,3;24,8;32,4;23,9
0217 Oppegård;217;Oppegård;2611;370;2241;1907;271;1636;704;99;605;15,4;11,5;16,3;13,2;9,3;14,2;28,5;34,9;27,6
0219 Bærum;219;Bærum;11885;1548;10337;7440;974;6466;4445;574;3871;15,5;10,9;16,5;12,2;7,9;13,4;27,8;32,3;27,2
0220 Asker;220;Asker;6020;896;5124;3975;582;3393;2045;314;1731;15,8;12,1;16,7;13;9;14,1;27,2;33,5;26,3
0221 Aurskog Høland;221;Aurskog-Høland;1998;253;1745;1649;200;1449;349;53;296;19,6;13,9;20,8;18,3;12,2;19,7;28,8;30,1;28,6
0226 Sørum;226;Sørum;1790;223;1567;1327;156;1171;463;67;396;16,1;11,5;17,1;14,3;9;15,5;24,8;31,3;23,9
0227 Fet;227;Fet;1203;150;1053;899;114;785;304;36;268;16,2;11,4;17,3;14,3;9,8;15,4;26,7;24,2;27,1
0228 Rælingen;228;Rælingen;1882;249;1633;1255;171;1084;627;78;549;16,6;12,1;17,6;13,9;9,5;14,9;27,2;28,9;27
0229 Enebakk;229;Enebakk;1287;139;1148;1004;102;902;283;37;246;18,1;11,4;19,5;16,4;9,2;18,1;28,3;34,9;27,5
0230 Lørenskog;230;Lørenskog;4238;498;3740;2649;344;2305;1589;154;1435;18,2;11,4;19,7;14,8;9,2;16,2;29,3;24,9;29,9
0231 Skedsmo;231;Skedsmo;6234;763;5471;3851;453;3398;2383;310;2073;18,2;11,7;19,7;14,6;8,4;16,2;30,7;28,2;31,1
0233 Nittedal;233;Nittedal;2150;308;1842;1647;239;1408;503;69;434;14,6;11,1;15,4;13,1;9,4;14;23,5;30,9;22,7
0234 Gjerdrum;234;Gjerdrum;595;69;526;442;52;390;153;17;136;14,2;9,1;15,4;12,4;7,6;13,6;24,5;21,8;24,9
0235 Ullensaker;235;Ullensaker;3907;483;3424;2736;331;2405;1171;152;1019;18,2;12,4;19,4;16;10,2;17,3;26,6;23,4;27,1
0236 Nes (Akershus);236;Nes (Ak.);2603;332;2271;2150;264;1886;453;68;385;19,1;13,1;20,4;17,8;11,5;19,3;28,8;28,3;28,9
0237 Eidsvoll;237;Eidsvoll;3092;348;2744;2539;277;2262;553;71;482;20,4;13,3;21,9;19,2;11,6;20,8;28,7;29,1;28,7
0238 Nannestad;238;Nannestad;1416;198;1218;1095;139;956;321;59;262;18;13,5;19;16,8;11;18,2;23,9;29,9;22,9
0239 Hurdal;239;Hurdal;383;39;344;337;30;307;46;9;37;21,8;11,7;24,2;21,3;9,7;24,1;27,1;40,9;25
0301 Oslo;301;Oslo kommune;88461;11211;77250;45349;6223;39126;43112;4988;38124;19,5;13,6;20,8;14,3;9,7;15,4;31,7;27,3;32,3
0402 Kongsvinger;402;Kongsvinger;3269;419;2850;2656;323;2333;613;96;517;28,1;19,1;30,1;26;16,4;28,3;42,7;42,5;42,7
0403 Hamar;403;Hamar;3824;449;3375;3034;323;2711;790;126;664;19,9;11,9;21,8;17,9;9,6;20;33,9;30,5;34,6
0412 Ringsaker;412;Ringsaker;4448;518;3930;3839;427;3412;609;91;518;20,3;12,4;22,1;19,2;11;21,2;31;33,5;30,7
0415 Løten;415;Løten;1097;127;970;953;101;852;144;26;118;22;13,5;23,9;20,7;11,6;22,8;36,4;37,7;36,1
0417 Stange;417;Stange;2701;333;2368;2283;240;2043;418;93;325;20,9;13,6;22,6;19,5;10,8;21,5;34;39,2;32,8
0418 Nord-Odal;418;Nord-Odal;841;69;772;784;62;722;57;7;50;25,6;12,1;28,4;25,1;11,4;28;34,1;28;35,2
0419 Sør-Odal;419;Sør-Odal;1186;116;1070;1076;103;973;110;13;97;22,7;12,4;24,9;22;11,5;24,3;32,3;32,5;32,2
0420 Eidskog;420;Eidskog;1077;122;955;951;111;840;126;11;115;26,6;16,4;28,9;25,4;15,7;27,7;40;29,7;41,4
0423 Grue;423;Grue;788;106;682;706;84;622;82;22;60;25,1;18,3;26,7;24,5;16;26,5;31,3;40,7;28,8
0425 Åsnes;425;Åsnes;1273;157;1116;1119;127;992;154;30;124;26,7;18,3;28,6;25,3;15,8;27,5;44,3;60;41,6
0426 Våler (Hedm.);426;Våler (Hedm.);614;54;560;562;48;514;52;6;46;25,1;13,3;27,4;24,7;12,6;27,2;29,4;24;30,3
0427 Elverum;427;Elverum;2663;353;2310;2204;261;1943;459;92;367;19,7;13;21,4;18,1;10,7;19,9;35,3;32,9;36
0428 Trysil;428;Trysil;1031;118;913;855;98;757;176;20;156;24,4;15,2;26,4;22,6;13,7;24,7;38,4;32,3;39,4
0429 Åmot;429;Åmot;602;73;529;521;59;462;81;14;67;20,9;12,9;22,9;19,7;11,3;21,8;34;33,3;34,2
0430 Stor-Elvdal;430;Stor-Elvdal;541;91;450;363;27;336;178;64;114;30,3;26,4;31,3;24,5;10,5;27,5;58,6;72,7;52,8
0432 Rendalen;432;Rendalen;229;18;211;199;10;189;30;8;22;19,8;9,1;22;18,3;5,4;20,9;44,1;61,5;40
0434 Engerdal;434;Engerdal;166;21;145;127;13;114;39;8;31;20,3;13,5;21,9;17,2;9,1;19,1;50,6;66,7;47,7
0436 Tolga;436;Tolga;142;21;121;101;14;87;41;7;34;13,4;8,7;14,8;10,8;6,3;12,1;34,5;35;34,3
0437 Tynset;437;Tynset;519;84;435;410;50;360;109;34;75;14,6;11,6;15,4;13,1;7,9;14,4;26,3;36,6;23,3
0438 Alvdal;438;Alvdal;204;19;185;172;13;159;32;6;26;13,5;6,4;15,2;12,2;4,6;14;31,7;37,5;30,6
0439 Folldal;439;Folldal;156;10;146;144;8;136;12; : ; : ;15,7;5,6;18;15,4;4,7;17,8;22,6; : ; : 
0441 Os (Hedm.);441;Os (Hedm.);172;27;145;136;22;114;36;5;31;13,2;9,4;14,3;11,7;8,4;12,7;26,1;20,8;27,2
0501 Lillehammer;501;Lillehammer;2874;414;2460;2314;304;2010;560;110;450;16,1;10,4;17,7;14,6;8,5;16,4;27,5;27,3;27,6
0502 Gjøvik;502;Gjøvik;3950;476;3474;3176;363;2813;774;113;661;20,1;12;22,1;18,6;10,4;20,6;30,5;23,2;32,2
0511 Dovre;511;Dovre;341;41;300;283;26;257;58;15;43;20;12,5;21,8;18,3;8,8;20,6;35,2;46,9;32,3
0512 Lesja;512;Lesja;162;10;152;140;8;132;22; : ; : ;12,5;3,9;14,6;11,7;3,3;13,9;20,6; : ; : 
0513 Skjåk;513;Skjåk;249;18;231;199;9;190;50;9;41;17,4;7,2;19,5;15,2;3,8;17,6;41,3;56,3;39
0514 Lom;514;Lom;228;17;211;205;13;192;23;4;19;15;5,7;17,2;14,2;4,6;16,6;27,7;30,8;27,1
0515 Vågå;515;Vågå;385;39;346;339;33;306;46;6;40;16,7;9,2;18,5;15,5;8,1;17,3;39;37,5;39,2
0516 Nord-Fron;516;Nord-Fron;695;80;615;623;66;557;72;14;58;19;11,8;20,6;18,2;10,6;20;28,8;27,5;29,1
0517 Sel;517;Sel;802;104;698;691;69;622;111;35;76;20,9;14;22,6;19,3;10,1;21,5;43,4;59,3;38,6
0519 Sør-Fron;519;Sør-Fron;384;23;361;338;21;317;46; : ; : ;19,1;6,2;22;18,4;6,1;21,2;26,7; : ; : 
0520 Ringebu;520;Ringebu;558;46;512;455;35;420;103;11;92;19,3;8,7;21,7;17,7;7,1;20,2;32,7;28,2;33,3
