naringsregion;naringsregion_nr;naringsregion_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1; Halden           ;11,4;24,4;44,6;35,5;9,1
02 Indre Østfold;2; Indre Østfold    ;9,3;21,6;32,1;26,9;7,3
03 Mosseregionen;3; Mosseregionen    ;8,2;19;30,1;24,9;6,2
04 Nedre Glomma;4; Nedre Glomma     ;10,6;20,9;40,2;33,2;7,8
05 Akershus Vest;5; Akershus Vest    ;6,2;17;24;20,2;4
06 Follo;6; Follo            ;6,3;15,2;23,8;19,3;4,7
07 Nedre Romerike;7; Nedre Romerike   ;6,6;17,7;21;19,7;4,6
08 Øvre Romerike;8; Øvre Romerike    ;6,7;16,8;23,3;20;5,1
09 Oslo;9; Oslo             ;13,7;19,6;31;27,2;10
10 Fjellregionen;10; Fjellregionen    ;9,8;24,7;42,9;31,6;8,3
11 Glåmdal;11; Glåmdal          ;10,5;23,4;39,1;31,2;9,2
12 Hamarregionen;12; Hamarregionen    ;8,6;21,8;39,4;30,8;7
13 Sør Østerdal;13; Sør Østerdal     ;10,1;26,7;43,2;34,4;8,5
14 Gjøvikregionen;14; Gjøvikregionen   ;9,2;22,4;38,2;31,1;7,7
15 Hadeland;15; Hadeland         ;7,5;22,8;36,4;29,6;6
16 Lillehammerregionen;16; Lillehammerregionen;9,7;19,7;40,6;30,9;8,1
17 Midt-Gudbrandsdal;17; Midt-Gudbrandsdalen ;10,4;31,9;53,6;38,6;8,8
18 Nord-Gudbrandsdal;18; Nord-Gudbrandsdalen ;9,5;31,4;44,8;36,9;8,3
19 Valdres;19; Valdres          ;10,7;32,2;48,7;37,5;8,9
20 Drammensregionen;20; Drammensregionen ;8,5;17,8;30,2;24,8;6
21 Hallingdal;21; Hallingdal       ;9,1;21,6;34,6;25,5;7,3
22 Kongsberg/Numedal;22; Kongsberg/Numedal ;6,8;16,6;28,1;22,2;5,2
23 Midt-Buskerud;23; Midt-Buskerud    ;8,6;27;35,6;30,3;7
24 Ringerike/Hole;24; Ringerike/Hole   ;9,3;24,3;31,4;27,7;7,4
25 Tønsbergregionen;25; Tønsbergregionen ;8,7;23,1;34,9;28,6;6,8
26 Sandefjord/Larvik;26; Sandefjord/Larvik ;9,8;22,4;36,6;30;7,7
27 Grenland;27; Grenland         ;9,4;21,5;39,2;32,2;7,3
28 Midt-Telemark;28; Midt-Telemark    ;11,7;31,3;50,6;41,1;9,5
29 Øst-Telemark;29; Øst-Telemark     ;9,3;28,2;38,8;33,4;7,6
30 Vest-Telemark;30; Vest-Telemark    ;8,4;23,9;33,3;26,3;7,2
31 Setesdal;31; Setesdal         ;9,1;22,4;40,6;31,4;6,9
32 Arendalregionen;32; Arendalregionen  ;9,3;25,3;37,1;30,8;7,3
33 Lister;33; Lister           ;7,6;19,3;30,4;23,9;6,3
34 Mandalsregionen;34; Mandalsregionen  ;8,8;21;40,2;29,6;7,1
35 Kristiansandregionen;35; Kristiansandregi ;9;17,4;31,7;26,1;7
36 Dalane;36; Dalane           ;5,6;8,9;21,8;14,4;4,9
37 Haugesundregionen;37; Haugesundregione ;7,4;22;29,8;25,5;5,8
38 Ryfylke;38; Ryfylke          ;6,1;17,1;27,3;20,6;4,9
39 Stavangerregionen;39; Stavangerregione ;5,6;12;21,3;16,5;4,1
40 Bergen;40; Bergen           ;9,2;19,7;30,8;25,7;7,2
41 Bjørnefjorden;41; Bjørnefjorden    ;6,2;19;19,9;19,3;5,2
42 Hardanger;42; Hardanger        ;6,8;17,9;28,4;21,8;5,7
43 Voss;43; Voss             ;7,2;23,2;38,9;30;6,1
44 Nordhordland;44; Nordhordland     ;5,7;16,7;20,4;17,8;4,9
45 Osterfjorden;45; Osterfjorden     ;7,2;19,8;28,7;22;6,2
46 Sunnhordland;46; Sunnhordland     ;6,4;18,7;29,9;23;5,2
47 Hordaland Vest;47; Hordaland Vest   ;5;15,7;23,8;19,1;4
48 HAFS;48; HAFS             ;7,9;24,1;17,8;22,5;7,1
49 Nordfjord;49; Nordfjord        ;7,4;18,2;28,3;21,3;6,3
50 Sogn;50; Sogn             ;6,7;18,1;28,2;21,4;5,8
51 Sunnfjord;51; Sunnfjord        ;6,1;15,5;30,2;22,3;5
52 Nordmøre;52; Nordmøre         ;7,6;21,6;33,2;26,6;6,4
53 Romsdal;53; Romsdal          ;6,5;20,4;24,2;21,8;5,4
54 Storfjord;54; Storfjord        ;6,5;16,5;17,2;16,7;5,4
55 Søre Sunnmøre;55; Søre Sunnmøre    ;7,2;17,4;29,6;22,1;5,9
56 Ålesundregionen;56; Ålesundregionen  ;6,7;20,6;23,6;21,7;5,3
57 Fosen;57; Fosen            ;8;21,9;20;21,3;7,5
58 Hitra/Frøya;58; Hitra/Frøya      ;9,2;19,1;15;18,3;7,9
59 Oppdal/Rennebu;59; Oppdal/Rennebu   ;8,7;19,7;46,4;30,6;7,7
60 Orkdalregionen;60; Orkdalregionen   ;7,3;27;33,7;30,4;6,2
61 Trondheimsregionen;61; Trondheimsregion ;9,1;18,4;32,2;26,4;7,6
62 Rørosregionen;62; Rørosregionen    ;7;20,1;27,6;22,8;6,2
63 Stjørdalsregionen;63; Stjørdalsregione ;7,4;26,2;38,9;33,7;6
64 Innherred;64; Innherred        ;8,1;23,6;46,8;35,8;6,8
65 Indre Namdal;65; Indre Namdal     ;8,3;20,1;56,9;31,1;7,3
66 Kystgruppen;66; Kystgruppen      ;7,1;22,6;28,7;24,8;6,2
67 Midtre Namdal;67; Midtre Namdal    ;7,5;19,2;48,6;34,4;6,2
68 Sør-Helgeland;68; Sør-Helgeland    ;8,6;22,3;37,2;29,9;7,6
69 HALD;69; HALD             ;8,4;24,7;40,1;33;6,8
70 Ytre Helgeland;70; Ytre Helgeland   ;8,9;15;:;16;8,5
71 Mosjøregionen;71; Mosjøregionen    ;6,3;19,6;30,9;25,5;5,5
72 Ranaregionen;72; Ranaregionen     ;6,4;17,3;36,9;27,4;5,4
73 Salten;73; Salten           ;6,3;17,8;27,8;23,2;5,4
74 Ofoten;74; Ofoten           ;7,2;18,5;35,5;27,2;5,9
75 Lofoten;75; Lofoten          ;8,8;24,1;37,9;30,6;7,3
76 Vesterålen;76; Vesterålen       ;9,2;24,3;37,5;31,8;7,8
77 Sør-Troms;77; Sør-Troms        ;7,4;15,2;42,9;31,6;5,8
78 Midt-Troms;78; Midt-Troms       ;6,6;15,5;34,5;24,8;5,7
79 Tromsøregionen;79; Tromsøregionen   ;7,8;19,5;27,1;23;6,6
80 Nord-Troms;80; Nord-Troms       ;7,8;21,2;22,9;21,9;7,2
81 Vest-Finnmark;81; Vest-Finnmark    ;6,1;15,3;22,4;18,8;5
82 Midt-Finnmark;82; Midt-Finnmark    ;9,9;14,9;13,6;14,4;9,7
83 Øst-Finnmark;83; Øst-Finnmark     ;6,9;17,3;27,5;23,1;5
