"Nëringsregion 
nr & navn";naringsgregion_nr;"Nëringsregion
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;30132;2986;27146;786;26360;100;9,9;90,1;2,6;87,5;15034;1484;13550;420;13130;49,9;4,9;45;1,4;43,6;15098;1502;13596;366;13230;50,1;5;45,1;1,2;43,9
02 Indre ùstfold;2;Indre ùstfold;60303;7007;53296;1417;51879;100;11,6;88,4;2,3;86;30280;3670;26610;723;25887;50,2;6,1;44,1;1,2;42,9;30023;3337;26686;694;25992;49,8;5,5;44,3;1,2;43,1
03 Mosseregionen;3;Mosseregionen;58491;7139;51352;1746;49606;100;12,2;87,8;3;84,8;29227;3741;25486;933;24553;50;6,4;43,6;1,6;42;29264;3398;25866;813;25053;50;5,8;44,2;1,4;42,8
04 Nedre Glomma;4;Nedre Glomma;136036;16554;119482;3937;115545;100;12,2;87,8;2,9;84,9;67620;8628;58992;2061;56931;49,7;6,3;43,4;1,5;41,8;68416;7926;60490;1876;58614;50,3;5,8;44,5;1,4;43,1
05 Akershus Vest;5;Akershus Vest;176926;27613;149313;4992;144321;100;15,6;84,4;2,8;81,6;87373;13893;73480;2516;70964;49,4;7,9;41,5;1,4;40,1;89553;13720;75833;2476;73357;50,6;7,8;42,9;1,4;41,5
06 Follo;6;Follo;134304;16151;118153;3063;115090;100;12;88;2,3;85,7;66856;8302;58554;1593;56961;49,8;6,2;43,6;1,2;42,4;67448;7849;59599;1470;58129;50,2;5,8;44,4;1,1;43,3
07 Nedre Romerike;7;Nedre Romerike;168542;24997;143545;7297;136248;100;14,8;85,2;4,3;80,8;84767;13273;71494;3708;67786;50,3;7,9;42,4;2,2;40,2;83775;11724;72051;3589;68462;49,7;7;42,7;2,1;40,6
08 ùvre Romerike;8;ùvre Romerike;95985;11575;84410;2287;82123;100;12,1;87,9;2,4;85,6;48586;6080;42506;1205;41301;50,6;6,3;44,3;1,3;43;47399;5495;41904;1082;40822;49,4;5,7;43,7;1,1;42,5
09 Oslo;9;Oslo;634463;151722;482741;45893;436848;100;23,9;76,1;7,2;68,9;316144;79312;236832;23438;213394;49,8;12,5;37,3;3,7;33,6;318319;72410;245909;22455;223454;50,2;11,4;38,8;3,5;35,2
10 Fjellregionen;10;Fjellregionen;15166;1092;14074;117;13957;100;7,2;92,8;0,8;92;7653;556;7097;58;7039;50,5;3,7;46,8;0,4;46,4;7513;536;6977;59;6918;49,5;3,5;46;0,4;45,6
11 GlÜmdal;11;GlÜmdal;53318;3686;49632;530;49102;100;6,9;93,1;1;92,1;26489;1809;24680;261;24419;49,7;3,4;46,3;0,5;45,8;26829;1877;24952;269;24683;50,3;3,5;46,8;0,5;46,3
12 Hamarregionen;12;Hamarregionen;90266;7106;83160;1082;82078;100;7,9;92,1;1,2;90,9;44856;3665;41191;563;40628;49,7;4,1;45,6;0,6;45;45410;3441;41969;519;41450;50,3;3,8;46,5;0,6;45,9
13 Sõr ùsterdal;13;Sõr ùsterdal;35683;2899;32784;361;32423;100;8,1;91,9;1;90,9;17807;1460;16347;174;16173;49,9;4,1;45,8;0,5;45,3;17876;1439;16437;187;16250;50,1;4;46,1;0,5;45,5
14 Gjõvikregionen;14;Gjõvikregionen;69921;5524;64397;914;63483;100;7,9;92,1;1,3;90,8;34961;2850;32111;450;31661;50;4,1;45,9;0,6;45,3;34960;2674;32286;464;31822;50;3,8;46,2;0,7;45,5
15 Hadeland;15;Hadeland;29075;2182;26893;291;26602;100;7,5;92,5;1;91,5;14479;1145;13334;140;13194;49,8;3,9;45,9;0,5;45,4;14596;1037;13559;151;13408;50,2;3,6;46,6;0,5;46,1
16 Lillehammerregionen;16;Lillehammerregionen;38355;3303;35052;501;34551;100;8,6;91,4;1,3;90,1;18952;1675;17277;249;17028;49,4;4,4;45;0,6;44,4;19403;1628;17775;252;17523;50,6;4,2;46,3;0,7;45,7
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;13451;900;12551;82;12469;100;6,7;93,3;0,6;92,7;6774;496;6278;37;6241;50,4;3,7;46,7;0,3;46,4;6677;404;6273;45;6228;49,6;3;46,6;0,3;46,3
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;19065;1052;18013;92;17921;100;5,5;94,5;0,5;94;9649;548;9101;61;9040;50,6;2,9;47,7;0,3;47,4;9416;504;8912;31;8881;49,4;2,6;46,7;0,2;46,6
19 Valdres;19;Valdres;17953;1489;16464;136;16328;100;8,3;91,7;0,8;90,9;9102;818;8284;71;8213;50,7;4,6;46,1;0,4;45,7;8851;671;8180;65;8115;49,3;3,7;45,6;0,4;45,2
20 Drammensregionen;20;Drammensregionen;178686;26941;151745;6970;144775;100;15,1;84,9;3,9;81;89484;14149;75335;3572;71763;50,1;7,9;42,2;2;40,2;89202;12792;76410;3398;73012;49,9;7,2;42,8;1,9;40,9
21 Hallingdal;21;Hallingdal;20569;2587;17982;250;17732;100;12,6;87,4;1,2;86,2;10329;1340;8989;130;8859;50,2;6,5;43,7;0,6;43,1;10240;1247;8993;120;8873;49,8;6,1;43,7;0,6;43,1
22 Kongsberg/Numedal;22;Kongsberg/Numedal;33015;3955;29060;503;28557;100;12;88;1,5;86,5;16804;2018;14786;253;14533;50,9;6,1;44,8;0,8;44;16211;1937;14274;250;14024;49,1;5,9;43,2;0,8;42,5
23 Midt-Buskerud;23;Midt-Buskerud;19355;1554;17801;232;17569;100;8;92;1,2;90,8;9658;802;8856;109;8747;49,9;4,1;45,8;0,6;45,2;9697;752;8945;123;8822;50,1;3,9;46,2;0,6;45,6
24 Ringerike/Hole;24;Ringerike/Hole;36219;3841;32378;589;31789;100;10,6;89,4;1,6;87,8;18141;1956;16185;300;15885;50,1;5,4;44,7;0,8;43,9;18078;1885;16193;289;15904;49,9;5,2;44,7;0,8;43,9
25 Tõnsbergregionen;25;Tõnsbergregionen;134550;13618;120932;2259;118673;100;10,1;89,9;1,7;88,2;66900;6891;60009;1176;58833;49,7;5,1;44,6;0,9;43,7;67650;6727;60923;1083;59840;50,3;5;45,3;0,8;44,5
26 Sandefjord/Larvik;26;Sandefjord/Larvik;90694;9868;80826;2094;78732;100;10,9;89,1;2,3;86,8;44955;5012;39943;1090;38853;49,6;5,5;44;1,2;42,8;45739;4856;40883;1004;39879;50,4;5,4;45,1;1,1;44
27 Grenland;27;Grenland;120308;11838;108470;2386;106084;100;9,8;90,2;2;88,2;59775;5965;53810;1223;52587;49,7;5;44,7;1;43,7;60533;5873;54660;1163;53497;50,3;4,9;45,4;1;44,5
28 Midt-Telemark;28;Midt-Telemark;16802;1621;15181;227;14954;100;9,6;90,4;1,4;89;8412;788;7624;121;7503;50,1;4,7;45,4;0,7;44,7;8390;833;7557;106;7451;49,9;5;45;0,6;44,3
29 ùst-Telemark;29;ùst-Telemark;20168;1711;18457;225;18232;100;8,5;91,5;1,1;90,4;10019;868;9151;121;9030;49,7;4,3;45,4;0,6;44,8;10149;843;9306;104;9202;50,3;4,2;46,1;0,5;45,6
30 Vest-Telemark;30;Vest-Telemark;14191;1046;13145;106;13039;100;7,4;92,6;0,7;91,9;7140;503;6637;56;6581;50,3;3,5;46,8;0,4;46,4;7051;543;6508;50;6458;49,7;3,8;45,9;0,4;45,5
31 Setesdal;31;Setesdal;6967;708;6259;92;6167;100;10,2;89,8;1,3;88,5;3557;350;3207;56;3151;51,1;5;46;0,8;45,2;3410;358;3052;36;3016;48,9;5,1;43,8;0,5;43,3
32 Arendalregionen;32;Arendalregionen;90367;9007;81360;1321;80039;100;10;90;1,5;88,6;45258;4627;40631;683;39948;50,1;5,1;45;0,8;44,2;45109;4380;40729;638;40091;49,9;4,8;45,1;0,7;44,4
33 Lister;33;Lister;36043;3164;32879;411;32468;100;8,8;91,2;1,1;90,1;18254;1536;16718;221;16497;50,6;4,3;46,4;0,6;45,8;17789;1628;16161;190;15971;49,4;4,5;44,8;0,5;44,3
34 Mandalsregionen;34;Mandalsregionen;25158;2336;22822;259;22563;100;9,3;90,7;1;89,7;12576;1151;11425;131;11294;50;4,6;45,4;0,5;44,9;12582;1185;11397;128;11269;50;4,7;45,3;0,5;44,8
35 Kristiansandregionen;35;Kristiansandregionen;133690;15437;118253;3215;115038;100;11,5;88,5;2,4;86;66951;8001;58950;1695;57255;50,1;6;44,1;1,3;42,8;66739;7436;59303;1520;57783;49,9;5,6;44,4;1,1;43,2
36 Dalane;36;Dalane;24159;2195;21964;258;21706;100;9,1;90,9;1,1;89,8;12262;1176;11086;144;10942;50,8;4,9;45,9;0,6;45,3;11897;1019;10878;114;10764;49,2;4,2;45;0,5;44,6
37 Haugesundregionen;37;Haugesundregionen;103106;10622;92484;1256;91228;100;10,3;89,7;1,2;88,5;52342;5838;46504;638;45866;50,8;5,7;45,1;0,6;44,5;50764;4784;45980;618;45362;49,2;4,6;44,6;0,6;44
38 Ryfylke;38;Ryfylke;23107;2298;20809;272;20537;100;9,9;90,1;1,2;88,9;11736;1181;10555;120;10435;50,8;5,1;45,7;0,5;45,2;11371;1117;10254;152;10102;49,2;4,8;44,4;0,7;43,7
39 Stavangerregionen;39;Stavangerregionen;309253;47567;261686;8116;253570;100;15,4;84,6;2,6;82;157315;25994;131321;4163;127158;50,9;8,4;42,5;1,3;41,1;151938;21573;130365;3953;126412;49,1;7;42,2;1,3;40,9
40 Bergen;40;Bergen;271949;36258;235691;5905;229786;100;13,3;86,7;2,2;84,5;136760;19772;116988;3018;113970;50,3;7,3;43;1,1;41,9;135189;16486;118703;2887;115816;49,7;6,1;43,6;1,1;42,6
41 Bjõrnefjorden;41;Bjõrnefjorden;24943;2128;22815;294;22521;100;8,5;91,5;1,2;90,3;12675;1105;11570;140;11430;50,8;4,4;46,4;0,6;45,8;12268;1023;11245;154;11091;49,2;4,1;45,1;0,6;44,5
42 Hardanger;42;Hardanger;23008;2084;20924;216;20708;100;9,1;90,9;0,9;90;11617;1088;10529;104;10425;50,5;4,7;45,8;0,5;45,3;11391;996;10395;112;10283;49,5;4,3;45,2;0,5;44,7
43 Voss;43;Voss;14168;910;13258;98;13160;100;6,4;93,6;0,7;92,9;7072;500;6572;52;6520;49,9;3,5;46,4;0,4;46;7096;410;6686;46;6640;50,1;2,9;47,2;0,3;46,9
44 Nordhordland;44;Nordhordland;32739;2509;30230;214;30016;100;7,7;92,3;0,7;91,7;16668;1340;15328;117;15211;50,9;4,1;46,8;0,4;46,5;16071;1169;14902;97;14805;49,1;3,6;45,5;0,3;45,2
45 Osterfjorden;45;Osterfjorden;12298;876;11422;98;11324;100;7,1;92,9;0,8;92,1;6250;464;5786;49;5737;50,8;3,8;47;0,4;46,6;6048;412;5636;49;5587;49,2;3,4;45,8;0,4;45,4
46 Sunnhordland;46;Sunnhordland;63604;5426;58178;559;57619;100;8,5;91,5;0,9;90,6;32446;2924;29522;287;29235;51;4,6;46,4;0,5;46;31158;2502;28656;272;28384;49;3,9;45,1;0,4;44,6
47 Hordaland Vest;47;Hordaland Vest;62537;4994;57543;522;57021;100;8;92;0,8;91,2;31833;2641;29192;270;28922;50,9;4,2;46,7;0,4;46,2;30704;2353;28351;252;28099;49,1;3,8;45,3;0,4;44,9
48 HAFS;48;HAFS;10385;888;9497;55;9442;100;8,6;91,4;0,5;90,9;5260;422;4838;24;4814;50,6;4,1;46,6;0,2;46,4;5125;466;4659;31;4628;49,4;4,5;44,9;0,3;44,6
49 Nordfjord;49;Nordfjord;32800;3117;29683;294;29389;100;9,5;90,5;0,9;89,6;16758;1698;15060;153;14907;51,1;5,2;45,9;0,5;45,4;16042;1419;14623;141;14482;48,9;4,3;44,6;0,4;44,2
50 Sogn;50;Sogn;32542;2606;29936;245;29691;100;8;92;0,8;91,2;16449;1398;15051;128;14923;50,5;4,3;46,3;0,4;45,9;16093;1208;14885;117;14768;49,5;3,7;45,7;0,4;45,4
51 Sunnfjord;51;Sunnfjord;33238;2838;30400;338;30062;100;8,5;91,5;1;90,4;16955;1521;15434;174;15260;51;4,6;46,4;0,5;45,9;16283;1317;14966;164;14802;49;4;45;0,5;44,5
