Bydel nr & navn;bydel_nr;"Bydel
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_8.norden;vreg_8.vest_europa;vreg_8.eu_ost_europa;vreg_8.ost_europa_ellers;vreg_8.nord_amerika_oseania;vreg_8.asia;vreg_8.afrika;vreg_8.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0301 Oslo;301;Oslo;57548;94174;32461;46851;25087;47323;65836;54902;22739;2718;5487;18620;13230;22963;11023;2718;54902;22739;5487
030101 Gamle Oslo;30101;Gamle Oslo;4877;9368;2859;4934;2018;4434;5596;4804;3014;232;595;1849;988;1807;952;232;4804;3014;595
030102 GrÅnerlõkka;30102;GrÅnerlõkka;6661;8054;3934;4326;2727;3728;7459;4010;2278;303;658;2480;1299;2579;1101;303;4010;2278;658
030103 Sagene;30103;Sagene;3333;4560;1842;2357;1491;2203;3799;1808;1759;144;382;1283;781;1127;608;144;1808;1759;382
030104 St. Hanshaugen;30104;St. Hanshaugen;4705;3680;2652;2020;2053;1660;5025;1708;1022;233;397;2017;1095;1355;558;233;1708;1022;397
030105 Frogner;30105;Frogner;8179;5017;4366;2358;3813;2659;8535;2642;797;567;655;3366;2524;1723;922;567;2642;797;655
030106 Ullern;30106;Ullern;2796;1973;1419;811;1377;1162;2970;1158;306;151;183;839;837;967;327;151;1158;306;183
030107 Vestre Aker;30107;Veste Aker;4008;2728;2077;936;1931;1792;4110;1650;471;274;231;1181;1064;1487;378;274;1650;471;231
030108 Nordre Aker;30108;Nordre Aker;3642;3511;1871;1724;1771;1787;3943;1738;1019;211;240;1151;961;1320;511;211;1738;1019;240
030109 Bjerke;30109;Bjerke;2647;6639;1619;3426;1028;3213;3218;4283;1481;53;248;521;437;1633;627;53;4283;1481;248
030110 Grorud;30110;Grorud;1645;6999;926;3468;719;3531;2243;4204;1777;48;364;315;254;1028;646;48;4204;1777;364
030111 Stovner;30111;Stovner;1829;8679;1149;4343;680;4336;2284;6321;1684;27;190;356;286;1162;480;27;6321;1684;190
030112 Alna;30112;Alna;2802;13390;1631;6657;1171;6733;4251;8756;2661;76;442;538;531;1654;1528;76;8756;2661;442
030113 ùstensjõ;30113;ùstensjõ;2653;5692;1417;2665;1236;3027;3504;3161;1298;112;267;741;494;1305;964;112;3161;1298;267
030114 Nordstrand;30114;Nordstrand;3455;3050;1889;1346;1566;1704;3754;1605;734;157;255;1093;744;1459;458;157;1605;734;255
030115 Sõndre Nordstrand;30115;Sõndre Nordstrand;2632;9706;1505;4691;1127;5015;3405;6564;1982;93;291;473;550;1514;868;93;6564;1982;291
030116 Sentrum;30116;Sentrum;283;201;174;134;109;67;310;114;41;5;14;143;47;87;33;5;114;41;14
030117 Marka;30117;Marka;116;37;68;13;48;24;113;27;0;8;4;42;25;41;5;8;27;0;4
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;1285;890;1063;642;222;248;1317;349;414;24;71;232;313;715;57;24;349;414;71
