Fylke nr & navn;fylke_nr;"Fylke
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_8.norden;vreg_8.vest_europa;vreg_8.eu_ost_europa;vreg_8.ost_europa_ellers;vreg_8.nord_amerika_oseania;vreg_8.asia;vreg_8.afrika;vreg_8.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
00 Hele landet;0;Hele landet;307188;325922;177910;153802;129278;172120;347179;179785;74171;12010;19853;70282;67098;157728;52071;12010;179785;74171;19853
01 ùstfold;1;ùstfold;15099;18587;8724;8799;6375;9788;19534;9697;3458;369;628;4154;2204;8365;4811;369;9697;3458;628
02 Akershus;2;Akershus;40980;39356;23484;18064;17496;21292;45306;25031;6232;1610;2150;10882;8117;20364;5943;1610;25031;6232;2150
03 Oslo;3;Oslo;57548;94174;32461;46851;25087;47323;65836;54902;22739;2718;5487;18620;13230;22963;11023;2718;54902;22739;5487
04 Hedmark;4;Hedmark;7501;7282;4066;3424;3435;3858;8573;3531;2166;209;304;2163;1491;3635;1284;209;3531;2166;304
05 Oppland;5;Oppland;7315;7135;4144;3388;3171;3747;8487;3369;2161;196;233;1524;1529;4065;1369;196;3369;2161;233
06 Buskerud;6;Buskerud;18609;18820;10707;8801;7902;10019;21310;11365;3318;487;930;3971;3437;10712;3190;487;11365;3318;930
07 Vestfold;7;Vestfold;13288;11647;7373;5287;5915;6360;15354;6456;2045;477;599;2976;2689;7146;2543;477;6456;2045;599
08 Telemark;8;Telemark;7140;9076;3965;4159;3175;4917;8424;4377;2610;245;558;1680;1859;3354;1531;245;4377;2610;558
09 Aust-Agder;9;Aust-Agder;5910;5198;3277;2381;2633;2817;6643;2891;1039;292;242;1252;1536;2832;1023;292;2891;1039;242
10 Vest-Agder;10;Vest-Agder;8531;11013;4793;5214;3738;5799;10380;5395;2127;557;1084;1945;2414;3609;2412;557;5395;2127;1084
11 Rogaland;11;Rogaland;35141;27541;21376;12813;13765;14728;38154;15195;5279;1848;2202;5461;8882;18937;4874;1848;15195;5279;2202
12 Hordaland;12;Hordaland;30464;24721;18303;11531;12161;13190;32467;12842;6090;1248;2528;4005;7016;18187;3259;1248;12842;6090;2528
14 Sogn og Fjordane;14;Sogn og Fjordane;5933;3516;3498;1541;2435;1975;6314;1408;1273;119;335;821;1332;3661;500;119;1408;1273;335
15 Mõre og Romsdal;15;Mõte og Romsdal;15579;9269;9587;3773;5992;5496;16829;4793;2239;351;629;1808;3122;10298;1601;351;4793;2239;629
16 Sõr-Trõndelag;16;Sõr-Trõndelag;14361;14137;8614;6692;5747;7445;15900;7805;3170;624;990;2598;3547;7591;2164;624;7805;3170;990
17 Nord-Trõndelag;17;Nord-Trõndelag;4050;4361;2424;1918;1626;2443;4482;2024;1618;114;171;842;768;2327;545;114;2024;1618;171
18 Nordland;18;Nordland;8308;9380;4742;4352;3566;5028;9576;4205;3327;231;349;1996;1594;4486;1500;231;4205;3327;349
19 Troms Romsa;19;Troms Romsa;7009;6725;3868;3125;3141;3600;7919;2843;2402;244;324;1943;1820;2999;1157;244;2843;2402;324
20 Finnmark Finnm†rku;20;Finnmark Finnm†rku;4422;3984;2504;1689;1918;2295;5691;1656;878;71;110;1641;511;2197;1342;71;1656;878;110
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
