"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+;alder_grupper.0-5;alder_grupper.6-15;alder_grupper.16-19;alder_grupper.20-29;alder_grupper.30-54;alder_grupper.55-66;alder_grupper.67+
Alder;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
01 Halden;1;Halden;2024;3552;1607;3797;9809;4599;4744;39;213;147;576;1385;380;246;1985;3339;1460;3221;8424;4219;4498;1035;1864;831;1935;4977;2331;2061;19;115;72;267;686;221;104;1016;1749;759;1668;4291;2110;1957;989;1688;776;1862;4832;2268;2683;20;98;75;309;699;159;142;969;1590;701;1553;4133;2109;2541
02 Indre Østfold;2;Indre Østfold;4138;7431;3160;6923;20511;9145;8995;141;561;333;1193;3687;706;386;3997;6870;2827;5730;16824;8439;8609;2127;3829;1613;3539;10587;4614;3971;68;318;164;600;1960;387;173;2059;3511;1449;2939;8627;4227;3798;2011;3602;1547;3384;9924;4531;5024;73;243;169;593;1727;319;213;1938;3359;1378;2791;8197;4212;4811
03 Mosseregionen;3;Mosseregionen;3874;7135;3068;6474;20306;8671;8963;132;428;259;1144;3819;784;573;3742;6707;2809;5330;16487;7887;8390;1986;3704;1579;3426;10301;4246;3985;56;216;138;579;2064;431;257;1930;3488;1441;2847;8237;3815;3728;1888;3431;1489;3048;10005;4425;4978;76;212;121;565;1755;353;316;1812;3219;1368;2483;8250;4072;4662
04 Nedre Glomma;4;Nedre Glomma;9155;16404;7123;16158;46329;20245;20622;228;1196;854;3140;8551;1520;1065;8927;15208;6269;13018;37778;18725;19557;4755;8452;3633;8254;23573;10005;8948;123;624;453;1607;4553;829;439;4632;7828;3180;6647;19020;9176;8509;4400;7952;3490;7904;22756;10240;11674;105;572;401;1533;3998;691;626;4295;7380;3089;6371;18758;9549;11048
05 Akershus Vest;5;Akershus Vest;13959;24415;9683;18645;63055;23444;23725;541;1704;798;4481;15401;2840;1848;13418;22711;8885;14164;47654;20604;21877;7172;12389;5016;9268;31396;11886;10246;289;835;403;1994;8207;1485;680;6883;11554;4613;7274;23189;10401;9566;6787;12026;4667;9377;31659;11558;13479;252;869;395;2487;7194;1355;1168;6535;11157;4272;6890;24465;10203;12311
06 Follo;6;Follo;10409;18364;7410;14406;48010;18493;17212;276;942;495;2637;9020;1699;1082;10133;17422;6915;11769;38990;16794;16130;5275;9370;3840;7458;23805;9301;7807;154;465;271;1338;4709;902;463;5121;8905;3569;6120;19096;8399;7344;5134;8994;3570;6948;24205;9192;9405;122;477;224;1299;4311;797;619;5012;8517;3346;5649;19894;8395;8786
07 Nedre Romerike;7;Nedre Romerike;12794;22265;8779;19561;62441;21813;20889;335;1409;790;4298;14485;2371;1309;12459;20856;7989;15263;47956;19442;19580;6526;11377;4509;10093;31923;10968;9371;171;711;423;2200;7899;1315;554;6355;10666;4086;7893;24024;9653;8817;6268;10888;4270;9468;30518;10845;11518;164;698;367;2098;6586;1056;755;6104;10190;3903;7370;23932;9789;10763
