"Næringsregion 
nr & navn";næringsregion_nr;"Næringsregion
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
01 Halden;1;Halden;2098;400;1091;593;14;1031;284;558;182;7;1067;116;533;411;7
02 Indre Østfold;2;Indre Østfold;5528;1626;2130;1717;55;2990;1294;1114;557;25;2538;332;1016;1160;30
03 Mosseregionen;3;Mosseregionen;5287;1453;2057;1707;70;2825;1150;1072;567;36;2462;303;985;1140;34
04 Nedre Glomma;4;Nedre Glomma;13157;2734;7327;3028;68;7027;2184;3845;968;30;6130;550;3482;2060;38
05 Akershus Vest;5;Akershus Vest;19002;7016;6159;5638;189;10485;5311;3181;1904;89;8517;1705;2978;3734;100
06 Follo;6;Follo;10574;3182;3870;3407;115;5735;2398;2044;1235;58;4839;784;1826;2172;57
07 Nedre Romerike;7;Nedre Romerike;18857;5687;7487;5540;143;10354;4519;3831;1930;74;8503;1168;3656;3610;69
08 Øvre Romerike;8;Øvre Romerike;8669;3133;2444;2985;107;4701;2439;1299;910;53;3968;694;1145;2075;54
09 Oslo;9;Oslo;103195;28582;41611;32132;870;55774;20765;21903;12688;418;47421;7817;19708;19444;452
10 Fjellregionen;10;Fjellregionen;915;314;308;278;15;484;208;169;98;9;431;106;139;180;6
11 Glåmdal;11;Glåmdal;2642;586;1171;876;9;1346;453;646;242;5;1296;133;525;634;4
12 Hamarregionen;12;Hamarregionen;5582;1621;2414;1510;37;3009;1214;1309;465;21;2573;407;1105;1045;16
13 Sør Østerdal;13;Sør Østerdal;2177;498;1065;582;32;1133;343;603;172;15;1044;155;462;410;17
14 Gjøvikregionen;14;Gjøvikregionen;4536;1238;2109;1156;33;2404;918;1126;347;13;2132;320;983;809;20
15 Hadeland;15;Hadeland;1737;519;746;461;11;927;380;398;143;6;810;139;348;318;5
16 Lillehammerregionen;16;Lillehammerregionen;2477;678;1230;549;20;1303;487;628;178;10;1174;191;602;371;10
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;777;334;208;223;12;449;258;121;65;5;328;76;87;158;7
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;906;316;348;233;9;475;221;188;62;4;431;95;160;171;5
19 Valdres;19;Valdres;1222;477;389;337;19;707;330;249;122;6;515;147;140;215;13
20 Drammensregionen;20;Drammensregionen;20674;6372;7898;6244;160;11194;4936;4076;2109;73;9480;1436;3822;4135;87
21 Hallingdal;21;Hallingdal;1967;861;530;560;16;1075;594;293;182;6;892;267;237;378;10
22 Kongsberg/Numedal;22;Kongsberg/Numedal;3047;1024;973;1030;20;1596;749;541;301;5;1451;275;432;729;15
23 Midt-Buskerud;23;Midt-Buskerud;1289;497;358;428;6;688;377;190;118;3;601;120;168;310;3
24 Ringerike/Hole;24;Ringerike/Hole;2987;1071;941;961;14;1596;790;496;304;6;1391;281;445;657;8
25 Tønsbergregionen;25;Tønsbergregionen;10339;3506;3587;3138;108;5450;2489;1918;989;54;4889;1017;1669;2149;54
26 Sandefjord/Larvik;26;Sandefjord/Larvik;7768;2182;3176;2343;67;4040;1526;1699;785;30;3728;656;1477;1558;37
27 Grenland;27;Grenland;9498;1843;4996;2592;67;4858;1439;2595;794;30;4640;404;2401;1798;37
28 Midt-Telemark;28;Midt-Telemark;1257;312;606;329;10;627;206;308;109;4;630;106;298;220;6
29 Øst-Telemark;29;Øst-Telemark;1313;363;550;387;13;700;277;308;110;5;613;86;242;277;8
30 Vest-Telemark;30;Vest-Telemark;803;314;169;298;22;393;221;80;82;10;410;93;89;216;12
31 Setesdal;31;Setesdal;564;138;262;164;0;285;106;130;49;0;279;32;132;115;0
32 Arendalregionen;32;Arendalregionen;7084;1997;2796;2232;59;3717;1509;1481;692;35;3367;488;1315;1540;24
33 Lister;33;Lister;2540;655;998;842;45;1267;486;526;232;23;1273;169;472;610;22
34 Mandalsregionen;34;Mandalsregionen;1889;524;714;634;17;942;401;360;174;7;947;123;354;460;10
35 Kristiansandregionen;35;Kristiansandregionen;12053;2426;6463;3048;116;6370;1858;3449;1000;63;5683;568;3014;2048;53
36 Dalane;36;Dalane;1845;719;485;625;16;995;561;243;184;7;850;158;242;441;9
37 Haugesundregionen;37;Haugesundregionen;8830;3527;2229;2977;97;4889;2793;1165;882;49;3941;734;1064;2095;48
38 Ryfylke;38;Ryfylke;1953;833;433;667;20;1029;596;223;201;9;924;237;210;466;11
39 Stavangerregionen;39;Stavangerregionen;38043;15553;9587;12552;351;20947;11560;5175;4038;174;17096;3993;4412;8514;177
40 Bergen;40;Bergen;28238;10491;9006;8457;284;15921;7997;4893;2892;139;12317;2494;4113;5565;145
41 Bjørnefjorden;41;Bjørnefjorden;1840;807;277;730;26;984;635;135;205;9;856;172;142;525;17
42 Hardanger;42;Hardanger;1755;699;411;616;29;949;491;223;213;22;806;208;188;403;7
