Kommune nr & navn;kommune_nr;"Kommune
navn";flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting
Nedbrytninger;;;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Innvkat og v-reg;;;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0101 Halden;101;Halden;251;173;96;77;78;183;97;48;49;86;68;76;48;28;-8;1173;238;71;167;935;981;153;67;86;828;192;85;4;81;107;1424;411;167;244;1013;1164;250;115;135;914;260;161;52;109;99
0104 Moss;104;Moss;364;311;149;162;53;167;114;73;41;53;197;197;76;121;0;1957;446;209;237;1511;1838;415;172;243;1423;119;31;37;-6;88;2321;757;358;399;1564;2005;529;245;284;1476;316;228;113;115;88
0105 Sarpsborg;105;Sarpsborg;476;366;206;160;110;297;165;89;76;132;179;201;117;84;-22;2060;580;218;362;1480;1933;405;172;233;1528;127;175;46;129;-48;2536;946;424;522;1590;2230;570;261;309;1660;306;376;163;213;-70
0106 Fredrikstad;106;Fredrikstad;639;490;278;212;149;417;245;155;90;172;222;245;123;122;-23;3203;712;244;468;2491;2673;552;245;307;2121;530;160;-1;161;370;3842;1202;522;680;2640;3090;797;400;397;2293;752;405;122;283;347
0111 Hvaler;111;Hvaler;22;17;8;9;5;18;10;6;4;8;4;7;2;5;-3;317;44;20;24;273;219;27;17;10;192;98;17;3;14;81;339;61;28;33;278;237;37;23;14;200;102;24;5;19;78
0118 Aremark;118;Aremark;6;3;0;3;3;6;3;3;0;3;0;0;-3;3;0;57;3;0;3;54;76;8;0;8;68;-19;-5;0;-5;-14;63;6;0;6;57;82;11;3;8;71;-19;-5;-3;-2;-14
0119 Marker;119;Marker;25;11;8;3;14;32;17;10;7;15;-7;-6;-2;-4;-1;163;15;3;12;148;126;14;3;11;112;37;1;0;1;36;188;26;11;15;162;158;31;13;18;127;30;-5;-2;-3;35
