kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_per_1000;bosetting.bosatt_av_anmodede;bosetting.bosatt_av_vedtak;bosetting.bosatt_siste_trear;bosetting.bosatt_per_1000_snitt_trear;;;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.promille;enhet.prosent;enhet.prosent;enhet.personer;enhet.promille;;;
0101 Halden;0101;Halden;35,00;21,00;22,00;0,73;62,86;104,76;38,00;0,42;;;
0104 Moss;0104;Moss;45,00;20,00;20,00;0,63;44,44;100,00;77,00;0,82;;;
0105 Sarpsborg;0105;Sarpsborg;60,00;65,00;59,00;1,09;98,33;90,77;157,00;0,97;;;
0106 Fredrikstad;0106;Fredrikstad;100,00;69,00;59,00;0,75;59,00;85,51;154,00;0,66;;;
0111 Hvaler;0111;Hvaler;15,00;15,00;12,00;2,68;80,00;80,00;33,00;2,51;;;
0118 Aremark;0118;Aremark;15,00;.;0,00;0,00;0,00;.;0,00;0,00;;;
0119 Marker;0119;Marker;10,00;4,00;5,00;1,38;50,00;125,00;10,00;0,93;;;
0121 Rømskog;0121;Rømskog;10,00;.;0,00;0,00;0,00;.;0,00;0,00;;;
0122 Trøgstad;0122;Trøgstad;10,00;3,00;0,00;0,00;0,00;0,00;12,00;0,75;;;
0123 Spydeberg;0123;Spydeberg;15,00;10,00;8,00;1,41;53,33;80,00;26,00;1,55;;;
0124 Askim;0124;Askim;20,00;11,00;10,00;0,64;50,00;90,91;30,00;0,65;;;
0125 Eidsberg;0125;Eidsberg;20,00;11,00;6,00;0,53;30,00;54,55;18,00;0,53;;;
0127 Skiptvet;0127;Skiptvet;10,00;5,00;2,00;0,54;20,00;40,00;10,00;0,90;;;
0128 Rakkestad;0128;Rakkestad;15,00;6,00;4,00;0,50;26,67;66,67;10,00;0,42;;;
0135 Råde;0135;Råde;15,00;5,00;6,00;0,83;40,00;120,00;18,00;0,84;;;
0136 Rygge;0136;Rygge;20,00;10,00;11,00;0,72;55,00;110,00;19,00;0,42;;;
0137 Våler (Østfold);0137;Våler (Østf.);10,00;10,00;5,00;0,98;50,00;50,00;5,00;0,33;;;
0138 Hobøl;0138;Hobøl;10,00;0,00;0,00;0,00;0,00;.;3,00;0,19;;;
