Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;250;10;240;9;231;67;40;69;64,3;69,2;126;5;121;3;118;63;38,5;64,7;75;64,5;124;5;119;6;113;71,7;41,7;73,9;60;74,8
0104 Moss;104;Moss;245;19;226;14;212;67,9;76;67,3;66,7;67,3;120;6;114;12;102;64,2;66,7;64;75;63;125;13;112;2;110;71,8;81,3;70,9;40;71,9
0105 Sarpsborg;105;Sarpsborg;455;33;422;11;411;66,9;50;68,7;73,3;68,6;210;17;193;6;187;62,9;42,5;65,6;85,7;65,2;245;16;229;5;224;70,8;61,5;71,6;62,5;71,8
0106 Fredrikstad;106;Fredrikstad;632;60;572;10;562;66,4;56,6;67,6;52,6;68;312;30;282;5;277;61,7;51,7;62,9;45,5;63,4;320;30;290;5;285;71,7;62,5;72,9;62,5;73,1
0124 Askim;124;Askim;133;9;124;7;117;66,2;52,9;67,4;53,8;68,4;72;4;68;7;61;61;36,4;63,6;70;62,9;61;5;56;.;56;73,5;83,3;72,7;.;75,7
0213 Ski;213;Ski;299;8;291;7;284;74,4;36,4;76,6;53,8;77,4;155;4;151;5;146;70,8;28,6;73,7;55,6;74,5;144;4;140;2;138;78,7;50;80;50;80,7
0214 Ås;214;Ås;165;8;157;4;153;72,1;72,7;72;40;73,6;79;4;75;2;73;65,8;57,1;66,4;25;69,5;86;4;82;2;80;78,9;100;78,1;100;77,7
0217 Oppegård;217;Oppegård;313;6;307;14;293;81,1;66,7;81,4;70;82,1;157;4;153;8;145;76,2;66,7;76,5;66,7;77,1;156;2;154;6;148;86,7;66,7;87;75;87,6
