Næringsregion nr & navn;naringsregion_nr;Navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;746;42;704;18;686;66,4;55,3;67,2;72;67,1;337;13;324;6;318;59;37,1;60,4;66,7;60,3;409;29;380;12;368;74,1;70,7;74,4;75;74,3
02 Indre Østfold;2;Indre Østfold;1455;78;1377;45;1332;65,2;52,3;66,2;72,6;66;661;28;633;25;608;58,5;36,4;60,2;69,4;59,8;794;50;744;20;724;72,1;69,4;72,3;76,9;72,2
03 Mosseregionen;3;Mosseregionen;1352;40;1312;77;1235;65,5;51,9;66;65,3;66,1;675;16;659;47;612;61,3;41;62,1;65,3;61,8;677;24;653;30;623;70,3;63,2;70,6;65,2;70,9
04 Nedre Glomma;4;Nedre Glomma;3236;231;3005;53;2952;66;54,6;67,1;64,6;67,1;1512;102;1410;29;1381;61;45,9;62,5;64,4;62,5;1724;129;1595;24;1571;71,1;64,2;71,7;64,9;71,9
05 Akershus Vest;5;Akershus Vest;5572;173;5399;163;5236;82,7;58,1;83,8;74,8;84,1;2724;79;2645;73;2572;78,8;51;80,1;68,2;80,5;2848;94;2754;90;2664;86,8;65,7;87,7;81,1;88
06 Follo;6;Follo;3924;114;3810;101;3709;73,6;57;74,3;64,3;74,6;1920;62;1858;53;1805;69,3;55,4;69,9;55,2;70,4;2004;52;1952;48;1904;78,4;59,1;79,1;78,7;79,1
07 Nedre Romerike;7;Nedre Romerike;4426;186;4240;285;3955;72,8;63,7;73,3;73,3;73,3;2141;95;2046;126;1920;68,1;57,2;68,7;66,3;68,8;2285;91;2194;159;2035;77,9;72,2;78,2;79,9;78
08 Øvre Romerike;8;Øvre Romerike;2236;68;2168;53;2115;65,3;48,2;66;60,2;66,2;1101;25;1076;26;1050;59,6;35,7;60,6;53,1;60,8;1135;43;1092;27;1065;71,9;60,6;72,5;69,2;72,5
