Næringsregion nr & navn;naringsregion_nr;Næringsregion navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;250;10;240;9;231;67;40;69;64,3;69,2;126;5;121;3;118;63;38,5;64,7;75;64,5;124;5;119;6;113;71,7;41,7;73,9;60;74,8
02 Indre Østfold;2;Indre Østfold;496;24;472;14;458;65,3;52,2;66,1;60,9;66,3;231;9;222;9;213;59,4;37,5;60,8;69,2;60,5;265;15;250;5;245;71,4;68,2;71,6;50;72,3
03 Mosseregionen;3;Mosseregionen;478;23;455;24;431;66,7;67,6;66,6;60;67;224;8;216;17;199;62;57,1;62,2;65,4;62;254;15;239;7;232;71,3;75;71,1;50;72
04 Nedre Glomma;4;Nedre Glomma;1120;93;1027;21;1006;66,6;53,8;68,1;61,8;68,2;537;47;490;11;479;61,9;47,5;63,7;61,1;63,8;583;46;537;10;527;71,6;62,2;72,6;62,5;72,8
05 Akershus Vest;5;Akershus Vest;1851;57;1794;55;1739;82,6;55,3;83,9;73,3;84,3;881;26;855;24;831;77,9;47,3;79,5;60;80,2;970;31;939;31;908;87,4;64,6;88,4;88,6;88,4
06 Follo;6;Follo;1353;38;1315;38;1277;73,2;52,8;74;61,3;74,5;676;19;657;23;634;68,8;46,3;69,7;56,1;70,4;677;19;658;15;643;78,2;61,3;78,8;71,4;79
07 Nedre Romerike;7;Nedre Romerike;1568;76;1492;100;1392;76,5;71,7;76,8;76,9;76,8;759;36;723;44;679;73;64,3;73,5;69,8;73,7;809;40;769;56;713;80,2;80;80,2;83,6;79,9
08 Øvre Romerike;8;Øvre Romerike;777;29;748;21;727;65,7;50,9;66,5;63,6;66,6;363;9;354;12;342;58,5;32,1;59,7;57,1;59,8;414;20;394;9;385;73,8;69;74,1;75;74
