Bydels nr & navn;bydel_nr;Bydels navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;17140;8271;8869;2390;6479;20,9;45,9;13,8;22,6;12,1;9253;4100;5153;1478;3675;23,4;49,2;16,5;27,4;14,3;7887;4171;3716;912;2804;18,5;43,1;11,3;17,6;10,1
030101 Gamle Oslo;30101;Gamle Oslo;1782;993;789;258;531;29,4;52,3;18,9;30,1;16,1;946;513;433;139;294;33;56,7;22,1;33;19,1;836;480;356;119;237;26,2;48,4;16,2;27,2;13,4
030102 Grünerløkka;30102;Grünerløkka;2050;1192;858;172;686;25,9;52,4;15,2;28,3;13,6;1066;602;464;112;352;29,5;55,3;18,4;35,3;15,9;984;590;394;60;334;22,8;49,8;12,6;20,6;11,8
030103 Sagene;30103;Sagene;948;478;470;97;373;18,4;45;11,5;28,8;9,9;493;230;263;52;211;22;49,6;14,8;33,5;13;455;248;207;45;162;15,6;41,5;8,9;24,7;7,6
030104 St.Hanshaugen;30104;St.Hanshaugen;1184;663;521;49;472;19,3;51;10,8;25,1;10,2;640;332;308;34;274;23,7;55,8;14,6;37;13,6;544;331;213;15;198;15,8;46,9;7,8;14,6;7,5
030105 Frogner;30105;Frogner;1702;923;779;64;715;20,4;53,1;11,8;25,1;11,3;839;420;419;37;382;22,4;56,2;14;28,2;13,3;863;503;360;27;333;18,8;50,8;10;21,8;9,6
030106 Ullern;30106;Ullern;452;184;268;13;255;14,7;48,9;10;13,4;9,8;241;73;168;11;157;16;51,4;12,3;23,9;11,9;211;111;100;2;98;13,5;47,4;7,5;3,9;7,7
030107 Vestre Aker;30107;Vestre Aker;748;322;426;16;410;14,2;49;9,2;10,2;9,2;368;112;256;13;243;14,5;47,1;11,1;15,3;10,9;380;210;170;3;167;14;50,1;7,4;4,2;7,5
