Nr & navn;naringsregion_nr;Næringsregion-navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;833;164;669;24;645;20,9;36,3;18,9;19,7;18,9;459;84;375;15;360;22,3;40;20,3;23,4;20,2;374;80;294;9;285;19,3;33,1;17,3;15,5;17,4
02 Indre Østfold;2;Indre Østfold;1820;383;1437;48;1389;24,5;43,4;21,9;22,7;21,9;1029;224;805;29;776;27;50,5;24;24,6;23,9;791;159;632;19;613;21,8;36,3;19,8;20,4;19,8
03 Mosseregionen;3;Mosseregionen;1711;378;1333;100;1233;24,2;48,3;21,2;25,9;20,9;1001;224;777;60;717;26,8;54,4;23,4;26,7;23,2;710;154;556;40;516;21,4;41,6;18,8;24,8;18,5
04 Nedre Glomma;4;Nedre Glomma;4096;1050;3046;89;2957;23,8;41,7;20,7;18,8;20,8;2302;584;1718;51;1667;26,1;44,6;22,8;19,5;23;1794;466;1328;38;1290;21,4;38,6;18,5;17,9;18,5
05 Akershus Vest;5;Akershus Vest;3049;1105;1944;130;1814;14,1;41,1;10,3;16;10;1710;552;1158;77;1081;15,5;44,5;11,8;18,2;11,6;1339;553;786;53;733;12,6;38,2;8,6;13,6;8,4
06 Follo;6;Follo;2880;682;2198;105;2093;17,3;41,3;14,7;19,1;14,5;1691;375;1316;65;1251;19,5;43,8;16,9;21,7;16,7;1189;307;882;40;842;14,9;38,7;12,3;15,9;12,2
07 Nedre Romerike;7;Nedre Romerike;4139;1207;2932;290;2642;19,8;44;16,1;17,9;16;2422;690;1732;178;1554;22,4;48,1;18,5;21,7;18,2;1717;517;1200;112;1088;17;39,6;13,6;14,1;13,6
08 Øvre Romerike;8;Øvre Romerike;2822;685;2137;86;2051;24,3;48,3;20,9;23,8;20,8;1629;384;1245;59;1186;26,7;54,2;23,1;30,3;22,8;1193;301;892;27;865;21,6;42,4;18,5;16,2;18,6
