Naringsgregion;naringsregion_nr;naringsregion_navn;spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent
01 Halden;1;Halden;117;35;82;29,9
02 Indre Østfold;2;Indre Østfold;236;75;161;31,8
03 Mosseregionen;3;Mosseregionen;252;68;184;27
04 Nedre Glomma;4;Nedre Glomma;650;205;445;31,5
05 Akershus Vest;5;Akershus Vest;734;379;355;51,6
06 Follo;6;Follo;579;226;353;39
07 Nedre Romerike;7;Nedre Romerike;869;323;546;37,2
08 Øvre Romerike;8;Øvre Romerike;496;149;347;30
09 Oslo;9;Oslo;4966;2998;1968;60,4
10 Fjellregionen;10;Fjellregionen;90;19;71;21,1
11 Glåmdal;11;Glåmdal;255;44;211;17,3
12 Hamarregionen;12;Hamarregionen;472;96;376;20,3
13 Sør Østerdal;13;Sør Østerdal;191;49;142;25,7
14 Gjøvikregionen;14;Gjøvikregionen;316;80;236;25,3
15 Hadeland;15;Hadeland;124;21;103;16,9
16 Lillehammerregionen;16;Lillehammerregionen;124;41;83;33,1
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;55;7;48;12,7
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;68;7;61;10,3
19 Valdres;19;Valdres;57;9;48;15,8
20 Drammensregionen;20;Drammensregionen;997;411;586;41,2
21 Hallingdal;21;Hallingdal;62;14;48;22,6
22 Kongsberg/Numedal;22;Kongsberg/Numedal;132;47;85;35,6
23 Midt-Buskerud;23;Midt-Buskerud;101;22;79;21,8
24 Ringerike/Hole;24;Ringerike/Hole;177;60;117;33,9
25 Tønsbergregionen;25;Tønsbergregionen;813;184;629;22,6
26 Sandefjord/Larvik;26;Sandefjord/Larvik;473;93;380;19,7
27 Grenland;27;Grenland;914;344;570;37,6
28 Midt-Telemark;28;Midt-Telemark;106;27;79;25,5
29 Øst-Telemark;29;Øst-Telemark;168;54;114;32,1
30 Vest-Telemark;30;Vest-Telemark;78;16;62;20,5
31 Setesdal;31;Setesdal;34;11;23;32,4
32 Arendalregionen;32;Arendalregionen;538;143;395;26,6
33 Lister;33;Lister;122;25;97;20,5
34 Mandalsregionen;34;Mandalsregionen;121;44;77;36,4
35 Kristiansandregionen;35;Kristiansandregionen;569;186;383;32,7
36 Dalane;36;Dalane;88;11;77;12,5
37 Haugesundregionen;37;Haugesundregionen;435;89;346;20,5
38 Ryfylke;38;Ryfylke;96;14;82;14,6
39 Stavangerregionen;39;Stavangerregionen;1299;323;976;24,9
40 Bergen;40;Bergen;1873;645;1228;34,4
41 Bjørnefjorden;41;Bjørnefjorden;193;35;158;18,1
42 Hardanger;42;Hardanger;152;29;123;19,1
43 Voss;43;Voss;102;18;84;17,6
44 Nordhordland;44;Nordhordland;174;33;141;19
45 Osterfjorden;45;Osterfjorden;105;17;88;16,2
46 Sunnhordland;46;Sunnhordland;488;98;390;20,1
47 Hordaland Vest;47;Hordaland Vest;447;77;370;17,2
48 HAFS;48;HAFS;51;10;41;19,6
49 Nordfjord;49;Nordfjord;141;31;110;22
50 Sogn;50;Sogn;136;22;114;16,2
51 Sunnfjord;51;Sunnfjord;176;50;126;28,4
52 Nordmøre;52;Nordmøre;239;53;186;22,2
53 Romsdal;53;Romsdal;302;50;252;16,6
54 Storfjord;54;Storfjord;121;32;89;26,4
55 Søre Sunnmøre;55;Søre Sunnmøre;163;41;122;25,2
56 Ålesundregionen;56;Ålesundregionen;286;56;230;19,6
57 Fosen;57;Fosen;125;7;118;5,6
58 Hitra/Frøya;58;Hitra/Frøya;39;5;34;12,8
59 Oppdal/Rennebu;59;Oppdal/Rennebu;30;1;29;3,3
60 Orkdalregionen;60;Orkdalregionen;161;23;138;14,3
61 Trondheimsregionen;61;Trondheimsregionen;1328;296;1032;22,3
62 Rørosregionen;62;Rørosregionen;31;1;30;3,2
63 Stjørdalsregionen;63;Stjørdalsregionen;208;53;155;25,5
64 Innherred;64;Innherred;430;92;338;21,4
65 Indre Namdal;65;Indre Namdal;27;5;22;18,5
66 Kystgruppen;66;Kystgruppen;47;3;44;6,4
67 Midtre Namdal;67;Midtre Namdal;148;39;109;26,4
68 Sør-Helgeland;68;Sør-Helgeland;57;8;49;14
69 HALD;69;HALD;93;29;64;31,2
70 Ytre Helgeland;70;Ytre Helgeland;26;3;23;11,5
71 Mosjøregionen;71;Mosjøregionen;52;10;42;19,2
72 Ranaregionen;72;Ranaregionen;180;31;149;17,2
73 Salten;73;Salten;451;60;391;13,3
74 Ofoten;74;Ofoten;128;27;101;21,1
75 Lofoten;75;Lofoten;145;15;130;10,3
76 Vesterålen;76;Vesterålen;191;50;141;26,2
77 Sør-Troms;77;Sør-Troms;139;42;97;30,2
78 Midt-Troms;78;Midt-Troms;128;15;113;11,7
79 Tromsøregionen;79;Tromsøregionen;300;69;231;23
80 Nord-Troms;80;Nord-Troms;92;5;87;5,4
81 Vest-Finnmark;81;Vest-Finnmark;218;27;191;12,4
82 Midt-Finnmark;82;Midt-Finnmark;102;12;90;11,8
83 Øst-Finnmark;83;Øst-Finnmark;133;38;95;28,6
