Fylke nr & navn;fylke_nr;"Fylke
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;349803;121943;60220;76799;90841;66,8;79,9;61,6;53,3;70,1;199393;91999;17370;44129;45895;71,7;80,5;71,7;57,5;73,3;150410;29944;42850;32670;44946;61,2;78,2;58,2;48,6;67,2
01 Østfold;1;Østfold;16133;4732;2736;4872;3793;60,3;77,1;58,5;47,1;67,6;9219;3780;708;2793;1938;65,2;77,6;66,5;51,7;69,4;6914;952;2028;2079;1855;54,8;75,3;56,2;42,2;65,9
02 Akershus;2;Akershus;46519;14553;7426;10630;13910;69,7;77,1;63,5;61,2;74,1;26170;11238;2346;5883;6703;74,5;77,1;75;65,9;79;20349;3315;5080;4747;7207;64,4;77,1;59,3;56,3;70
03 Oslo;3;Oslo;85579;21766;13693;21225;28895;64,5;77,6;58,6;54,5;68,3;48843;15864;5996;12114;14869;69,7;77,8;71,9;58,8;71,9;36736;5902;7697;9111;14026;58,7;77,3;51,3;49,7;64,9
04 Hedmark;4;Hedmark;7014;2212;1292;1621;1889;61,1;73,7;62,4;43,4;70,6;3761;1677;260;954;870;64,3;75,8;68,4;46,5;72,2;3253;535;1032;667;1019;57,7;67,8;61;39,6;69,2
05 Oppland;5;Oppland;7310;2772;1215;1752;1571;64,1;78,2;64,8;45,8;72,8;4044;2036;257;1011;740;67,1;78,8;71;48,8;73;3266;736;958;741;831;60,8;76,7;63,3;42,2;72,6
06 Buskerud;6;Buskerud;20455;7427;3615;4681;4732;67,4;80,5;61,4;55,4;69,8;11710;5688;1031;2622;2369;73,3;81,3;72;59,9;74,5;8745;1739;2584;2059;2363;60,9;77,8;58;50,6;65,7
07 Vestfold;7;Vestfold;12986;4785;2287;2918;2996;66;79,4;61,8;51;70,9;7144;3491;527;1683;1443;71,3;81,3;68,1;56;74,2;5842;1294;1760;1235;1553;60,6;74,9;60,2;45,4;68,2
08 Telemark;8;Telemark;7505;2167;1456;2254;1628;60,1;77,9;62,5;46,3;64,9;3983;1632;317;1234;800;62,7;77,6;66,5;47,9;66,9;3522;535;1139;1020;828;57,4;79,1;61,5;44,5;63
09 Aust-Agder;9;Aust-Agder;5275;1833;999;1270;1173;63,1;78,2;58,6;49,3;67,5;2923;1386;214;730;593;67,6;78,4;65,6;52,9;69,8;2352;447;785;540;580;58,2;77,3;56,9;45,2;65,3
10 Vest-Agder;10;Vest-Agder;9673;2608;1682;3347;2036;63,6;78,6;60,9;54,4;68,4;5441;2030;410;1901;1100;68,8;80;69,5;57,8;73,9;4232;578;1272;1446;936;57,9;73,9;58,6;50,4;62,9
11 Rogaland;11;Rogaland;37727;17330;6103;6542;7752;72,7;84,8;59,1;60,1;75,6;22849;13232;1401;3867;4349;79,7;86;72,1;65,6;79,8;14878;4098;4702;2675;3403;64;81,1;56,1;53,5;70,8
12 Hordaland;12;Hordaland;31518;13799;5647;5636;6436;68,7;81,8;62,4;54,3;67,3;18673;10682;1479;3269;3243;73,9;82,5;72,2;58;70,1;12845;3117;4168;2367;3193;62,4;79,5;59,5;50;64,7
14 Sogn og Fjordane;14;Sogn og Fjordane;5325;2659;986;739;941;71,3;83,5;66;47,3;76,5;3081;2015;174;417;475;76,1;84,8;68,2;50,5;80,4;2244;644;812;322;466;65,6;79,8;65,5;43,8;72,9
15 Møre og Romsdal;15;Møte og Romsdal;14666;7315;3037;1783;2531;72,1;82,5;65,7;51,9;74,4;8544;5679;508;1055;1302;77,2;83,3;73,8;57,3;75,6;6122;1636;2529;728;1229;66,1;79,5;64,3;45,6;73,2
16 Sør-Trøndelag;16;Sør-Trøndelag;16296;6565;2786;3206;3739;66,9;81,7;62,3;54;63,1;9397;4861;688;1869;1979;70,9;81,4;71,8;58,1;63,5;6899;1704;2098;1337;1760;62,1;82,5;59,7;49,1;62,7
17 Nord-Trøndelag;17;Nord-Trøndelag;4203;1641;880;845;837;63,9;78,4;63,8;43;73,6;2368;1285;154;533;396;68,2;78,9;71,3;48,1;76,2;1835;356;726;312;441;59,1;76,6;62,4;36,4;71,4
18 Nordland;18;Nordland;8965;3286;1868;1640;2171;64,1;79,5;66,1;41,1;71,5;4709;2336;323;1038;1012;65,7;79,7;67,4;43,9;72,5;4256;950;1545;602;1159;62,5;79;65,8;37,1;70,6
19 Troms Romsa;19;Troms Romsa;7763;2666;1498;1192;2407;68,4;81,1;69,6;46,8;71,4;4068;1847;378;740;1103;70,6;81,2;76,4;51,4;71,2;3695;819;1120;452;1304;66,1;81;67,6;40,9;71,6
20 Finnmark Finnmárku;20;Finnmark Finnmárku;4891;1827;1014;646;1404;71;78,2;72,2;50,6;75;2466;1240;199;416;611;72;78,3;76,5;54,7;74,2;2425;587;815;230;793;70,1;78,1;71,2;44,7;75,5
