Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;1316;309;209;394;404;56,4;78,4;53,9;43,3;62,7;709;226;37;218;228;60,8;80,7;51,4;46,8;65,5;607;83;172;176;176;51,9;72,8;54,4;39,7;59,5
0104 Moss;104;Moss;2164;537;429;619;579;59;74,9;56,3;47,6;65,1;1204;409;148;352;295;62,4;73,3;63,8;51,8;64;960;128;281;267;284;55,2;80,5;53;42,9;66,2
0105 Sarpsborg;105;Sarpsborg;3158;851;528;1199;580;57,7;75;59,1;47,1;64,3;1852;709;114;720;309;63,6;76,4;66,3;52,7;69,3;1306;142;414;479;271;51;68,9;57,4;40,6;59,4
0106 Fredrikstad;106;Fredrikstad;4445;1197;636;1523;1089;59,1;78,3;57,9;44,8;72,5;2538;961;181;852;544;63,7;79,3;67,3;48,3;73,7;1907;236;455;671;545;53,9;74,4;54,9;41,1;71,3
0111 Hvaler;111;Hvaler;105;27;25;13;40;65,6;75;61;41,9;76,9;52;19;5;8;20;72,2;82,6;62,5;47,1;83,3;53;8;20;5;20;60,2;61,5;60,6;35,7;71,4
0118 Aremark;118;Aremark;19; : ; : ; : ; : ;57,6; : ; : ; : ; : ;10; : ; : ; : ; : ;62,5; : ; : ; : ; : ;9; : ; : ; : ; : ;52,9; : ; : ; : ; : 
0119 Marker;119;Marker;128;29;30;25;44;64,6;82,9;73,2;46,3;64,7;57;22;4;18;13;67,9;84,6;66,7;60;59,1;71;7;26;7;31;62,3;77,8;74,3;29,2;67,4
0121 Rømskog;121;Rømskog;32; : ; : ; : ; : ;86,5; : ; : ; : ; : ;17; : ; : ; : ; : ;85; : ; : ; : ; : ;15; : ; : ; : ; : ;88,2; : ; : ; : ; : 
