"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;12787;1316;11471;70,2;56,4;72,3
02 Indre Østfold;2;Indre Østfold;27297;3557;23740;74,7;64,1;76,6
03 Mosseregionen;3;Mosseregionen;26061;3552;22509;73,6;62,2;75,8
04 Nedre Glomma;4;Nedre Glomma;59336;7708;51628;71,7;58,6;74,2
05 Akershus Vest;5;Akershus Vest;83804;15925;67879;79,7;70,1;82,4
06 Follo;6;Follo;63941;9255;54686;79,1;69,4;81
07 Nedre Romerike;7;Nedre Romerike;82180;14529;67651;79,3;69;81,9
08 Øvre Romerike;8;Øvre Romerike;46457;6810;39647;78,3;70,8;79,7
09 Oslo;9;Oslo;326618;85579;241039;75,9;64,5;80,9
10 Fjellregionen;10;Fjellregionen;7083;562;6521;81,3;69,1;82,6
11 Glåmdal;11;Glåmdal;22309;1658;20651;69,9;57,8;71,1
12 Hamarregionen;12;Hamarregionen;41119;3544;37575;75,5;63,5;76,9
13 Sør Østerdal;13;Sør Østerdal;15885;1250;14635;74,2;56,2;76,3
14 Gjøvikregionen;14;Gjøvikregionen;31681;2775;28906;74,7;63,3;76
15 Hadeland;15;Hadeland;13497;1080;12417;76,6;62,5;78,2
16 Lillehammerregionen;16;Lillehammerregionen;18346;1745;16601;78,9;67,7;80,3
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;6154;475;5679;77,7;67,6;78,7
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;8678;485;8193;78,1;59,7;79,5
19 Valdres;19;Valdres;8502;750;7752;79,1;62,7;81,2
20 Drammensregionen;20;Drammensregionen;83950;14670;69280;76,6;66,5;79,2
21 Hallingdal;21;Hallingdal;10075;1497;8578;81,5;72,7;83,3
22 Kongsberg/Numedal;22;Kongsberg/Numedal;16188;2233;13955;80,4;71,6;82
23 Midt-Buskerud;23;Midt-Buskerud;9063;797;8266;76,6;67,1;77,6
24 Ringerike/Hole;24;Ringerike/Hole;16922;2070;14852;75,5;67,4;76,7
25 Tønsbergregionen;25;Tønsbergregionen;61589;7193;54396;75,1;66,9;76,3
26 Sandefjord/Larvik;26;Sandefjord/Larvik;39967;4981;34986;73,3;64,1;74,8
27 Grenland;27;Grenland;53667;5392;48275;73,2;59,1;75,2
28 Midt-Telemark;28;Midt-Telemark;7367;702;6665;73;56,8;75,2
29 Øst-Telemark;29;Øst-Telemark;8809;819;7990;73,7;61,7;75,2
30 Vest-Telemark;30;Vest-Telemark;6807;592;6215;80,6;73,6;81,3
