Bydel nr & navn;bydel_nr;"Bydel
navn";botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.0-4;botid_5.5-9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;28351;16650;40578;65,7;70,2;61,7
030101 Gamle Oslo;30101;Gamle Oslo;2756;1462;3424;69,2;66,8;53,7
030102 Grünerløkka;30102;Grünerløkka;3931;1822;2969;73,1;71,3;57,6
030103 Sagene;30103;Sagene;1709;904;1762;69,3;68,4;54,7
030104 St. Hanshaugen;30104;St. Hanshaugen;2678;1085;1557;74,6;74,8;64,5
030105 Frogner;30105;Frogner;4435;1391;2440;74,9;75,3;66,7
030106 Ullern;30106;Ullern;1043;576;1203;64,3;76,3;75,8
030107 Vestre Aker;30107;Veste Aker;1372;833;1524;57,8;76,8;73
030108 Nordre Aker;30108;Nordre Aker;1669;856;1539;56;75,4;71,4
030109 Bjerke;30109;Bjerke;1412;1048;2691;64,6;68,8;62,1
030110 Grorud;30110;Grorud;822;964;3015;61,1;70,8;63,6
030111 Stovner;30111;Stovner;969;903;3692;59,1;67,8;61,4
030112 Alna;30112;Alna;1497;1628;5634;60,7;68,2;61,5
030113 Østensjø;30113;Østensjø;1028;969;2692;64,1;71,6;66,2
030114 Nordstrand;30114;Nordstrand;1152;878;1770;64,1;76,6;70,7
030115 Søndre Nordstrand;30115;Søndre Nordstrand;1037;1041;4286;57,8;66,9;59,6
030116 Sentrum;30116;Sentrum;:;:;:;:;:;:
030117 Marka;30117;Marka;41;16;35;67,2;64;87,5
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;785;265;333;40,9;37,6;33,6
