Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.0-4;botid_5.5-9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;379;241;696;59,8;61,3;53,2
0104 Moss;104;Moss;620;474;1070;57;66,5;57,2
0105 Sarpsborg;105;Sarpsborg;743;811;1604;53,7;65,6;56,2
0106 Fredrikstad;106;Fredrikstad;1312;822;2311;61,4;58;58,2
0111 Hvaler;111;Hvaler;25;25;55;43,1;75,8;79,7
0118 Aremark;118;Aremark; : ; : ; : ; : ; : ; : 
0119 Marker;119;Marker;35;23;70;64,8;60,5;66
0121 Rømskog;121;Rømskog; : ; : ; : ; : ; : ; : 
0122 Trøgstad;122;Trøgstad;126;47;74;63,3;69,1;78,7
0123 Spydeberg;123;Spydeberg;99;75;101;58,2;75;72,7
0124 Askim;124;Askim;239;242;677;57,3;69,5;59,9
0125 Eidsberg;125;Eidsberg;262;170;260;62,1;69,4;58,8
0127 Skiptvet;127;Skiptvet;74;65;48;66,1;75,6;69,6
0128 Rakkestad;128;Rakkestad;167;109;148;64,7;69,4;55
0135 Råde;135;Råde;127;96;99;64,1;77,4;66,4
0136 Rygge;136;Rygge;194;203;375;66,9;77,8;62,8
0137 Våler (Østfold);137;Våler (Østf.);93;96;105;58,9;78;74,5
0138 Hobøl;138;Hobøl;154;116;125;62,9;84,1;73,1
0211 Vestby;211;Vestby;300;224;555;59,2;72,5;77,1
0213 Ski;213;Ski;491;391;1187;58,7;72,5;70,7
0214 Ås;214;Ås;686;360;686;59,7;74,8;76,3
0215 Frogn;215;Frogn;221;194;428;57,7;77,9;76,4
0216 Nesodden;216;Nesodden;280;273;665;61,8;79,4;75,8
0217 Oppegård;217;Oppegård;361;329;943;55,6;72,3;73,4
0219 Bærum;219;Bærum;3196;2582;5029;59,8;75,7;74,9
0220 Asker;220;Asker;1565;1137;2416;61,9;76;75,3
0221 Aurskog Høland;221;Aurskog-Høland;342;234;216;67,2;70,5;71,5
0226 Sørum;226;Sørum;455;327;535;63,9;80;76,5
0227 Fet;227;Fet;281;190;313;68,2;72,8;73,5
0228 Rælingen;228;Rælingen;408;313;854;65,1;76,5;72,2
0229 Enebakk;229;Enebakk;193;181;307;59,4;80,4;74
0230 Lørenskog;230;Lørenskog;934;594;2043;62,2;70,5;70,7
0231 Skedsmo;231;Skedsmo;1264;922;2738;58,6;67,9;69,6
0233 Nittedal;233;Nittedal;445;317;804;68,1;76,9;78,1
0234 Gjerdrum;234;Gjerdrum;210;103;134;67,1;83,7;78,8
0235 Ullensaker;235;Ullensaker;1072;622;1329;70,1;76,6;69,8
0236 Nes (Akershus);236;Nes (Ak.);370;248;389;62,6;72,9;70,6
0237 Eidsvoll;237;Eidsvoll;431;336;497;62,6;77,8;69,4
0238 Nannestad;238;Nannestad;403;214;333;69,2;83,6;75
0239 Hurdal;239;Hurdal;44;29;46;62,9;87,9;78
0301 Oslo;301;Oslo kommune;28351;16650;40578;65,7;70,2;61,7
0402 Kongsvinger;402;Kongsvinger;157;150;418;41,2;57,5;58,9
0403 Hamar;403;Hamar;431;334;584;55,2;67,7;63,1
0412 Ringsaker;412;Ringsaker;541;305;408;62,6;71,1;71,2
0415 Løten;415;Løten;82;73;71;53,2;73,7;60,7
0417 Stange;417;Stange;234;160;321;52,5;71,1;67,7
0418 Nord-Odal;418;Nord-Odal;39;23;33;60,9;67,6;63,5
0419 Sør-Odal;419;Sør-Odal;70;55;89;54,3;80,9;70,1
0420 Eidskog;420;Eidskog;40;41;89;44;71,9;57,4
0423 Grue;423;Grue;44;32;80;59,5;74,4;67,2
0425 Åsnes;425;Åsnes;82;32;66;48,5;69,6;56,9
0426 Våler (Hedm.);426;Våler (Hedm.);52;31;35;62,7;75,6;71,4
0427 Elverum;427;Elverum;239;156;331;55,5;58,6;65
0428 Trysil;428;Trysil;101;54;96;51,3;55,1;68,1
0429 Åmot;429;Åmot;51;35;49;58;67,3;62
0430 Stor-Elvdal;430;Stor-Elvdal;56;29;18;25,1;78,4;62,1
0432 Rendalen;432;Rendalen; : ; : ; : ; : ; : ; : 
0434 Engerdal;434;Engerdal; : ; : ; : ; : ; : ; : 
0436 Tolga;436;Tolga;35;10;22;58,3;66,7;61,1
0437 Tynset;437;Tynset;134;67;67;65,4;89,3;76,1
0438 Alvdal;438;Alvdal;18;21;26;41,9;95,5;81,3
0439 Folldal;439;Folldal; : ; : ; : ; : ; : ; : 
0441 Os (Hedm.);441;Os (Hedm.);35;17;36;66;89,5;72
0501 Lillehammer;501;Lillehammer;372;317;597;59,9;69,2;73,2
0502 Gjøvik;502;Gjøvik;498;332;683;57;69,3;65,3
0511 Dovre;511;Dovre;52;32;16;54,7;82,1;66,7
0512 Lesja;512;Lesja;37;30;11;72,5;83,3;68,8
0513 Skjåk;513;Skjåk;43;10;14;58,1;50;63,6
