Bydel nr & navn;bydel_nr;"Bydel
navn";vreg_8.alle;vreg_8.norden;vreg_8.vest_europa;vreg_8.eu_ost_europa;vreg_8.ost_europa_ellers;vreg_8.nord_amerika_oseania;vreg_8.asia;vreg_8.afrika;vreg_8.sor_og_mellom_amerika;vreg_8.alle;vreg_8.norden;vreg_8.vest_europa;vreg_8.eu_ost_europa;vreg_8.ost_europa_ellers;vreg_8.nord_amerika_oseania;vreg_8.asia;vreg_8.afrika;vreg_8.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;85579;13851;8095;14688;6427;1608;28136;9503;3271;64,5;84,3;75,6;71,8;66,6;72;57,7;48,8;66,8
030101 Gamle Oslo;30101;Gamle Oslo;7642;1403;660;1170;568;156;2238;1092;355;60,9;83,4;78,9;72,2;67,2;76,1;53,1;41,8;66,9
030102 Grünerløkka;30102;Grünerløkka;8722;1995;902;1625;628;214;2072;883;403;66,6;85,8;79,8;71,9;66,5;77;57,7;44,7;69,4
030103 Sagene;30103;Sagene;4375;1018;547;695;373;93;858;568;223;62,4;85,1;80,6;70,1;69,7;68,4;52,9;37,7;64,5
030104 St. Hanshaugen;30104;St. Hanshaugen;5320;1587;742;879;358;151;939;423;241;71,4;85,2;77,7;72,6;74;73,7;62,9;48,2;65,5
030105 Frogner;30105;Frogner;8266;2592;1561;1152;532;314;1399;340;376;72,3;86,2;77,4;76,1;64,4;68,6;60,4;48,8;63,3
030106 Ullern;30106;Ullern;2822;581;511;633;195;75;607;114;106;71,2;86,5;81,5;73,8;69,6;70,1;60,2;44,5;67,9
030107 Vestre Aker;30107;Veste Aker;3729;788;604;964;213;142;685;196;137;67,2;84,6;79,8;72,9;67,2;75,9;47,5;50,5;67,5
030108 Nordre Aker;30108;Nordre Aker;4064;805;516;857;284;118;873;484;127;64,8;85;65,9;71,8;62,6;69,4;54,3;53,7;58,3
030109 Bjerke;30109;Bjerke;5151;372;238;1029;370;36;2300;650;156;64,1;85,9;72,1;73,3;66,9;83,7;60,2;52,4;71,6
030110 Grorud;30110;Grorud;4801;186;140;657;373;27;2279;915;224;64,4;77,2;75,3;73,5;67;73;61,8;59,8;70
030111 Stovner;30111;Stovner;5564;184;121;795;249;5;3362;731;117;61,9;76,3;68,4;77,9;60,6;35,7;60,2;53,5;70,1
030112 Alna;30112;Alna;8759;338;305;1099;906;39;4498;1291;283;62,5;81,1;76,6;74,4;67,2;68,4;58,7;56,9;72,9
030113 Østensjø;30113;Østensjø;4689;498;305;862;585;64;1676;545;154;66,7;86,9;79,6;76,5;71,3;76,2;61,3;50,6;68,1
030114 Nordstrand;30114;Nordstrand;3800;747;487;970;267;85;791;292;161;69,8;86,9;82;74,7;69,2;73,3;57,5;49,6;71,2
030115 Søndre Nordstrand;30115;Søndre Nordstrand;6364;321;302;940;465;55;3250;856;175;60,4;84,3;75,9;72,4;62,3;76,4;56,6;51,7;71,1
030116 Sentrum;30116;Sentrum;36;4;4;5;9; : ;10; : ;0;67,9;66,7;57,1;71,4;69,2; : ;71,4; : ;0
030117 Marka;30117;Marka;92;26;13;31;5;6;11;0;0;73;81,3;68,4;79,5;100;85,7;55;0;0
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;1383;406;137;325;47;27;288;120;33;38,3;64,5;31,5;35,2;37,6;47,4;35,6;22,6;30,8
