"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";vreg_8.alle;vreg_8.norden;vreg_8.vest_europa;vreg_8.eu_ost_europa;vreg_8.ost_europa_ellers;vreg_8.nord_amerika_oseania;vreg_8.asia;vreg_8.afrika;vreg_8.sor_og_mellom_amerika;vreg_8.alle;vreg_8.norden;vreg_8.vest_europa;vreg_8.eu_ost_europa;vreg_8.ost_europa_ellers;vreg_8.nord_amerika_oseania;vreg_8.asia;vreg_8.afrika;vreg_8.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;1316;258;142;310;248;13;246;81;18;56,4;69,5;68,6;70,8;48,7;59,1;48,8;31,6;64,3
02 Indre Østfold;2;Indre Østfold;3557;418;257;1405;420;32;780;172;73;64,1;73,7;72,2;73,9;57,7;65,3;53,8;46,1;59,3
03 Mosseregionen;3;Mosseregionen;3552;517;248;1155;320;46;955;203;108;62,2;80,2;71,7;70,5;61,5;67,6;51,9;40,4;71,5
04 Nedre Glomma;4;Nedre Glomma;7708;1071;452;2214;1303;88;1977;454;149;58,6;78,8;70,8;73;56,2;68,8;47,5;35,3;65,1
05 Akershus Vest;5;Akershus Vest;15925;2656;1948;4322;1147;480;3948;953;471;70,1;87,3;80;72,1;69,6;75,4;60,5;54,2;71,4
06 Follo;6;Follo;9255;1758;1255;2111;762;224;2168;663;314;69,4;84,3;77,7;71,4;67,7;77,2;61,5;51,4;69,6
07 Nedre Romerike;7;Nedre Romerike;14529;1807;1109;4044;905;142;5437;771;314;69;84,4;78,8;72,5;65,2;78,5;63,7;57;67,2
08 Øvre Romerike;8;Øvre Romerike;6810;1134;535;2386;527;79;1682;266;201;70,8;85,4;77,5;73,8;65,5;68,7;62,9;56,1;67,7
09 Oslo;9;Oslo;85579;13851;8095;14688;6427;1608;28136;9503;3271;64,5;84,3;75,6;71,8;66,6;72;57,7;48,8;66,8
10 Fjellregionen;10;Fjellregionen;562;61;97;245;48;7;65;32;7;69,1;80,3;76,4;79,5;75;87,5;57,5;30,5;58,3
11 Glåmdal;11;Glåmdal;1658;384;152;443;156;17;396;64;46;57,8;69,6;73,1;69,1;55,9;51,5;49,8;23,4;52,9
