Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;81941;48690;33251;12525;20726;3,2;2,2;8,8;6,1;12,2
01 Østfold;1;Østfold;6207;3572;2635;798;1837;4,7;3,1;14,6;8,5;21,1
02 Akershus;2;Akershus;8581;4751;3830;1534;2296;3;2;7,7;5,5;10,4
03 Oslo;3;Oslo;14633;5617;9016;2536;6480;4,3;2,3;9,8;6,3;12,6
04 Hedmark;4;Hedmark;3126;2294;832;314;518;3,5;2,8;10,9;6,9;16,6
05 Oppland;5;Oppland;2483;1742;741;294;447;2,8;2,2;9,6;6,3;14,6
06 Buskerud;6;Buskerud;4360;2492;1868;731;1137;3,2;2,2;8,5;5,9;11,7
07 Vestfold;7;Vestfold;4291;2862;1429;578;851;3,8;2,9;10,1;6,9;14,8
08 Telemark;8;Telemark;3239;2236;1003;309;694;4;3,1;12,3;7,4;17,4
09 Aust-Agder;9;Aust-Agder;2201;1505;696;316;380;4,2;3,2;12;9;16,6
10 Vest-Agder;10;Vest-Agder;2823;1775;1048;379;669;3,3;2,4;9,9;7,1;12,7
11 Rogaland;11;Rogaland;5475;3006;2469;1228;1241;2,3;1,5;6,1;4,9;8
12 Hordaland;12;Hordaland;6775;4120;2655;1132;1523;2,6;1,8;7,8;5,5;11,6
14 Sogn og Fjordane;14;Sogn og Fjordane;1041;677;364;199;165;2;1,4;6,3;4,8;10,1
15 Møre og Romsdal;15;Møte og Romsdal;3265;2107;1158;685;473;2,5;1,9;7,4;6,2;9,9
16 Sør-Trøndelag;16;Sør-Trøndelag;4057;2781;1276;509;767;2,6;2;7,3;5,1;10,2
17 Nord-Trøndelag;17;Nord-Trøndelag;1747;1338;409;193;216;2,8;2,3;9,3;7,4;12,3
18 Nordland;18;Nordland;3731;2833;898;358;540;3,3;2,7;9,5;6,6;13,2
19 Troms Romsa;19;Troms Romsa;1994;1553;441;160;281;2,5;2,2;5,5;3,4;8,5
20 Finnmark Finnmárku;20;Finnmark Finnmárku;1509;1026;483;272;211;4,2;3,3;9,7;9,6;9,8
99 Uoppgitt fylke;99;Uoppgitt fylke;403;403;0;0;0;0;0;0;0;0
