fylke;fylke_nr;fylke_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
00 Hele landet;0;Hele landet;337 600;280 400;240 500;346 500
01 Østfold;1;Østfold;317 900;269 600;223 500;326 100
02 Akershus;2;Akershus;368 400;302 600;265 300;379 800
03 Oslo;3;Oslo;341 500;284 800;241 800;368 300
04 Hedmark;4;Hedmark;313 600;257 300;207 100;318 900
05 Oppland;5;Oppland;317 300;253 900;206 700;322 800
06 Buskerud;6;Buskerud;335 000;271 600;239 200;345 700
07 Vestfold;7;Vestfold;327 600;268 500;226 700;335 600
08 Telemark;8;Telemark;320 100;258 800;209 500;327 200
09 Aust-Agder;9;Aust-Agder;320 300;261 200;219 800;327 400
10 Vest-Agder;10;Vest-Agder;326 400;280 600;229 400;333 800
11 Rogaland;11;Rogaland;362 700;307 000;276 300;371 200
12 Hordaland;12;Hordaland;345 100;277 500;247 600;353 200
14 Sogn og Fjordane;14;Sogn og Fjordane;333 100;268 400;220 800;339 300
15 Møre og Romsdal;15;Møte og Romsdal;337 600;269 500;244 900;344 700
16 Sør-Trøndelag;16;Sør-Trøndelag;335 800;273 000;236 700;342 300
17 Nord-Trøndelag;17;Nord-Trøndelag;320 500;259 500;199 400;324 800
18 Nordland;18;Nordland;328 100;268 600;211 100;333 400
19 Troms Romsa;19;Troms Romsa;335 800;283 800;224 700;341 100
20 Finnmark Finnmárku;20;Finnmark Finnmárku;339 700;284 000;255 600;346 400
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.
