naringsregion;naringsregion_nr;naringsregion_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
01 Halden;1; Halden;312 700;262 800;209 900;319 600
02 Indre Østfold;2; Indre Østfold;315 600;264 800;233 400;323 200
03 Mosseregionen;3; Mosseregionen;329 000;274 100;235 600;337 600
04 Nedre Glomma;4; Nedre Glomma;315 400;271 400;219 100;324 300
05 Akershus Vest;5; Akershus Vest;409 000;326 300;261 800;427 300
06 Follo;6; Follo;366 600;310 700;260 200;375 300
07 Nedre Romerike;7; Nedre Romerike;356 500;291 600;273 600;367 200
08 Øvre Romerike;8; Øvre Romerike;339 900;278 000;260 200;348 000
09 Oslo;9; Oslo;341 500;284 800;241 800;368 300
10 Fjellregionen;10; Fjellregionen;311 300;246 800;198 300;316 800
11 Glåmdal;11; Glåmdal;304 400;258 500;211 300;307 900
12 Hamarregionen;12; Hamarregionen;321 200;259 600;212 200;326 700
13 Sør Østerdal;13; Sør Østerdal;310 000;251 900;192 200;315 900
14 Gjøvikregionen;14; Gjøvikregionen;314 300;261 100;210 400;318 900
15 Hadeland;15; Hadeland;329 200;264 300;219 100;335 000
16 Lillehammerregionen;16; Lillehammerregionen;327 900;268 900;217 100;334 100
17 Midt-Gudbrandsdal;17; Midt-Gudbrandsdal;310 900;242 800;186 300;315 200
18 Nord-Gudbrandsdal;18; Nord-Gudbrandsdal;308 800;236 800;177 400;312 700
19 Valdres;19; Valdres;307 300;231 700;175 700;312 600
20 Drammensregionen;20; Drammensregionen;337 100;272 400;240 300;349 700
21 Hallingdal;21; Hallingdal;322 700;265 500;204 000;331 600
22 Kongsberg/Numedal;22; Kongsberg/Numedal;354 000;302 600;254 500;362 000
23 Midt-Buskerud;23; Midt-Buskerud;319 400;250 100;217 600;325 300
24 Ringerike/Hole;24; Ringerike/Hole;325 300;262 400;238 700;332 200
25 Tønsbergregionen;25; Tønsbergregionen;330 800;266 900;226 000;338 900
26 Sandefjord/Larvik;26; Sandefjord/Larvik;321 700;267 300;226 300;329 400
27 Grenland;27; Grenland;322 400;265 900;211 900;329 600
28 Midt-Telemark;28; Midt-Telemark;311 100;222 500;192 400;319 100
29 Øst-Telemark;29; Øst-Telemark;315 200;256 900;202 200;322 100
