bydel;bydel_nr;bydel_navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;16912;9883;7029;544;6485;100;58,4;41,6;3,2;38,3;9411;5296;4115;330;3785;100;56,3;43,7;3,5;40,2;7501;4587;2914;214;2700;100;61,2;38,8;2,9;36
030101 Gamle Oslo;30101;Gamle Oslo;2458;1511;947;75;872;100;61,5;38,5;3,1;35,5;1337;795;542;41;501;100;59,5;40,5;3,1;37,5;1121;716;405;34;371;100;63,9;36,1;3;33,1
030102 Grünerløkka;30102;Grünerløkka;1943;1164;779;55;724;100;59,9;40,1;2,8;37,3;1036;628;408;34;374;100;60,6;39,4;3,3;36,1;907;536;371;21;350;100;59,1;40,9;2,3;38,6
030103 Sagene;30103;Sagene;1615;867;748;36;712;100;53,7;46,3;2,2;44,1;916;476;440;20;420;100;52;48;2,2;45,9;699;391;308;16;292;100;55,9;44,1;2,3;41,8
030104 St. Hanshaugen;30104;St. Hanshaugen;1135;546;589;25;564;100;48,1;51,9;2,2;49,7;695;327;368;19;349;100;47,1;52,9;2,7;50,2;440;219;221;6;215;100;49,8;50,2;1,4;48,9
030105 Frogner;30105;Frogner;1237;553;684;36;648;100;44,7;55,3;2,9;52,4;687;298;389;19;370;100;43,4;56,6;2,8;53,9;550;255;295;17;278;100;46,4;53,6;3,1;50,5
030106 Ullern;30106;Ullern;252;131;121;       :;116;100;52;48;       :;46;140;68;72;       :;69;100;48,6;51,4;       :;49,3;112;63;49;       :;47;100;56,3;43,8;       :;42
030107 Vestre Aker;30107;Veste Aker;418;237;181;5;176;100;56,7;43,3;1,2;42,1;197;102;95;       :;92;100;51,8;48,2;       :;46,7;221;135;86;       :;84;100;61,1;38,9;       :;38
030108 Nordre Aker;30108;Nordre Aker;676;361;315;16;299;100;53,4;46,6;2,4;44,2;373;191;182;9;173;100;51,2;48,8;2,4;46,4;303;170;133;7;126;100;56,1;43,9;2,3;41,6
030109 Bjerke;30109;Bjerke;923;667;256;20;236;100;72,3;27,7;2,2;25,6;537;376;161;15;146;100;70;30;2,8;27,2;386;291;95;5;90;100;75,4;24,6;1,3;23,3
030110 Grorud;30110;Grorud;968;626;342;39;303;100;64,7;35,3;4;31,3;552;334;218;30;188;100;60,5;39,5;5,4;34,1;416;292;124;9;115;100;70,2;29,8;2,2;27,6
030111 Stovner;30111;Stovner;997;688;309;44;265;100;69;31;4,4;26,6;557;377;180;22;158;100;67,7;32,3;3,9;28,4;440;311;129;22;107;100;70,7;29,3;5;24,3
030112 Alna;30112;Alna;1017;699;318;44;274;100;68,7;31,3;4,3;26,9;540;356;184;30;154;100;65,9;34,1;5,6;28,5;477;343;134;14;120;100;71,9;28,1;2,9;25,2
030113 Østensjø;30113;Østensjø;861;480;381;34;347;100;55,7;44,3;3,9;40,3;449;226;223;19;204;100;50,3;49,7;4,2;45,4;412;254;158;15;143;100;61,7;38,3;3,6;34,7
030114 Nordstrand;30114;Nordstrand;677;330;347;16;331;100;48,7;51,3;2,4;48,9;380;190;190;6;184;100;50;50;1,6;48,4;297;140;157;10;147;100;47,1;52,9;3,4;49,5
030115 Søndre Nordstrand;30115;Søndre Nordstrand;1173;802;371;82;289;100;68,4;31,6;7;24,6;587;374;213;54;159;100;63,7;36,3;9,2;27,1;586;428;158;28;130;100;73;27;4,8;22,2
030116 Sentrum;30116;Sentrum;83;53;30;       :;29;100;63,9;36,1;       :;34,9;61;45;16;       :;15;100;73,8;26,2;       :;24,6;22;8;14;:;14;100;36,4;63,6;       :;63,6
030117 Marka;30117;Marka;22;4;18;:;18;100;18,2;81,8;       :;81,8;16;       :;14;:;14;100;       :;87,5;       :;87,5;6;       :;4;:;4;100;       :;66,7;       :;66,7
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;457;164;293;11;282;100;35,9;64,1;2,4;61,7;351;131;220;5;215;100;37,3;62,7;1,4;61,3;106;33;73;6;67;100;31,1;68,9;5,7;63,2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;; ;;;;;;;;;; ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
