kommune;kommune_nr;kommune_navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;983;295;688;6;682;100;30;70;0,6;69,4;502;149;353;       :;350;100;29,7;70,3;       :;69,7;481;146;335;       :;332;100;30,4;69,6;       :;69
0104 Moss;104;Moss;1141;410;731;20;711;100;35,9;64,1;1,8;62,3;618;213;405;13;392;100;34,5;65,5;2,1;63,4;523;197;326;7;319;100;37,7;62,3;1,3;61
0105 Sarpsborg;105;Sarpsborg;1585;650;935;22;913;100;41;59;1,4;57,6;923;373;550;15;535;100;40,4;59,6;1,6;58;662;277;385;7;378;100;41,8;58,2;1,1;57,1
0106 Fredrikstad;106;Fredrikstad;2346;966;1380;14;1366;100;41,2;58,8;0,6;58,2;1302;556;746;9;737;100;42,7;57,3;0,7;56,6;1044;410;634;5;629;100;39,3;60,7;0,5;60,2
0111 Hvaler;111;Hvaler;112;22;90;       :;89;100;19,6;80,4;       :;79,5;65;9;56;:;56;100;13,8;86,2;       :;86,2;47;13;34;       :;33;100;27,7;72,3;       :;70,2
0118 Aremark;118;Aremark;33;       :;30;:;30;100;       :;90,9;       :;90,9;23;       :;21;:;21;100;       :;91,3;       :;91,3;10;       :;9;:;9;100;       :;90;       :;90
0119 Marker;119;Marker;100;24;76;:;76;100;24;76;       :;76;55;13;42;:;42;100;23,6;76,4;       :;76,4;45;11;34;:;34;100;24,4;75,6;       :;75,6
0121 Rømskog;121;Rømskog;9;       :;6;:;6;100;       :;66,7;       :;66,7;7;       :;5;:;5;100;       :;71,4;       :;71,4;       :;       :;       :;:;       :;100;       :;       :;       :;       :
0122 Trøgstad;122;Trøgstad;115;25;90;:;90;100;21,7;78,3;       :;78,3;60;19;41;:;41;100;31,7;68,3;       :;68,3;55;6;49;:;49;100;10,9;89,1;       :;89,1
0123 Spydeberg;123;Spydeberg;152;51;101;:;101;100;33,6;66,4;       :;66,4;80;27;53;:;53;100;33,8;66,3;       :;66,3;72;24;48;:;48;100;33,3;66,7;       :;66,7
0124 Askim;124;Askim;459;152;307;12;295;100;33,1;66,9;2,6;64,3;228;83;145;6;139;100;36,4;63,6;2,6;61;231;69;162;6;156;100;29,9;70,1;2,6;67,5
0125 Eidsberg;125;Eidsberg;409;119;290;       :;288;100;29,1;70,9;       :;70,4;215;61;154;       :;152;100;28,4;71,6;       :;70,7;194;58;136;:;136;100;29,9;70,1;       :;70,1
0127 Skiptvet;127;Skiptvet;68;14;54;:;54;100;20,6;79,4;       :;79,4;29;10;19;:;19;100;34,5;65,5;       :;65,5;39;4;35;:;35;100;10,3;89,7;       :;89,7
0128 Rakkestad;128;Rakkestad;218;76;142;       :;140;100;34,9;65,1;       :;64,2;106;32;74;       :;73;100;30,2;69,8;       :;68,9;112;44;68;       :;67;100;39,3;60,7;       :;59,8
0135 Råde;135;Råde;153;44;109;       :;107;100;28,8;71,2;       :;69,9;81;22;59;       :;57;100;27,2;72,8;       :;70,4;72;22;50;:;50;100;30,6;69,4;       :;69,4
0136 Rygge;136;Rygge;433;78;355;10;345;100;18;82;2,3;79,7;228;43;185;4;181;100;18,9;81,1;1,8;79,4;205;35;170;6;164;100;17,1;82,9;2,9;80
0137 Våler (Østfold);137;Våler (Østf.);86;11;75;:;75;100;12,8;87,2;       :;87,2;46;7;39;:;39;100;15,2;84,8;       :;84,8;40;4;36;:;36;100;10;90;       :;90
0138 Hobøl;138;Hobøl;102;18;84;:;84;100;17,6;82,4;       :;82,4;55;10;45;:;45;100;18,2;81,8;       :;81,8;47;8;39;:;39;100;17;83;       :;83
0211 Vestby;211;Vestby;293;115;178;       :;176;100;39,2;60,8;0,7;60,1;159;67;92;       :;91;100;42,1;57,9;       :;57,2;134;48;86;       :;85;100;35,8;64,2;       :;63,4
0213 Ski;213;Ski;682;314;368;14;354;100;46;54;2,1;51,9;382;171;211;6;205;100;44,8;55,2;1,6;53,7;300;143;157;8;149;100;47,7;52,3;2,7;49,7
0214 Ås;214;Ås;268;103;165;       :;164;100;38,4;61,6;       :;61,2;145;58;87;:;87;100;40;60;       :;60;123;45;78;       :;77;100;36,6;63,4;       :;62,6
0215 Frogn;215;Frogn;235;59;176;       :;175;100;25,1;74,9;       :;74,5;126;34;92;:;92;100;27;73;       :;73;109;25;84;       :;83;100;22,9;77,1;       :;76,1
0216 Nesodden;216;Nesodden;312;107;205;5;200;100;34,3;65,7;1,6;64,1;168;48;120;4;116;100;28,6;71,4;2,4;69;144;59;85;       :;84;100;41;59;       :;58,3
0217 Oppegård;217;Oppegård;352;167;185;6;179;100;47,4;52,6;1,7;50,9;199;93;106;       :;103;100;46,7;53,3;       :;51,8;153;74;79;       :;76;100;48,4;51,6;       :;49,7
0219 Bærum;219;Bærum;1838;981;857;36;821;100;53,4;46,6;2;44,7;1009;505;504;19;485;100;50;50;1,9;48,1;829;476;353;17;336;100;57,4;42,6;2,1;40,5
0220 Asker;220;Asker;923;484;439;22;417;100;52,4;47,6;2,4;45,2;498;251;247;15;232;100;50,4;49,6;3;46,6;425;233;192;7;185;100;54,8;45,2;1,6;43,5
0221 Aurskog Høland;221;Aurskog-Høland;374;80;294;       :;293;100;21,4;78,6;       :;78,3;209;48;161;:;161;100;23;77;       :;77;165;32;133;       :;132;100;19,4;80,6;       :;80
0226 Sørum;226;Sørum;252;78;174;       :;172;100;31;69;       :;68,3;132;51;81;       :;80;100;38,6;61,4;       :;60,6;120;27;93;       :;92;100;22,5;77,5;       :;76,7
0227 Fet;227;Fet;161;54;107;       :;105;100;33,5;66,5;       :;65,2;79;26;53;       :;51;100;32,9;67,1;       :;64,6;82;28;54;:;54;100;34,1;65,9;       :;65,9
0228 Rælingen;228;Rælingen;320;169;151;       :;148;100;52,8;47,2;       :;46,3;166;84;82;       :;80;100;50,6;49,4;       :;48,2;154;85;69;       :;68;100;55,2;44,8;       :;44,2
0229 Enebakk;229;Enebakk;200;41;159;       :;158;100;20,5;79,5;       :;79;110;25;85;:;85;100;22,7;77,3;       :;77,3;90;16;74;       :;73;100;17,8;82,2;       :;81,1
0230 Lørenskog;230;Lørenskog;635;292;343;24;319;100;46;54;3,8;50,2;340;151;189;14;175;100;44,4;55,6;4,1;51,5;295;141;154;10;144;100;47,8;52,2;3,4;48,8
0231 Skedsmo;231;Skedsmo;1100;625;475;20;455;100;56,8;43,2;1,8;41,4;589;326;263;13;250;100;55,3;44,7;2,2;42,4;511;299;212;7;205;100;58,5;41,5;1,4;40,1
0233 Nittedal;233;Nittedal;337;98;239;7;232;100;29,1;70,9;2,1;68,8;179;52;127;5;122;100;29,1;70,9;2,8;68,2;158;46;112;       :;110;100;29,1;70,9;       :;69,6
0234 Gjerdrum;234;Gjerdrum;72;27;45;:;45;100;37,5;62,5;       :;62,5;36;12;24;:;24;100;33,3;66,7;       :;66,7;36;15;21;:;21;100;41,7;58,3;       :;58,3
0235 Ullensaker;235;Ullensaker;622;229;393;9;384;100;36,8;63,2;1,4;61,7;334;129;205;5;200;100;38,6;61,4;1,5;59,9;288;100;188;4;184;100;34,7;65,3;1,4;63,9
0236 Nes (Akershus);236;Nes (Ak.);321;71;250;       :;248;100;22,1;77,9;       :;77,3;193;43;150;       :;149;100;22,3;77,7;       :;77,2;128;28;100;       :;99;100;21,9;78,1;       :;77,3
0237 Eidsvoll;237;Eidsvoll;515;105;410;5;405;100;20,4;79,6;1;78,6;267;42;225;       :;222;100;15,7;84,3;       :;83,1;248;63;185;       :;183;100;25,4;74,6;       :;73,8
0238 Nannestad;238;Nannestad;195;50;145;       :;144;100;25,6;74,4;       :;73,8;103;24;79;:;79;100;23,3;76,7;       :;76,7;92;26;66;       :;65;100;28,3;71,7;       :;70,7
0239 Hurdal;239;Hurdal;44;       :;41;:;41;100;       :;93,2;       :;93,2;27;       :;25;:;25;100;       :;92,6;       :;92,6;17;       :;16;:;16;100;       :;94,1;       :;94,1
0301 Oslo;301;Oslo kommune;16912;9883;7029;544;6485;100;58,4;41,6;3,2;38,3;9411;5296;4115;330;3785;100;56,3;43,7;3,5;40,2;7501;4587;2914;214;2700;100;61,2;38,8;2,9;36
0402 Kongsvinger;402;Kongsvinger;583;166;417;       :;414;100;28,5;71,5;       :;71;321;102;219;       :;218;100;31,8;68,2;       :;67,9;262;64;198;       :;196;100;24,4;75,6;       :;74,8
0403 Hamar;403;Hamar;923;337;586;8;578;100;36,5;63,5;0,9;62,6;495;185;310;       :;307;100;37,4;62,6;       :;62;428;152;276;5;271;100;35,5;64,5;1,2;63,3
0412 Ringsaker;412;Ringsaker;917;163;754;       :;752;100;17,8;82,2;       :;82;443;72;371;       :;370;100;16,3;83,7;       :;83,5;474;91;383;       :;382;100;19,2;80,8;       :;80,6
0415 Løten;415;Løten;218;41;177;       :;176;100;18,8;81,2;       :;80,7;113;19;94;       :;93;100;16,8;83,2;       :;82,3;105;22;83;:;83;100;21;79;       :;79
0417 Stange;417;Stange;478;123;355;       :;354;100;25,7;74,3;       :;74,1;256;62;194;       :;193;100;24,2;75,8;       :;75,4;222;61;161;:;161;100;27,5;72,5;       :;72,5
0418 Nord-Odal;418;Nord-Odal;145;12;133;:;133;100;8,3;91,7;       :;91,7;74;8;66;:;66;100;10,8;89,2;       :;89,2;71;4;67;:;67;100;5,6;94,4;       :;94,4
0419 Sør-Odal;419;Sør-Odal;213;38;175;:;175;100;17,8;82,2;       :;82,2;112;14;98;:;98;100;12,5;87,5;       :;87,5;101;24;77;:;77;100;23,8;76,2;       :;76,2
0420 Eidskog;420;Eidskog;252;23;229;:;229;100;9,1;90,9;       :;90,9;120;12;108;:;108;100;10;90;       :;90;132;11;121;:;121;100;8,3;91,7;       :;91,7
0423 Grue;423;Grue;188;34;154;       :;153;100;18,1;81,9;       :;81,4;98;19;79;:;79;100;19,4;80,6;       :;80,6;90;15;75;       :;74;100;16,7;83,3;       :;82,2
0425 Åsnes;425;Åsnes;293;24;269;:;269;100;8,2;91,8;       :;91,8;158;10;148;:;148;100;6,3;93,7;       :;93,7;135;14;121;:;121;100;10,4;89,6;       :;89,6
0426 Våler (Hedm.);426;Våler (Hedm.);131;10;121;:;121;100;7,6;92,4;       :;92,4;76;5;71;:;71;100;6,6;93,4;       :;93,4;55;5;50;:;50;100;9,1;90,9;       :;90,9
0427 Elverum;427;Elverum;511;195;316;       :;315;100;38,2;61,8;       :;61,6;270;112;158;       :;157;100;41,5;58,5;       :;58,1;241;83;158;:;158;100;34,4;65,6;       :;65,6
0428 Trysil;428;Trysil;199;63;136;:;136;100;31,7;68,3;       :;68,3;129;39;90;:;90;100;30,2;69,8;       :;69,8;70;24;46;:;46;100;34,3;65,7;       :;65,7
0429 Åmot;429;Åmot;143;20;123;:;123;100;14;86;       :;86;73;11;62;:;62;100;15,1;84,9;       :;84,9;70;9;61;:;61;100;12,9;87,1;       :;87,1
0430 Stor-Elvdal;430;Stor-Elvdal;65;5;60;:;60;100;7,7;92,3;       :;92,3;40;       :;39;:;39;100;       :;97,5;       :;97,5;25;4;21;:;21;100;16;84;       :;84
0432 Rendalen;432;Rendalen;31;5;26;:;26;100;16,1;83,9;       :;83,9;19;       :;16;:;16;100;       :;84,2;       :;84,2;12;       :;10;:;10;100;       :;83,3;       :;83,3
0434 Engerdal;434;Engerdal;21;6;15;:;15;100;28,6;71,4;       :;71,4;12;       :;9;:;9;100;       :;75;       :;75;9;       :;6;:;6;100;       :;66,7;       :;66,7
0436 Tolga;436;Tolga;60;29;31;:;31;100;48,3;51,7;       :;51,7;34;15;19;:;19;100;44,1;55,9;       :;55,9;26;14;12;:;12;100;53,8;46,2;       :;46,2
0437 Tynset;437;Tynset;102;38;64;:;64;100;37,3;62,7;       :;62,7;60;24;36;:;36;100;40;60;       :;60;42;14;28;:;28;100;33,3;66,7;       :;66,7
0438 Alvdal;438;Alvdal;54;18;36;:;36;100;33,3;66,7;       :;66,7;24;6;18;:;18;100;25;75;       :;75;30;12;18;:;18;100;40;60;       :;60
0439 Folldal;439;Folldal;29;5;24;:;24;100;17,2;82,8;       :;82,8;16;       :;15;:;15;100;       :;93,8;       :;93,8;13;4;9;:;9;100;30,8;69,2;       :;69,2
