Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;634463;151722;482741;45893;436848;100;23,9;76,1;7,2;68,9;316144;79312;236832;23438;213394;49,8;12,5;37,3;3,7;33,6;318319;72410;245909;22455;223454;50,2;11,4;38,8;3,5;35,2
030101 Gamle Oslo;30101;Gamle Oslo;48417;14245;34172;4286;29886;100;29,4;70,6;8,9;61,7;25167;7793;17374;2198;15176;52;16,1;35,9;4,5;31,3;23250;6452;16798;2088;14710;48;13,3;34,7;4,3;30,4
030102 GrÅnerlõkka;30102;GrÅnerlõkka;52198;14715;37483;2963;34520;100;28,2;71,8;5,7;66,1;27035;8260;18775;1567;17208;51,8;15,8;36;3;33;25163;6455;18708;1396;17312;48,2;12,4;35,8;2,7;33,2
030103 Sagene;30103;Sagene;38637;7893;30744;1793;28951;100;20,4;79,6;4,6;74,9;19020;4199;14821;920;13901;49,2;10,9;38,4;2,4;36;19617;3694;15923;873;15050;50,8;9,6;41,2;2,3;39
030104 St. Hanshaugen;30104;St. Hanshaugen;35630;8385;27245;998;26247;100;23,5;76,5;2,8;73,7;18041;4672;13369;509;12860;50,6;13,1;37,5;1,4;36,1;17589;3713;13876;489;13387;49,4;10,4;38,9;1,4;37,6
030105 Frogner;30105;Frogner;54604;13196;41408;1220;40188;100;24,2;75,8;2,2;73,6;27157;6724;20433;635;19798;49,7;12,3;37,4;1,2;36,3;27447;6472;20975;585;20390;50,3;11,9;38,4;1,1;37,3
030106 Ullern;30106;Ullern;31656;4769;26887;637;26250;100;15,1;84,9;2;82,9;15218;2230;12988;332;12656;48,1;7;41;1;40;16438;2539;13899;305;13594;51,9;8;43,9;1;42,9
030107 Vestre Aker;30107;Veste Aker;46444;6736;39708;927;38781;100;14,5;85,5;2;83,5;22323;3013;19310;468;18842;48,1;6,5;41,6;1;40,6;24121;3723;20398;459;19939;51,9;8;43,9;1;42,9
030108 Nordre Aker;30108;Nordre Aker;48720;7153;41567;971;40596;100;14,7;85,3;2;83,3;24219;3595;20624;495;20129;49,7;7,4;42,3;1;41,3;24501;3558;20943;476;20467;50,3;7,3;43;1;42
030109 Bjerke;30109;Bjerke;30327;9286;21041;3474;17567;100;30,6;69,4;11,5;57,9;15255;5045;10210;1725;8485;50,3;16,6;33,7;5,7;28;15072;4241;10831;1749;9082;49,7;14;35,7;5,8;29,9
030110 Grorud;30110;Grorud;27101;8644;18457;3862;14595;100;31,9;68,1;14,3;53,9;13303;4394;8909;1908;7001;49,1;16,2;32,9;7;25,8;13798;4250;9548;1954;7594;50,9;15,7;35,2;7,2;28
030111 Stovner;30111;Stovner;31340;10508;20832;5618;15214;100;33,5;66,5;17,9;48,5;15796;5492;10304;2911;7393;50,4;17,5;32,9;9,3;23,6;15544;5016;10528;2707;7821;49,6;16;33,6;8,6;25
030112 Alna;30112;Alna;48307;16192;32115;8011;24104;100;33,5;66,5;16,6;49,9;23946;8288;15658;4051;11607;49,6;17,2;32,4;8,4;24;24361;7904;16457;3960;12497;50,4;16,4;34,1;8,2;25,9
030113 ùstensjõ;30113;ùstensjõ;48714;8345;40369;2986;37383;100;17,1;82,9;6,1;76,7;23259;4082;19177;1536;17641;47,7;8,4;39,4;3,2;36,2;25455;4263;21192;1450;19742;52,3;8,8;43,5;3;40,5
030114 Nordstrand;30114;Nordstrand;48931;6505;42426;1305;41121;100;13,3;86,7;2,7;84;23565;3235;20330;637;19693;48,2;6,6;41,5;1,3;40,2;25366;3270;22096;668;21428;51,8;6,7;45,2;1,4;43,8
030115 Sõndre Nordstrand;30115;Sõndre Nordstrand;37054;12338;24716;6629;18087;100;33,3;66,7;17,9;48,8;18607;6196;12411;3427;8984;50,2;16,7;33,5;9,2;24,2;18447;6142;12305;3202;9103;49,8;16,6;33,2;8,6;24,6
030116 Sentrum;30116;Sentrum;958;484;474;32;442;100;50,5;49,5;3,3;46,1;593;308;285;18;267;61,9;32,2;29,7;1,9;27,9;365;176;189;14;175;38,1;18,4;19,7;1,5;18,3
030117 Marka;30117;Marka;1608;153;1455;6;1449;100;9,5;90,5;0,4;90,1;826;81;745;6;741;51,4;5;46,3;0,4;46,1;782;72;710;0;708;48,6;4,5;44,2;0;44
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;3817;2175;1642;175;1467;100;57;43;4,6;38,4;2814;1705;1109;97;1012;73,7;44,7;29,1;2,5;26,5;1003;470;533;78;455;26,3;12,3;14;2;11,9
