Fylke nr & navn;fylke_nr;Fylkenavn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;5109056;633110;4475946;126075;4349871;100;12,4;87,6;2,5;85,1;2567434;331712;2235722;64708;2171014;50,3;6,5;43,8;1,3;42,5;2541622;301398;2240224;61367;2178857;49,7;5,9;43,8;1,2;42,6
01 ùstfold;1;ùstfold;284962;33686;251276;7886;243390;100;11,8;88,2;2,8;85,4;142161;17523;124638;4137;120501;49,9;6,1;43,7;1,5;42,3;142801;16163;126638;3749;122889;50,1;5,7;44,4;1,3;43,1
02 Akershus;2;Akershus;575757;80336;495421;17639;477782;100;14;86;3,1;83;287582;41548;246034;9022;237012;49,9;7,2;42,7;1,6;41,2;288175;38788;249387;8617;240770;50,1;6,7;43,3;1,5;41,8
03 Oslo;3;Oslo;634463;151722;482741;45893;436848;100;23,9;76,1;7,2;68,9;316144;79312;236832;23438;213394;49,8;12,5;37,3;3,7;33,6;318319;72410;245909;22455;223454;50,2;11,4;38,8;3,5;35,2
04 Hedmark;4;Hedmark;194433;14783;179650;2090;177560;100;7,6;92,4;1,1;91,3;96805;7490;89315;1056;88259;49,8;3,9;45,9;0,5;45,4;97628;7293;90335;1034;89301;50,2;3,8;46,5;0,5;45,9
05 Oppland;5;Oppland;187820;14450;173370;2016;171354;100;7,7;92,3;1,1;91,2;93917;7532;86385;1008;85377;50;4;46;0,5;45,5;93903;6918;86985;1008;85977;50;3,7;46,3;0,5;45,8
06 Buskerud;6;Buskerud;272228;37429;234799;8328;226471;100;13,7;86,3;3,1;83,2;136602;19508;117094;4259;112835;50,2;7,2;43;1,6;41,4;135626;17921;117705;4069;113636;49,8;6,6;43,2;1,5;41,7
07 Vestfold;7;Vestfold;240860;24935;215925;4569;211356;100;10,4;89,6;1,9;87,8;119669;12660;107009;2371;104638;49,7;5,3;44,4;1;43,4;121191;12275;108916;2198;106718;50,3;5,1;45,2;0,9;44,3
08 Telemark;8;Telemark;171469;16216;155253;2944;152309;100;9,5;90,5;1,7;88,8;85346;8124;77222;1521;75701;49,8;4,7;45;0,9;44,1;86123;8092;78031;1423;76608;50,2;4,7;45,5;0,8;44,7
09 Aust-Agder;9;Aust-Agder;113747;11108;102639;1648;100991;100;9,8;90,2;1,4;88,8;57102;5658;51444;857;50587;50,2;5;45,2;0,8;44,5;56645;5450;51195;791;50404;49,8;4,8;45;0,7;44,3
10 Vest-Agder;10;Vest-Agder;178478;19544;158934;3650;155284;100;11;89;2;87;89494;10007;79487;1929;77558;50,1;5,6;44,5;1,1;43,5;88984;9537;79447;1721;77726;49,9;5,3;44,5;1;43,5
11 Rogaland;11;Rogaland;459625;62682;396943;9902;387041;100;13,6;86,4;2,2;84,2;233655;34189;199466;5065;194401;50,8;7,4;43,4;1,1;42,3;225970;28493;197477;4837;192640;49,2;6,2;43;1,1;41,9
12 Hordaland;12;Hordaland;505246;55185;450061;7906;442155;100;10,9;89,1;1,6;87,5;255321;29834;225487;4037;221450;50,5;5,9;44,6;0,8;43,8;249925;25351;224574;3869;220705;49,5;5;44,4;0,8;43,7
14 Sogn og Fjordane;14;Sogn og Fjordane;108965;9449;99516;932;98584;100;8,7;91,3;0,9;90,5;55422;5039;50383;479;49904;50,9;4,6;46,2;0,4;45,8;53543;4410;49133;453;48680;49,1;4;45,1;0,4;44,7
15 Mõre og Romsdal;15;Mõte og Romsdal;261530;24848;236682;2491;234191;100;9,5;90,5;1;89,5;132892;13360;119532;1266;118266;50,8;5,1;45,7;0,5;45,2;128638;11488;117150;1225;115925;49,2;4,4;44,8;0,5;44,3
16 Sõr-Trõndelag;16;Sõr-Trõndelag;306197;28498;277699;3998;273701;100;9,3;90,7;1,3;89,4;155048;15306;139742;2090;137652;50,6;5;45,6;0,7;45;151149;13192;137957;1908;136049;49,4;4,3;45,1;0,6;44,4
17 Nord-Trõndelag;17;Nord-Trõndelag;135142;8411;126731;812;125919;100;6,2;93,8;0,6;93,2;67982;4342;63640;419;63221;50,3;3,2;47,1;0,3;46,8;67160;4069;63091;393;62698;49,7;3;46,7;0,3;46,4
18 Nordland;18;Nordland;240877;17688;223189;1519;221670;100;7,3;92,7;0,6;92;121535;9094;112441;811;111630;50,5;3,8;46,7;0,3;46,3;119342;8594;110748;708;110040;49,5;3,6;46;0,3;45,7
19 Troms Romsa;19;Troms Romsa;162050;13734;148316;1215;147101;100;8,5;91,5;0,7;90,8;82095;6993;75102;630;74472;50,7;4,3;46,3;0,4;46;79955;6741;73214;585;72629;49,3;4,2;45,2;0,4;44,8
20 Finnmark Finnm†rku;20;Finnmark Finnm†rku;75207;8406;66801;637;66164;100;11,2;88,8;0,8;88;38662;4193;34469;313;34156;51,4;5,6;45,8;0,4;45,4;36545;4213;32332;324;32008;48,6;5,6;43;0,4;42,6
99 Uoppgitt fylke;99;Uoppgitt fylke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
