Kommune nr & navn;kommune_nr;Kommunenavn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;30132;2986;27146;786;26360;100;9,9;90,1;2,6;87,5;15034;1484;13550;420;13130;49,9;4,9;45;1,4;43,6;15098;1502;13596;366;13230;50,1;5;45,1;1,2;43,9
0104 Moss;104;Moss;31308;4567;26741;1230;25511;100;14,6;85,4;3,9;81,5;15511;2353;13158;658;12500;49,5;7,5;42;2,1;39,9;15797;2214;13583;572;13011;50,5;7,1;43,4;1,8;41,6
0105 Sarpsborg;105;Sarpsborg;54059;6919;47140;1747;45393;100;12,8;87,2;3,2;84;26913;3604;23309;902;22407;49,8;6,7;43,1;1,7;41,4;27146;3315;23831;845;22986;50,2;6,1;44,1;1,6;42,5
0106 Fredrikstad;106;Fredrikstad;77591;9402;68189;2175;66014;100;12,1;87,9;2,8;85,1;38490;4914;33576;1152;32424;49,6;6,3;43,3;1,5;41,8;39101;4488;34613;1023;33590;50,4;5,8;44,6;1,3;43,3
0111 Hvaler;111;Hvaler;4386;233;4153;15;4138;100;5,3;94,7;0,3;94,3;2217;110;2107;7;2100;50,5;2,5;48;0,2;47,9;2169;123;2046;8;2038;49,5;2,8;46,6;0,2;46,5
0118 Aremark;118;Aremark;1408;41;1367;8;1359;100;2,9;97,1;0,6;96,5;717;17;700;5;695;50,9;1,2;49,7;0,4;49,4;691;24;667;3;664;49,1;1,7;47,4;0,2;47,2
0119 Marker;119;Marker;3596;269;3327;22;3305;100;7,5;92,5;0,6;91,9;1815;121;1694;12;1682;50,5;3,4;47,1;0,3;46,8;1781;148;1633;10;1623;49,5;4,1;45,4;0,3;45,1
0121 Rõmskog;121;Rõmskog;672;46;626;6;620;100;6,8;93,2;0,9;92,3;353;23;330;3;327;52,5;3,4;49,1;0,4;48,7;319;23;296;3;293;47,5;3,4;44;0,4;43,6
0122 Trõgstad;122;Trõgstad;5366;471;4895;52;4843;100;8,8;91,2;1;90,3;2748;261;2487;26;2461;51,2;4,9;46,3;0,5;45,9;2618;210;2408;26;2382;48,8;3,9;44,9;0,5;44,4
0123 Spydeberg;123;Spydeberg;5620;546;5074;72;5002;100;9,7;90,3;1,3;89;2829;283;2546;33;2513;50,3;5;45,3;0,6;44,7;2791;263;2528;39;2489;49,7;4,7;45;0,7;44,3
0124 Askim;124;Askim;15430;2292;13138;675;12463;100;14,9;85,1;4,4;80,8;7647;1182;6465;363;6102;49,6;7,7;41,9;2,4;39,5;7783;1110;6673;312;6361;50,4;7,2;43,2;2;41,2
0125 Eidsberg;125;Eidsberg;11323;1469;9854;266;9588;100;13;87;2,3;84,7;5651;768;4883;135;4748;49,9;6,8;43,1;1,2;41,9;5672;701;4971;131;4840;50,1;6,2;43,9;1,2;42,7
0127 Skiptvet;127;Skiptvet;3727;335;3392;32;3360;100;9;91;0,9;90,2;1874;185;1689;16;1673;50,3;5;45,3;0,4;44,9;1853;150;1703;16;1687;49,7;4;45,7;0,4;45,3
0128 Rakkestad;128;Rakkestad;7974;858;7116;188;6928;100;10,8;89,2;2,4;86,9;4009;475;3534;86;3448;50,3;6;44,3;1,1;43,2;3965;383;3582;102;3480;49,7;4,8;44,9;1,3;43,6
0135 RÜde;135;RÜde;7104;617;6487;63;6424;100;8,7;91,3;0,9;90,4;3631;368;3263;39;3224;51,1;5,2;45,9;0,5;45,4;3473;249;3224;24;3200;48,9;3,5;45,4;0,3;45
0136 Rygge;136;Rygge;15101;1453;13648;369;13279;100;9,6;90,4;2,4;87,9;7543;745;6798;195;6603;50;4,9;45;1,3;43,7;7558;708;6850;174;6676;50;4,7;45,4;1,2;44,2
0137 VÜler (ùstfold);137;VÜler (ùstf.);4978;502;4476;84;4392;100;10,1;89,9;1,7;88,2;2542;275;2267;41;2226;51,1;5,5;45,5;0,8;44,7;2436;227;2209;43;2166;48,9;4,6;44,4;0,9;43,5
0138 Hobõl;138;Hobõl;5187;680;4507;96;4411;100;13,1;86,9;1,9;85;2637;355;2282;44;2238;50,8;6,8;44;0,8;43,1;2550;325;2225;52;2173;49,2;6,3;42,9;1;41,9
0211 Vestby;211;Vestby;15944;1902;14042;345;13697;100;11,9;88,1;2,2;85,9;7980;997;6983;168;6815;50,1;6,3;43,8;1,1;42,7;7964;905;7059;177;6882;49,9;5,7;44,3;1,1;43,2
0213 Ski;213;Ski;29542;3672;25870;888;24982;100;12,4;87,6;3;84,6;14741;1894;12847;450;12397;49,9;6,4;43,5;1,5;42;14801;1778;13023;438;12585;50,1;6;44,1;1,5;42,6
0214 ès;214;ès;17969;2957;15012;520;14492;100;16,5;83,5;2,9;80,7;9178;1628;7550;274;7276;51,1;9,1;42;1,5;40,5;8791;1329;7462;246;7216;48,9;7,4;41,5;1,4;40,2
0215 Frogn;215;Frogn;15671;1450;14221;215;14006;100;9,3;90,7;1,4;89,4;7686;697;6989;102;6887;49;4,4;44,6;0,7;43,9;7985;753;7232;113;7119;51;4,8;46,1;0,7;45,4
0216 Nesodden;216;Nesodden;18297;2088;16209;260;15949;100;11,4;88,6;1,4;87,2;8940;1027;7913;141;7772;48,9;5,6;43,2;0,8;42,5;9357;1061;8296;119;8177;51,1;5,8;45,3;0,7;44,7
0217 OppegÜrd;217;OppegÜrd;26255;2937;23318;611;22707;100;11,2;88,8;2,3;86,5;12944;1456;11488;345;11143;49,3;5,5;43,8;1,3;42,4;13311;1481;11830;266;11564;50,7;5,6;45,1;1;44
0219 Bërum;219;Bërum;118588;18768;99820;3402;96418;100;15,8;84,2;2,9;81,3;58467;9361;49106;1730;47376;49,3;7,9;41,4;1,5;40;60121;9407;50714;1672;49042;50,7;7,9;42,8;1,4;41,4
0220 Asker;220;Asker;58338;8845;49493;1590;47903;100;15,2;84,8;2,7;82,1;28906;4532;24374;786;23588;49,5;7,8;41,8;1,3;40,4;29432;4313;25119;804;24315;50,5;7,4;43,1;1,4;41,7
0221 Aurskog Hõland;221;Aurskog-Hõland;15500;1419;14081;187;13894;100;9,2;90,8;1,2;89,6;7844;791;7053;84;6969;50,6;5,1;45,5;0,5;45;7656;628;7028;103;6925;49,4;4,1;45,3;0,7;44,7
0226 Sõrum;226;Sõrum;16918;2169;14749;428;14321;100;12,8;87,2;2,5;84,6;8570;1199;7371;221;7150;50,7;7,1;43,6;1,3;42,3;8348;970;7378;207;7171;49,3;5,7;43,6;1,2;42,4
0227 Fet;227;Fet;11048;1274;9774;241;9533;100;11,5;88,5;2,2;86,3;5657;703;4954;130;4824;51,2;6,4;44,8;1,2;43,7;5391;571;4820;111;4709;48,8;5,2;43,6;1;42,6
0228 Rëlingen;228;Rëlingen;16806;2650;14156;828;13328;100;15,8;84,2;4,9;79,3;8448;1347;7101;431;6670;50,3;8;42,3;2,6;39,7;8358;1303;7055;397;6658;49,7;7,8;42;2,4;39,6
0229 Enebakk;229;Enebakk;10626;1145;9481;224;9257;100;10,8;89,2;2,1;87,1;5387;603;4784;113;4671;50,7;5,7;45;1,1;44;5239;542;4697;111;4586;49,3;5,1;44,2;1;43,2
0230 Lõrenskog;230;Lõrenskog;34697;6107;28590;2138;26452;100;17,6;82,4;6,2;76,2;17442;3244;14198;1079;13119;50,3;9,3;40,9;3,1;37,8;17255;2863;14392;1059;13333;49,7;8,3;41,5;3,1;38,4
0231 Skedsmo;231;Skedsmo;51188;8895;42293;2803;39490;100;17,4;82,6;5,5;77,1;25558;4653;20905;1417;19488;49,9;9,1;40,8;2,8;38,1;25630;4242;21388;1386;20002;50,1;8,3;41,8;2,7;39,1
0233 Nittedal;233;Nittedal;22385;2483;19902;672;19230;100;11,1;88,9;3;85,9;11248;1336;9912;346;9566;50,2;6;44,3;1,5;42,7;11137;1147;9990;326;9664;49,8;5,1;44,6;1,5;43,2
0234 Gjerdrum;234;Gjerdrum;6292;717;5575;90;5485;100;11,4;88,6;1,4;87,2;3258;445;2813;44;2769;51,8;7,1;44,7;0,7;44;3034;272;2762;46;2716;48,2;4,3;43,9;0,7;43,2
0235 Ullensaker;235;Ullensaker;32438;5003;27435;1228;26207;100;15,4;84,6;3,8;80,8;16353;2620;13733;660;13073;50,4;8,1;42,3;2;40,3;16085;2383;13702;568;13134;49,6;7,3;42,2;1,8;40,5
0236 Nes (Akershus);236;Nes (Ak.);20164;1843;18321;249;18072;100;9,1;90,9;1,2;89,6;10175;938;9237;125;9112;50,5;4,7;45,8;0,6;45,2;9989;905;9084;124;8960;49,5;4,5;45,1;0,6;44,4
0237 Eidsvoll;237;Eidsvoll;22689;2262;20427;453;19974;100;10;90;2;88;11433;1131;10302;240;10062;50,4;5;45,4;1,1;44,3;11256;1131;10125;213;9912;49,6;5;44,6;0,9;43,7
0238 Nannestad;238;Nannestad;11707;1546;10161;253;9908;100;13,2;86,8;2,2;84,6;5992;842;5150;131;5019;51,2;7,2;44;1,1;42,9;5715;704;5011;122;4889;48,8;6;42,8;1;41,8
0239 Hurdal;239;Hurdal;2695;204;2491;14;2477;100;7,6;92,4;0,5;91,9;1375;104;1271;5;1266;51;3,9;47,2;0,2;47;1320;100;1220;9;1211;49;3,7;45,3;0,3;44,9
0301 Oslo;301;Oslo kommune;634463;151722;482741;45893;436848;100;23,9;76,1;7,2;68,9;316144;79312;236832;23438;213394;49,8;12,5;37,3;3,7;33,6;318319;72410;245909;22455;223454;50,2;11,4;38,8;3,5;35,2
0402 Kongsvinger;402;Kongsvinger;17825;1726;16099;360;15739;100;9,7;90,3;2;88,3;8720;874;7846;184;7662;48,9;4,9;44;1;43;9105;852;8253;176;8077;51,1;4,8;46,3;1;45,3
0403 Hamar;403;Hamar;29520;2795;26725;479;26246;100;9,5;90,5;1,6;88,9;14459;1433;13026;252;12774;49;4,9;44,1;0,9;43,3;15061;1362;13699;227;13472;51;4,6;46,4;0,8;45,6
0412 Ringsaker;412;Ringsaker;33463;2334;31129;328;30801;100;7;93;1;92;16823;1232;15591;173;15418;50,3;3,7;46,6;0,5;46,1;16640;1102;15538;155;15383;49,7;3,3;46,4;0,5;46
0415 Lõten;415;Lõten;7546;500;7046;68;6978;100;6,6;93,4;0,9;92,5;3778;246;3532;35;3497;50,1;3,3;46,8;0,5;46,3;3768;254;3514;33;3481;49,9;3,4;46,6;0,4;46,1
0417 Stange;417;Stange;19737;1477;18260;207;18053;100;7,5;92,5;1;91,5;9796;754;9042;103;8939;49,6;3,8;45,8;0,5;45,3;9941;723;9218;104;9114;50,4;3,7;46,7;0,5;46,2
0418 Nord-Odal;418;Nord-Odal;5118;190;4928;12;4916;100;3,7;96,3;0,2;96,1;2590;95;2495;6;2489;50,6;1,9;48,7;0,1;48,6;2528;95;2433;6;2427;49,4;1,9;47,5;0,1;47,4
0419 Sõr-Odal;419;Sõr-Odal;7847;417;7430;42;7388;100;5,3;94,7;0,5;94,2;3922;194;3728;18;3710;50;2,5;47,5;0,2;47,3;3925;223;3702;24;3678;50;2,8;47,2;0,3;46,9
0420 Eidskog;420;Eidskog;6253;386;5867;34;5833;100;6,2;93,8;0,5;93,3;3104;163;2941;15;2926;49,6;2,6;47;0,2;46,8;3149;223;2926;19;2907;50,4;3,6;46,8;0,3;46,5
0423 Grue;423;Grue;4948;309;4639;36;4603;100;6,2;93,8;0,7;93;2447;156;2291;12;2279;49,5;3,2;46,3;0,2;46,1;2501;153;2348;24;2324;50,5;3,1;47,5;0,5;47
0425 èsnes;425;èsnes;7544;450;7094;29;7065;100;6;94;0,4;93,7;3789;226;3563;16;3547;50,2;3;47,2;0,2;47;3755;224;3531;13;3518;49,8;3;46,8;0,2;46,6
0426 VÜler (Hedm.);426;VÜler (Hedm.);3783;208;3575;17;3558;100;5,5;94,5;0,4;94,1;1917;101;1816;10;1806;50,7;2,7;48;0,3;47,7;1866;107;1759;7;1752;49,3;2,8;46,5;0,2;46,3
0427 Elverum;427;Elverum;20563;1602;18961;253;18708;100;7,8;92,2;1,2;91;10055;773;9282;124;9158;48,9;3,8;45,1;0,6;44,5;10508;829;9679;129;9550;51,1;4;47,1;0,6;46,4
