Bydel nr & navn;bydel_nr;"Bydel
navn";landbakgrunn.001;landbakgrunn.101;landbakgrunn.102;landbakgrunn.103;landbakgrunn.104;landbakgrunn.105;landbakgrunn.106;landbakgrunn.111;landbakgrunn.112;landbakgrunn.113;landbakgrunn.114;landbakgrunn.115;landbakgrunn.117;landbakgrunn.118;landbakgrunn.119;landbakgrunn.120;landbakgrunn.121;landbakgrunn.122;landbakgrunn.123;landbakgrunn.124;landbakgrunn.126;landbakgrunn.127;landbakgrunn.128;landbakgrunn.129;landbakgrunn.130;landbakgrunn.131;landbakgrunn.132;landbakgrunn.133;landbakgrunn.134;landbakgrunn.136;landbakgrunn.137;landbakgrunn.138;landbakgrunn.139;landbakgrunn.140;landbakgrunn.141;landbakgrunn.143;landbakgrunn.144;landbakgrunn.146;landbakgrunn.148;landbakgrunn.152;landbakgrunn.153;landbakgrunn.154;landbakgrunn.155;landbakgrunn.156;landbakgrunn.157;landbakgrunn.158;landbakgrunn.159;landbakgrunn.160;landbakgrunn.161;landbakgrunn.162;landbakgrunn.163;landbakgrunn.164;landbakgrunn.203;landbakgrunn.204;landbakgrunn.205;landbakgrunn.209;landbakgrunn.213;landbakgrunn.216;landbakgrunn.220;landbakgrunn.229;landbakgrunn.235;landbakgrunn.239;landbakgrunn.241;landbakgrunn.246;landbakgrunn.249;landbakgrunn.250;landbakgrunn.254;landbakgrunn.256;landbakgrunn.260;landbakgrunn.264;landbakgrunn.266;landbakgrunn.270;landbakgrunn.273;landbakgrunn.276;landbakgrunn.278;landbakgrunn.279;landbakgrunn.281;landbakgrunn.283;landbakgrunn.286;landbakgrunn.289;landbakgrunn.296;landbakgrunn.299;landbakgrunn.303;landbakgrunn.304;landbakgrunn.306;landbakgrunn.307;landbakgrunn.308;landbakgrunn.309;landbakgrunn.313;landbakgrunn.319;landbakgrunn.322;landbakgrunn.323;landbakgrunn.326;landbakgrunn.329;landbakgrunn.333;landbakgrunn.336;landbakgrunn.337;landbakgrunn.338;landbakgrunn.339;landbakgrunn.346;landbakgrunn.355;landbakgrunn.356;landbakgrunn.357;landbakgrunn.359;landbakgrunn.369;landbakgrunn.373;landbakgrunn.376;landbakgrunn.379;landbakgrunn.386;landbakgrunn.389;landbakgrunn.393;landbakgrunn.404;landbakgrunn.406;landbakgrunn.407;landbakgrunn.409;landbakgrunn.410;landbakgrunn.412;landbakgrunn.416;landbakgrunn.420;landbakgrunn.424;landbakgrunn.426;landbakgrunn.428;landbakgrunn.430;landbakgrunn.432;landbakgrunn.436;landbakgrunn.444;landbakgrunn.448;landbakgrunn.452;landbakgrunn.456;landbakgrunn.460;landbakgrunn.464;landbakgrunn.476;landbakgrunn.478;landbakgrunn.480;landbakgrunn.484;landbakgrunn.488;landbakgrunn.492;landbakgrunn.496;landbakgrunn.500;landbakgrunn.502;landbakgrunn.504;landbakgrunn.508;landbakgrunn.510;landbakgrunn.512;landbakgrunn.513;landbakgrunn.516;landbakgrunn.520;landbakgrunn.524;landbakgrunn.528;landbakgrunn.534;landbakgrunn.537;landbakgrunn.540;landbakgrunn.544;landbakgrunn.548;landbakgrunn.550;landbakgrunn.552;landbakgrunn.554;landbakgrunn.564;landbakgrunn.568;landbakgrunn.575;landbakgrunn.578;landbakgrunn.601;landbakgrunn.602;landbakgrunn.603;landbakgrunn.604;landbakgrunn.605;landbakgrunn.606;landbakgrunn.608;landbakgrunn.612;landbakgrunn.613;landbakgrunn.616;landbakgrunn.620;landbakgrunn.622;landbakgrunn.624;landbakgrunn.629;landbakgrunn.631;landbakgrunn.632;landbakgrunn.636;landbakgrunn.644;landbakgrunn.648;landbakgrunn.650;landbakgrunn.652;landbakgrunn.654;landbakgrunn.657;landbakgrunn.658;landbakgrunn.659;landbakgrunn.660;landbakgrunn.661;landbakgrunn.664;landbakgrunn.668;landbakgrunn.672;landbakgrunn.676;landbakgrunn.677;landbakgrunn.678;landbakgrunn.679;landbakgrunn.680;landbakgrunn.681;landbakgrunn.684;landbakgrunn.685;landbakgrunn.686;landbakgrunn.687;landbakgrunn.705;landbakgrunn.710;landbakgrunn.715;landbakgrunn.720;landbakgrunn.725;landbakgrunn.730;landbakgrunn.735;landbakgrunn.740;landbakgrunn.745;landbakgrunn.755;landbakgrunn.760;landbakgrunn.765;landbakgrunn.770;landbakgrunn.775;landbakgrunn.802;landbakgrunn.805;landbakgrunn.806;landbakgrunn.807;landbakgrunn.808;landbakgrunn.809;landbakgrunn.811;landbakgrunn.812;landbakgrunn.813;landbakgrunn.814;landbakgrunn.815;landbakgrunn.816;landbakgrunn.817;landbakgrunn.818;landbakgrunn.819;landbakgrunn.820;landbakgrunn.821;landbakgrunn.822;landbakgrunn.826;landbakgrunn.827;landbakgrunn.828;landbakgrunn.829;landbakgrunn.830;landbakgrunn.832;landbakgrunn.833;landbakgrunn.835;landbakgrunn.839;landbakgrunn.840;landbakgrunn.980;landbakgrunn.990;landbakgrunn.970
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0301 Oslo;301;Oslo;151722;3294;16;1161;52;935;13162;288;221;1138;6;624;1841;0;608;148;203;710;1084;885;11;696;:;6;4;13595;694;1858;:;2472;1443;165;2591;2834;289;3871;3246;89;688;632;284;0;2541;1302;503;457;1154;94;1809;0;0;0;468;91;10;0;0;119;4;:;:;68;1679;2091;288;24;:;662;703;52;22;182;230;418;45;311;:;111;81;41;22;16;3575;19;30;66;6;25;523;56;0;:;68;98;:;118;5;:;163;8757;39;297;0;215;188;:;40;330;329;64;11;2686;75;114;4;338;8;:;243;4397;50;4838;124;99;246;3322;212;5353;4881;188;306;84;40;142;2335;4;293;74;35;33;38;643;11;171;:;31;6;368;473;12155;:;4;92;86;21;20;111;497;1850;3863;59;0;5;0;:;:;:;0;334;0;41;294;12;337;11;:;44;11;40;38;4;283;0;:;0;0;0;4;44;14;27;0;0;:;:;57;0;1837;:;0;0;237;80;872;22;1679;503;152;:;:;23;424;5;54;151;0;429;:;0;0;0;11;0;:;0;:;:;0;0;0;100;0;0;0;:;0;0;0;0;0;:;0;0;0;0;56
030101 Gamle Oslo;30101;Gamle Oslo;14245;254;:;108;:;88;1397;31;12;156;0;53;120;0;46;8;19;62;97;67;:;45;0;:;0;941;64;196;0;215;130;10;192;212;16;255;226;:;50;51;19;0;260;176;31;34;60;4;141;0;0;0;70;5;0;0;0;15;0;0;0;10;109;168;32;:;0;73;48;0;:;5;9;51;:;16;0;12;10;:;:;:;353;0;6;:;0;:;37;12;0;:;14;7;0;7;0;0;12;1737;5;51;0;14;27;0;4;52;28;:;0;222;9;11;0;35;:;0;15;235;4;195;8;11;29;199;29;717;371;8;7;16;8;5;218;0;22;4;:;6;4;101;0;18;0;5;:;54;86;1010;0;0;13;7;4;0;13;68;247;523;9;0;0;0;0;0;0;0;37;0;:;58;0;34;0;0;4;0;:;:;0;18;0;:;0;0;0;0;4;:;:;0;0;0;0;4;0;139;:;0;0;28;11;92;4;194;48;20;0;0;:;39;0;:;22;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
030102 Grnerl›kka;30102;Grnerl›kka;14715;244;0;99;6;79;2052;38;21;205;:;64;171;0;89;13;16;68;136;98;:;66;0;:;0;1577;85;176;0;244;182;13;206;256;26;216;278;17;86;51;20;0;333;90;47;32;125;7;140;0;0;0;58;5;:;0;0;8;0;0;0;5;126;143;24;4;0;74;43;5;:;21;15;30;:;23;:;18;9;5;0;0;326;4;6;:;:;8;60;6;0;0;13;:;0;15;0;0;10;1044;:;30;0;23;18;0;7;44;35;:;:;174;9;19;0;24;:;0;11;109;:;267;25;12;20;308;16;518;404;19;30;8;4;10;287;0;23;11;4;:;5;70;0;14;0;:;0;49;89;525;0;:;14;7;:;:;10;46;194;435;12;0;0;0;0;0;:;0;44;0;11;39;0;30;:;0;7;0;:;:;0;40;0;0;0;0;0;0;6;:;5;0;0;0;0;5;0;160;0;0;0;32;10;108;4;201;85;10;0;0;:;37;0;6;13;0;79;0;0;0;0;:;0;0;0;0;0;0;0;0;16;0;0;0;:;0;0;0;0;0;0;0;0;0;0;48
030103 Sagene;30103;Sagene;7893;150;:;78;:;58;992;20;13;55;0;39;106;0;38;6;12;54;61;43;0;46;0;0;0;649;47;106;0;112;84;13;149;167;17;88;188;10;38;26;20;0;185;28;19;14;86;:;62;0;0;0;45;4;:;0;0;5;0;0;0;5;97;82;8;:;:;57;26;:;:;4;5;18;:;11;0;6;4;:;0;4;258;0;:;:;:;4;27;:;0;0;:;:;0;9;:;:;10;948;:;11;0;11;17;:;:;25;27;:;:;58;:;:;0;7;0;0;10;61;0;128;5;:;16;117;10;217;213;13;14;12;7;11;162;:;14;4;:;:;:;25;:;12;0;:;0;25;15;242;0;0;:;:;:;:;7;22;110;159;:;0;:;0;0;0;0;0;15;0;0;23;:;21;0;0;5;:;:;:;0;28;0;0;0;0;0;0;:;:;:;0;0;:;0;4;0;96;0;0;0;22;8;51;:;120;35;7;0;0;:;24;0;6;8;0;24;0;0;0;0;:;0;0;0;:;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87
030104 St. Hanshaugen;30104;St. Hanshaugen;8385;205;:;98;:;78;1632;12;9;78;0;43;167;0;38;17;20;24;94;37;:;54;0;0;0;851;74;121;0;118;148;20;203;202;21;74;247;0;35;48;19;0;123;15;12;23;78;6;50;0;0;0;30;7;:;0;0;4;0;0;0;9;56;95;29;0;0;17;34;9;4;11;4;35;:;15;0;7;7;:;:;:;69;:;10;6;0;:;29;:;0;0;:;:;:;4;:;0;11;380;:;25;0;16;13;0;0;17;31;12;0;60;6;7;0;6;0;0;14;32;:;204;13;10;11;193;10;120;200;24;33;:;:;14;114;0;25;4;5;4;:;17;:;13;0;:;:;33;27;110;0;0;:;9;0;5;:;27;91;172;0;0;0;0;:;0;0;0;25;0;5;17;0;9;:;0;:;:;:;4;:;25;0;:;0;0;0;:;4;0;:;0;0;0;0;6;0;160;0;0;0;22;:;87;0;120;33;5;0;0;:;22;:;5;14;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
030105 Frogner;30105;Frogner;13196;423;:;172;5;127;2638;13;42;85;:;91;543;0;93;11;43;41;229;93;:;104;0;:;:;840;137;165;0;223;254;10;463;402;58;131;498;8;93;89;52;0;181;36;31;57;80;12;84;0;0;0;29;16;:;0;0;7;:;0;0;:;72;44;27;:;0;10;19;:;0;8;12;20;:;20;0;6;6;4;0;:;95;:;:;:;:;0;25;4;0;:;7;11;0;10;0;:;:;204;:;15;0;43;4;0;0;25;24;:;:;56;7;5;0;23;0;0;37;35;5;358;9;14;28;347;19;157;458;27;67;7;4;20;218;0;65;5;:;:;:;50;:;38;:;0;:;19;23;89;0;0;11;13;0;:;:;47;136;97;0;0;:;0;0;0;0;0;65;0;7;23;0;17;0;0;:;:;:;6;0;42;0;0;0;0;0;:;4;:;:;0;0;:;0;5;0;405;0;0;0;46;9;185;0;134;65;16;0;0;:;38;0;7;35;0;78;:;0;0;0;:;0;0;0;0;0;0;0;0;16;0;0;0;:;0;0;0;0;0;0;0;0;0;0;75
030106 Ullern;30106;Ullern;4769;202;0;70;:;57;508;9;17;19;:;23;122;0;29;12;15;30;57;31;0;47;0;0;0;626;39;66;0;97;66;8;205;137;20;34;198;:;26;33;20;0;56;17;17;22;39;:;20;0;0;0;8;4;0;0;0;0;0;0;0;0;33;26;5;0;0;5;12;0;0;:;:;9;:;8;0;:;0;:;:;0;43;0;0;6;0;0;12;:;0;0;:;:;0;:;0;0;:;82;:;:;0;10;4;0;:;5;13;0;:;38;5;:;0;13;0;:;21;16;:;282;:;0;12;104;8;56;163;16;23;0;:;:;106;:;33;0;:;0;:;9;:;14;0;:;0;5;8;73;0;0;:;5;0;0;:;6;48;38;:;0;0;0;0;0;0;0;16;0;0;10;:;6;:;0;:;0;4;:;0;16;0;0;0;0;0;0;0;:;:;0;0;0;:;:;0;110;:;0;0;14;:;43;0;26;14;5;0;0;0;13;0;:;15;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
030107 Vestre Aker;30107;Veste Aker;6736;332;:;86;:;62;697;7;25;35;0;47;128;0;42;16;18;16;57;44;0;76;:;:;0;986;34;72;0;177;51;:;243;199;38;36;326;:;50;38;24;0;41;8;21;49;28;6;20;0;0;0;6;7;:;0;0;:;0;0;0;:;36;55;18;0;0;5;8;:;:;13;:;12;:;14;0;:;:;:;4;0;31;0;:;:;0;0;29;:;0;0;:;6;0;:;0;0;:;152;:;10;0;20;:;0;0;4;11;:;:;45;:;4;0;13;0;0;18;18;:;632;0;4;21;114;17;73;159;8;22;0;:;9;154;:;22;0;:;:;0;12;:;10;0;:;0;9;9;114;0;0;:;10;:;5;:;4;47;43;0;0;0;0;0;:;0;0;23;0;:;10;0;:;:;0;:;0;0;:;:;17;0;0;0;0;0;:;:;0;:;0;0;0;0;4;0;206;0;0;0;13;:;53;:;51;20;12;0;0;:;18;0;:;12;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80
030108 Nordre Aker;30108;Nordre Aker;7153;246;:;82;0;160;660;16;18;37;:;38;146;0;42;13;10;40;65;55;:;58;0;0;:;690;40;133;0;202;95;5;152;206;30;57;273;8;68;47;27;0;76;31;27;43;40;5;51;0;0;0;16;5;0;0;0;13;0;0;0;:;67;208;17;:;0;18;101;:;:;21;4;42;0;14;0;4;4;5;9;0;64;0;0;:;:;0;28;10;0;0;:;:;:;:;0;0;:;230;:;14;0;25;28;0;:;:;31;14;:;50;5;13;0;29;0;:;15;57;6;138;20;11;9;121;17;116;243;14;37;4;:;12;284;0;32;:;0;:;:;9;:;12;0;:;:;11;49;173;0;0;4;5;:;0;8;5;69;90;:;0;0;0;0;0;0;0;25;0;4;10;:;10;0;0;0;0;:;:;0;20;0;0;0;0;0;:;4;0;:;0;0;0;0;:;0;150;0;0;0;12;:;49;:;49;23;17;0;0;:;19;:;:;4;0;28;0;0;0;0;:;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
