Fylke nr & navn;fylke_nr;"Fylke
navn";landbakgrunn.001;landbakgrunn.101;landbakgrunn.102;landbakgrunn.103;landbakgrunn.104;landbakgrunn.105;landbakgrunn.106;landbakgrunn.111;landbakgrunn.112;landbakgrunn.113;landbakgrunn.114;landbakgrunn.115;landbakgrunn.117;landbakgrunn.118;landbakgrunn.119;landbakgrunn.120;landbakgrunn.121;landbakgrunn.122;landbakgrunn.123;landbakgrunn.124;landbakgrunn.126;landbakgrunn.127;landbakgrunn.128;landbakgrunn.129;landbakgrunn.130;landbakgrunn.131;landbakgrunn.132;landbakgrunn.133;landbakgrunn.134;landbakgrunn.136;landbakgrunn.137;landbakgrunn.138;landbakgrunn.139;landbakgrunn.140;landbakgrunn.141;landbakgrunn.143;landbakgrunn.144;landbakgrunn.146;landbakgrunn.148;landbakgrunn.152;landbakgrunn.153;landbakgrunn.154;landbakgrunn.155;landbakgrunn.156;landbakgrunn.157;landbakgrunn.158;landbakgrunn.159;landbakgrunn.160;landbakgrunn.161;landbakgrunn.162;landbakgrunn.163;landbakgrunn.164;landbakgrunn.203;landbakgrunn.204;landbakgrunn.205;landbakgrunn.209;landbakgrunn.213;landbakgrunn.216;landbakgrunn.220;landbakgrunn.229;landbakgrunn.235;landbakgrunn.239;landbakgrunn.241;landbakgrunn.246;landbakgrunn.249;landbakgrunn.250;landbakgrunn.254;landbakgrunn.256;landbakgrunn.260;landbakgrunn.264;landbakgrunn.266;landbakgrunn.270;landbakgrunn.273;landbakgrunn.276;landbakgrunn.278;landbakgrunn.279;landbakgrunn.281;landbakgrunn.283;landbakgrunn.286;landbakgrunn.289;landbakgrunn.296;landbakgrunn.299;landbakgrunn.303;landbakgrunn.304;landbakgrunn.306;landbakgrunn.307;landbakgrunn.308;landbakgrunn.309;landbakgrunn.313;landbakgrunn.319;landbakgrunn.322;landbakgrunn.323;landbakgrunn.326;landbakgrunn.329;landbakgrunn.333;landbakgrunn.336;landbakgrunn.337;landbakgrunn.338;landbakgrunn.339;landbakgrunn.346;landbakgrunn.355;landbakgrunn.356;landbakgrunn.357;landbakgrunn.359;landbakgrunn.369;landbakgrunn.373;landbakgrunn.376;landbakgrunn.379;landbakgrunn.386;landbakgrunn.389;landbakgrunn.393;landbakgrunn.404;landbakgrunn.406;landbakgrunn.407;landbakgrunn.409;landbakgrunn.410;landbakgrunn.412;landbakgrunn.416;landbakgrunn.420;landbakgrunn.424;landbakgrunn.426;landbakgrunn.428;landbakgrunn.430;landbakgrunn.432;landbakgrunn.436;landbakgrunn.444;landbakgrunn.448;landbakgrunn.452;landbakgrunn.456;landbakgrunn.460;landbakgrunn.464;landbakgrunn.476;landbakgrunn.478;landbakgrunn.480;landbakgrunn.484;landbakgrunn.488;landbakgrunn.492;landbakgrunn.496;landbakgrunn.500;landbakgrunn.502;landbakgrunn.504;landbakgrunn.508;landbakgrunn.510;landbakgrunn.512;landbakgrunn.513;landbakgrunn.516;landbakgrunn.520;landbakgrunn.524;landbakgrunn.528;landbakgrunn.534;landbakgrunn.537;landbakgrunn.540;landbakgrunn.544;landbakgrunn.548;landbakgrunn.550;landbakgrunn.552;landbakgrunn.554;landbakgrunn.564;landbakgrunn.568;landbakgrunn.575;landbakgrunn.578;landbakgrunn.601;landbakgrunn.602;landbakgrunn.603;landbakgrunn.604;landbakgrunn.605;landbakgrunn.606;landbakgrunn.608;landbakgrunn.612;landbakgrunn.613;landbakgrunn.616;landbakgrunn.620;landbakgrunn.622;landbakgrunn.624;landbakgrunn.629;landbakgrunn.631;landbakgrunn.632;landbakgrunn.636;landbakgrunn.644;landbakgrunn.648;landbakgrunn.650;landbakgrunn.652;landbakgrunn.654;landbakgrunn.657;landbakgrunn.658;landbakgrunn.659;landbakgrunn.660;landbakgrunn.661;landbakgrunn.664;landbakgrunn.668;landbakgrunn.672;landbakgrunn.676;landbakgrunn.677;landbakgrunn.678;landbakgrunn.679;landbakgrunn.680;landbakgrunn.681;landbakgrunn.684;landbakgrunn.685;landbakgrunn.686;landbakgrunn.687;landbakgrunn.705;landbakgrunn.710;landbakgrunn.715;landbakgrunn.720;landbakgrunn.725;landbakgrunn.730;landbakgrunn.735;landbakgrunn.740;landbakgrunn.745;landbakgrunn.755;landbakgrunn.760;landbakgrunn.765;landbakgrunn.770;landbakgrunn.775;landbakgrunn.802;landbakgrunn.805;landbakgrunn.806;landbakgrunn.807;landbakgrunn.808;landbakgrunn.809;landbakgrunn.811;landbakgrunn.812;landbakgrunn.813;landbakgrunn.814;landbakgrunn.815;landbakgrunn.816;landbakgrunn.817;landbakgrunn.818;landbakgrunn.819;landbakgrunn.820;landbakgrunn.821;landbakgrunn.822;landbakgrunn.826;landbakgrunn.827;landbakgrunn.828;landbakgrunn.829;landbakgrunn.830;landbakgrunn.832;landbakgrunn.833;landbakgrunn.835;landbakgrunn.839;landbakgrunn.840;landbakgrunn.980;landbakgrunn.990;landbakgrunn.970
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
00 Hele landet;0;Hele landet;633110;19220;182;6252;772;7487;36369;729;1068;4914;9;4791;4921;0;1711;933;953;3017;3122;8920;72;7260;22;40;11;84004;2414;10116;3;32917;4686;635;13975;16412;1298;10939;24336;317;3838;3244;1194;0;13315;2425;3538;1950;3508;362;9914;0;0;0;1180;442;75;3;3;1068;3;30;9;261;12366;6217;958;52;12;1129;1775;224;47;527;394;1401;205;2118;5;965;480;194;76;32;5357;41;46;174;71;47;1566;153;0;3;225;604;3;219;12;10;493;26162;181;2629;6;900;691;20;112;948;975;354;30;12880;299;503;10;810;355;10;3382;9019;214;18056;306;228;664;9485;1254;21963;16294;628;858;342;408;852;7908;28;966;344;139;187;98;1738;83;644;9;121;20;3286;1335;18832;18;30;355;403;108;72;439;3080;15887;13580;316;0;18;3;11;10;6;0;1717;3;127;885;18;717;15;3;175;34;100;145;8;1037;0;11;3;0;0;26;147;53;187;0;0;12;4;259;0;8301;23;0;0;814;276;3847;80;6218;1693;444;3;3;93;1163;36;210;933;0;1430;5;0;0;0;35;0;6;6;3;3;0;0;0;494;0;0;0;3;0;0;3;0;3;0;3;0;0;0;0
01 stfold;1;stfold;33686;1169;10;256;29;433;2257;50;44;144;0;208;111;0;79;52;30;197;78;371;:;256;:;0;:;5232;62;300;0;1436;191;19;406;656;66;477;817;31;159;184;61;0;1704;178;173;89;264;39;1690;0;0;0;67;31;0;0;0;50;0;:;0;6;224;130;38;0;0;23;28;:;:;20;21;81;10;218;0;43;22;:;:;0;191;0;:;18;6;:;78;:;0;:;9;49;0;5;0;:;16;1806;6;50;0;38;25;0;0;47;73;11;0;459;6;24;0;6;:;0;79;97;8;801;24;7;16;178;38;2853;965;24;31;23;:;41;312;:;24;43;9;4;4;95;4;14;0;4;0;144;20;614;0;:;7;6;:;11;17;257;827;1100;13;0;:;0;:;0;0;0;49;0;:;40;0;16;0;0;6;:;:;6;0;29;0;0;0;0;0;0;10;:;:;0;0;:;0;9;0;277;:;0;0;22;7;135;10;186;47;22;0;0;7;39;:;7;9;0;29;0;0;0;0;:;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;:;0;0;0;55
02 Akershus;2;Akershus;80336;3220;16;861;42;1073;5670;92;135;430;0;674;505;0;217;115;148;368;358;908;7;748;:;4;:;11847;254;956;0;3993;477;63;2095;1933;197;978;2803;40;403;502;165;0;1231;307;388;258;419;51;1329;0;0;0;98;51;6;0;:;74;0;0;4;19;1124;530;122;16;:;104;207;31;:;65;47;204;18;190;0;74;36;25;10;0;420;:;:;22;11;4;142;17;0;:;34;81;0;18;0;:;28;1689;16;197;:;113;88;:;7;134;116;29;:;1815;35;38;:;77;5;:;312;1541;20;2744;26;23;54;1469;175;2497;3188;89;111;45;15;116;1027;8;163;26;14;24;9;149;:;69;0;20;0;207;128;3324;0;5;34;49;17;:;52;265;1685;2355;21;0;:;0;0;0;0;0;194;0;17;115;:;70;0;0;32;0;9;18;0;120;0;:;0;0;0;5;15;7;21;0;0;:;0;24;0;1176;0;0;0;91;21;417;9;730;145;43;0;:;12;122;:;23;71;0;192;:;0;0;0;4;0;0;0;0;0;0;0;0;41;0;0;0;:;0;0;0;0;0;0;0;0;0;0;45
03 Oslo;3;Oslo;151722;3294;16;1161;52;935;13162;288;221;1138;6;624;1841;0;608;148;203;710;1084;885;11;696;:;6;4;13595;694;1858;:;2472;1443;165;2591;2834;289;3871;3246;89;688;632;284;0;2541;1302;503;457;1154;94;1809;0;0;0;468;91;10;0;0;119;4;:;:;68;1679;2091;288;24;:;662;703;52;22;182;230;418;45;311;:;111;81;41;22;16;3575;19;30;66;6;25;523;56;0;:;68;98;:;118;5;:;163;8757;39;297;0;215;188;:;40;330;329;64;11;2686;75;114;4;338;8;:;243;4397;50;4838;124;99;246;3322;212;5353;4881;188;306;84;40;142;2335;4;293;74;35;33;38;643;11;171;:;31;6;368;473;12155;:;4;92;86;21;20;111;497;1850;3863;59;0;5;0;:;:;:;0;334;0;41;294;12;337;11;:;44;11;40;38;4;283;0;:;0;0;0;4;44;14;27;0;0;:;:;57;0;1837;:;0;0;237;80;872;22;1679;503;152;:;:;23;424;5;54;151;0;429;:;0;0;0;11;0;:;0;:;:;0;0;0;100;0;0;0;:;0;0;0;0;0;:;0;0;0;0;56
04 Hedmark;4;Hedmark;14783;552;4;159;11;158;1279;12;25;170;0;219;35;0;23;16;17;105;32;255;:;374;0;5;0;1604;18;207;:;854;53;4;217;370;40;182;621;11;103;79;29;0;415;22;91;40;64;:;275;0;0;0;18;:;5;0;0;65;0;:;0;8;597;122;9;:;0;13;11;0;:;11;:;32;:;67;:;13;18;5;:;0;55;:;0;:;8;0;20;:;0;0;5;14;0;:;0;0;7;892;0;62;0;14;15;0;0;35;10;17;0;430;:;5;0;:;0;0;136;28;:;288;:;4;12;50;18;502;402;9;16;6;:;9;99;0;6;9;:;:;4;46;:;15;0;0;0;108;17;38;0;:;10;:;:;0;8;89;534;413;15;0;:;0;:;0;0;0;33;0;:;12;0;20;0;:;0;:;:;5;0;6;0;0;0;0;0;0;:;0;:;0;0;0;0;4;0;151;:;0;0;6;6;54;0;95;34;5;0;0;:;35;:;:;:;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68
05 Oppland;5;Oppland;14450;704;6;107;12;83;612;19;35;113;0;117;52;0;38;14;13;54;32;228;:;427;0;:;:;1890;38;185;0;1251;51;5;206;400;38;125;567;7;115;82;28;0;478;27;51;87;58;7;246;0;0;0;27;:;:;0;0;33;0;0;0;:;695;142;4;0;0;6;5;5;0;:;4;15;12;94;0;19;8;:;0;0;37;:;0;4;:;0;15;:;0;0;6;12;0;:;0;0;9;842;7;87;0;16;8;:;4;9;20;:;0;375;:;:;0;5;12;0;201;27;:;271;:;10;17;65;12;546;400;9;6;6;:;16;203;:;6;10;:;0;:;39;:;11;0;0;0;100;10;81;0;0;9;:;0;:;12;89;439;220;21;0;:;0;0;0;0;0;31;0;:;19;0;10;:;0;0;0;0;:;:;9;0;0;0;0;0;0;:;:;0;0;0;0;0;:;0;131;0;0;0;12;6;41;0;80;20;7;0;:;0;9;:;:;4;0;19;0;0;0;0;:;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57
06 Buskerud;6;Buskerud;37429;1517;7;241;24;609;1573;18;35;335;0;281;166;:;64;67;48;194;115;718;6;423;5;:;0;6138;165;329;0;2345;214;48;701;867;68;1619;1349;15;148;165;76;0;884;98;110;82;140;21;899;0;0;0;37;29;:;0;0;72;0;0;0;18;534;202;30;0;:;54;87;13;0;10;29;55;14;171;0;93;23;6;8;0;156;0;:;7;:;:;63;5;0;0;:;33;0;14;0;:;40;1191;7;152;0;46;29;0;19;44;17;18;:;1307;10;9;0;8;0;:;168;260;9;750;9;8;15;1051;40;1567;966;16;20;14;11;40;362;0;63;13;5;12;:;62;5;19;0;:;:;225;8;809;0;4;22;32;7;4;36;156;896;712;10;0;0;0;:;:;0;0;70;:;6;29;:;52;0;0;5;:;:;8;:;51;0;:;0;0;0;7;:;:;:;0;0;0;0;6;0;333;:;0;0;51;24;175;:;308;77;18;0;0;7;46;0;27;17;0;58;0;0;0;0;:;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
07 Vestfold;7;Vestfold;24935;1106;4;204;17;267;1378;14;33;148;0;98;102;0;44;28;46;89;113;389;9;232;0;:;0;3544;126;225;0;2288;148;11;616;534;74;203;1087;22;145;151;56;0;904;117;135;57;91;17;682;0;0;0;19;17;11;0;0;22;0;:;0;14;265;97;42;0;0;62;16;:;:;9;6;61;:;65;:;23;40;:;:;:;71;0;:;11;:;:;35;5;0;0;:;5;0;5;0;0;11;832;8;106;0;49;33;0;4;20;43;19;:;484;6;10;0;12;0;0;12;102;8;677;4;7;11;264;34;1537;381;21;33;13;:;20;216;0;73;26;4;:;:;112;5;18;0;:;0;191;18;148;0;:;7;16;13;:;11;244;645;855;4;0;:;0;0;:;0;0;73;0;:;35;0;26;:;0;:;:;:;:;:;40;0;:;0;0;0;:;5;4;:;0;0;0;0;10;0;320;0;0;0;27;4;191;5;110;53;14;0;0;5;27;4;6;14;0;50;0;0;0;0;0;0;:;0;0;0;0;0;0;30;0;0;0;0;0;0;:;0;:;0;0;0;0;0;60
08 Telemark;8;Telemark;16216;729;4;156;28;183;580;14;58;83;0;69;64;0;23;19;12;175;32;119;:;501;0;0;0;1732;44;190;0;846;91;28;283;386;24;164;689;7;102;53;37;0;374;58;34;46;66;8;476;0;0;0;22;46;:;0;0;39;0;0;0;:;524;113;19;0;0;28;29;5;0;:;:;67;4;73;0;34;15;:;:;:;53;0;0;:;0;:;28;:;0;0;9;49;0;0;0;0;:;1220;6;113;0;17;32;0;:;17;21;8;:;423;4;12;0;:;70;0;236;76;16;402;10;:;4;66;17;733;486;13;10;14;4;14;171;:;29;:;:;8;0;55;:;18;0;4;0;156;63;89;:;:;19;5;:;0;13;104;547;301;:;0;0;:;0;0;0;0;31;0;:;20;0;11;0;0;:;0;:;4;0;27;0;0;:;0;0;:;:;:;0;0;0;0;0;9;0;179;0;0;0;24;11;133;:;184;53;21;0;0;7;18;:;9;9;0;24;0;0;0;0;:;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
