"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";landbakgrunn.001;landbakgrunn.101;landbakgrunn.102;landbakgrunn.103;landbakgrunn.104;landbakgrunn.105;landbakgrunn.106;landbakgrunn.111;landbakgrunn.112;landbakgrunn.113;landbakgrunn.114;landbakgrunn.115;landbakgrunn.117;landbakgrunn.118;landbakgrunn.119;landbakgrunn.120;landbakgrunn.121;landbakgrunn.122;landbakgrunn.123;landbakgrunn.124;landbakgrunn.126;landbakgrunn.127;landbakgrunn.128;landbakgrunn.129;landbakgrunn.130;landbakgrunn.131;landbakgrunn.132;landbakgrunn.133;landbakgrunn.134;landbakgrunn.136;landbakgrunn.137;landbakgrunn.138;landbakgrunn.139;landbakgrunn.140;landbakgrunn.141;landbakgrunn.143;landbakgrunn.144;landbakgrunn.146;landbakgrunn.148;landbakgrunn.152;landbakgrunn.153;landbakgrunn.154;landbakgrunn.155;landbakgrunn.156;landbakgrunn.157;landbakgrunn.158;landbakgrunn.159;landbakgrunn.160;landbakgrunn.161;landbakgrunn.162;landbakgrunn.163;landbakgrunn.164;landbakgrunn.203;landbakgrunn.204;landbakgrunn.205;landbakgrunn.209;landbakgrunn.213;landbakgrunn.216;landbakgrunn.220;landbakgrunn.229;landbakgrunn.235;landbakgrunn.239;landbakgrunn.241;landbakgrunn.246;landbakgrunn.249;landbakgrunn.250;landbakgrunn.254;landbakgrunn.256;landbakgrunn.260;landbakgrunn.264;landbakgrunn.266;landbakgrunn.270;landbakgrunn.273;landbakgrunn.276;landbakgrunn.278;landbakgrunn.279;landbakgrunn.281;landbakgrunn.283;landbakgrunn.286;landbakgrunn.289;landbakgrunn.296;landbakgrunn.299;landbakgrunn.303;landbakgrunn.304;landbakgrunn.306;landbakgrunn.307;landbakgrunn.308;landbakgrunn.309;landbakgrunn.313;landbakgrunn.319;landbakgrunn.322;landbakgrunn.323;landbakgrunn.326;landbakgrunn.329;landbakgrunn.333;landbakgrunn.336;landbakgrunn.337;landbakgrunn.338;landbakgrunn.339;landbakgrunn.346;landbakgrunn.355;landbakgrunn.356;landbakgrunn.357;landbakgrunn.359;landbakgrunn.369;landbakgrunn.373;landbakgrunn.376;landbakgrunn.379;landbakgrunn.386;landbakgrunn.389;landbakgrunn.393;landbakgrunn.404;landbakgrunn.406;landbakgrunn.407;landbakgrunn.409;landbakgrunn.410;landbakgrunn.412;landbakgrunn.416;landbakgrunn.420;landbakgrunn.424;landbakgrunn.426;landbakgrunn.428;landbakgrunn.430;landbakgrunn.432;landbakgrunn.436;landbakgrunn.444;landbakgrunn.448;landbakgrunn.452;landbakgrunn.456;landbakgrunn.460;landbakgrunn.464;landbakgrunn.476;landbakgrunn.478;landbakgrunn.480;landbakgrunn.484;landbakgrunn.488;landbakgrunn.492;landbakgrunn.496;landbakgrunn.500;landbakgrunn.502;landbakgrunn.504;landbakgrunn.508;landbakgrunn.510;landbakgrunn.512;landbakgrunn.513;landbakgrunn.516;landbakgrunn.520;landbakgrunn.524;landbakgrunn.528;landbakgrunn.534;landbakgrunn.537;landbakgrunn.540;landbakgrunn.544;landbakgrunn.548;landbakgrunn.550;landbakgrunn.552;landbakgrunn.554;landbakgrunn.564;landbakgrunn.568;landbakgrunn.575;landbakgrunn.578;landbakgrunn.601;landbakgrunn.602;landbakgrunn.603;landbakgrunn.604;landbakgrunn.605;landbakgrunn.606;landbakgrunn.608;landbakgrunn.612;landbakgrunn.613;landbakgrunn.616;landbakgrunn.620;landbakgrunn.622;landbakgrunn.624;landbakgrunn.629;landbakgrunn.631;landbakgrunn.632;landbakgrunn.636;landbakgrunn.644;landbakgrunn.648;landbakgrunn.650;landbakgrunn.652;landbakgrunn.654;landbakgrunn.657;landbakgrunn.658;landbakgrunn.659;landbakgrunn.660;landbakgrunn.661;landbakgrunn.664;landbakgrunn.668;landbakgrunn.672;landbakgrunn.676;landbakgrunn.677;landbakgrunn.678;landbakgrunn.679;landbakgrunn.680;landbakgrunn.681;landbakgrunn.684;landbakgrunn.685;landbakgrunn.686;landbakgrunn.687;landbakgrunn.705;landbakgrunn.710;landbakgrunn.715;landbakgrunn.720;landbakgrunn.725;landbakgrunn.730;landbakgrunn.735;landbakgrunn.740;landbakgrunn.745;landbakgrunn.755;landbakgrunn.760;landbakgrunn.765;landbakgrunn.770;landbakgrunn.775;landbakgrunn.802;landbakgrunn.805;landbakgrunn.806;landbakgrunn.807;landbakgrunn.808;landbakgrunn.809;landbakgrunn.811;landbakgrunn.812;landbakgrunn.813;landbakgrunn.814;landbakgrunn.815;landbakgrunn.816;landbakgrunn.817;landbakgrunn.818;landbakgrunn.819;landbakgrunn.820;landbakgrunn.821;landbakgrunn.822;landbakgrunn.826;landbakgrunn.827;landbakgrunn.828;landbakgrunn.829;landbakgrunn.830;landbakgrunn.832;landbakgrunn.833;landbakgrunn.835;landbakgrunn.839;landbakgrunn.840;landbakgrunn.980;landbakgrunn.990;landbakgrunn.970
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
01 Halden;1;Halden;2986;118;:;29;:;32;349;5;11;10;0;18;23;0;6;8;6;8;4;12;0;41;0;0;:;329;4;20;0;109;19;0;42;62;8;40;100;:;19;23;8;0;73;39;14;13;12;7;346;0;0;0;4;:;0;0;0;14;0;0;0;:;17;6;:;0;0;0;0;0;0;:;0;:;:;21;0;5;0;0;0;0;15;0;0;0;0;0;:;0;0;0;:;19;0;:;0;0;0;257;:;:;0;:;:;0;0;:;11;0;0;28;0;:;0;0;0;0;0;13;0;55;8;0;:;14;9;119;74;:;11;:;:;:;17;:;4;:;:;0;0;6;:;0;0;0;0;:;5;32;0;0;0;0;:;7;:;16;69;44;0;0;0;0;0;0;0;0;8;0;0;:;0;0;0;0;0;0;0;0;0;:;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;:;:;8;0;10;7;:;0;0;0;:;0;0;0;0;:;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67
02 Indre Østfold;2;Indre Østfold;7007;238;0;45;:;95;415;14;8;24;0;73;22;0;14;18;:;94;12;120;0;98;:;0;0;1160;14;102;0;614;44;:;65;124;11;58;184;11;40;22;13;0;305;45;67;23;108;:;239;0;0;0;13;5;0;0;0;9;0;0;0;:;83;22;5;0;0;:;7;:;0;8;13;16;:;25;0;7;:;:;:;0;21;0;:;:;:;0;17;0;0;0;:;4;0;0;0;0;7;195;:;10;0;7;5;0;0;7;:;:;0;68;:;0;0;:;0;0;70;17;:;217;5;:;4;28;8;455;136;4;4;8;:;10;58;:;:;10;0;0;:;19;:;:;0;:;0;:;:;90;0;0;0;:;0;0;:;70;227;196;:;0;0;0;0;0;0;0;9;0;:;:;0;13;0;0;:;0;:;:;0;7;0;0;0;0;0;0;4;:;0;0;0;:;0;0;0;55;0;0;0;8;0;18;:;49;13;8;0;0;:;5;:;4;:;0;7;0;0;0;0;:;0;0;0;0;0;0;0;0;:;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
03 Mosseregionen;3;Mosseregionen;7139;287;:;69;16;93;450;6;6;21;0;42;22;0;34;5;11;19;24;106;:;45;0;0;0;1378;7;42;0;217;40;7;118;189;15;266;182;4;37;58;8;0;125;25;30;9;42;13;175;0;0;0;15;19;0;0;0;:;0;:;0;:;52;59;8;0;0;10;8;0;:;:;:;5;0;10;0;19;:;:;0;0;23;0;:;14;:;:;21;0;0;0;5;9;0;:;0;:;:;360;:;13;0;14;6;0;0;:;12;:;0;68;4;4;0;:;:;0;:;7;0;146;:;:;4;28;11;194;158;7;6;:;:;23;66;0;12;:;:;0;:;37;0;:;0;0;0;13;6;316;0;:;:;:;0;0;:;32;161;582;0;0;:;0;0;0;0;0;7;0;:;:;0;0;0;0;0;:;0;:;0;13;0;0;0;0;0;0;:;0;:;0;0;0;0;:;0;73;0;0;0;:;:;42;:;61;12;6;0;0;:;15;0;:;5;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86
04 Nedre Glomma;4;Nedre Glomma;16554;526;6;113;11;213;1043;25;19;89;0;75;44;0;25;21;11;76;38;133;0;72;0;0;0;2365;37;136;0;496;88;11;181;281;32;113;351;15;63;81;32;0;1201;69;62;44;102;18;930;0;0;0;35;6;0;0;0;25;0;0;0;0;72;43;23;0;0;10;13;:;0;7;6;57;6;162;0;12;17;:;0;0;132;0;0;:;0;0;37;:;0;:;:;17;0;:;0;0;6;994;:;25;0;14;12;0;0;35;47;8;0;295;:;17;0;:;:;0;7;60;7;383;8;:;7;108;10;2085;597;10;10;12;0;7;171;0;5;29;5;4;:;33;:;12;0;:;0;126;7;176;0;0;6;4;:;4;10;139;370;278;11;0;0;0;:;0;0;0;25;0;0;33;0;:;0;0;5;0;:;:;0;8;0;0;0;0;0;0;:;:;:;0;0;0;0;6;0;130;:;0;0;10;5;67;7;66;15;7;0;0;5;18;:;:;:;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;:;0;0;0;48
05 Akershus Vest;5;Akershus Vest;27613;1176;:;262;21;383;2087;34;53;129;0;177;274;0;78;29;66;84;160;228;:;300;:;:;:;4768;91;344;0;709;182;27;1056;743;87;194;879;10;137;149;63;0;439;103;78;115;166;15;306;0;0;0;38;8;:;0;0;30;0;0;:;11;387;180;49;7;:;29;48;17;0;8;11;53;:;58;0;43;19;10;0;0;111;:;:;6;:;0;53;4;0;0;16;28;0;9;0;0;10;747;6;59;0;50;21;:;:;30;41;9;:;665;7;22;:;30;5;0;153;281;9;1208;12;11;16;596;104;730;1186;37;55;15;:;60;462;5;124;7;5;12;:;46;0;42;0;13;0;75;27;769;0;:;21;27;5;:;24;62;293;316;6;0;0;0;0;0;0;0;101;0;6;41;0;9;0;0;9;0;:;:;0;50;0;0;0;0;0;:;4;:;8;0;0;:;0;9;0;632;0;0;0;39;11;162;:;207;76;17;0;:;:;57;0;8;42;0;100;:;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;:;0;0;0;0;0;0;0;0;0;0;52
06 Follo;6;Follo;16151;837;:;189;7;217;1385;19;36;60;0;153;98;0;70;34;30;102;86;155;0;226;:;:;0;1872;33;196;0;692;148;15;481;309;65;181;758;18;79;114;44;0;268;78;51;53;74;13;417;0;0;0;19;5;:;0;0;24;0;0;0;0;251;221;40;:;0;28;24;:;0;10;8;50;5;53;0;16;10;9;8;0;65;0;0;9;:;4;38;9;0;0;9;33;0;4;0;0;5;484;4;53;:;34;44;0;:;41;46;13;:;219;5;7;0;33;0;:;20;106;5;501;5;8;15;267;17;527;493;28;17;10;5;16;242;:;21;4;:;:;:;31;:;13;0;:;0;36;77;503;0;0;4;8;:;0;17;66;319;279;:;0;:;0;0;0;0;0;48;0;7;26;:;14;0;0;13;0;:;6;0;26;0;:;0;0;0;0;4;:;4;0;0;:;0;7;0;249;0;0;0;26;5;99;4;162;32;11;0;:;:;16;:;11;9;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45
07 Nedre Romerike;7;Nedre Romerike;24997;759;6;259;10;276;1357;26;25;163;0;242;96;0;43;34;31;69;83;341;5;149;:;0;0;3281;93;277;0;1574;87;15;376;540;33;509;771;9;116;177;38;0;280;99;153;62;121;14;414;0;0;0;29;30;:;0;0;15;0;0;0;5;370;103;25;:;0;31;116;12;:;22;21;69;9;61;0;14;6;:;:;0;179;:;:;5;6;0;44;:;0;0;6;14;0;4;0;0;9;302;6;73;0;25;15;0;:;42;22;:;:;687;17;4;:;8;0;0;126;992;5;557;:;4;13;496;47;884;1255;16;28;16;5;26;256;0;8;14;4;5;:;49;0;7;0;:;0;62;12;1570;0;4;8;9;7;:;8;123;582;1538;13;0;:;0;0;0;0;0;30;0;:;35;0;27;0;0;:;0;:;6;0;30;0;0;0;0;0;:;:;:;8;0;0;:;0;:;0;189;0;0;0;14;:;81;4;236;14;12;0;0;:;32;:;:;16;0;26;0;0;0;0;:;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
08 Øvre Romerike;8;Øvre Romerike;11575;448;5;151;4;197;841;13;21;78;0;102;37;0;26;18;21;113;29;184;0;73;0;:;0;1926;37;139;0;1018;60;6;182;341;12;94;395;:;71;62;20;0;244;27;106;28;58;9;192;0;0;0;12;8;:;0;:;5;0;0;:;:;116;26;8;4;0;16;19;0;0;25;7;32;:;18;0;:;:;4;:;0;65;0;0;:;:;0;7;:;0;:;:;6;0;:;0;:;4;156;0;12;0;4;8;0;:;21;7;4;0;244;6;5;0;6;0;0;13;162;:;478;7;0;10;110;7;356;254;8;11;4;:;14;67;0;10;:;:;4;:;23;0;7;0;:;0;34;12;482;0;0;:;5;4;0;:;14;491;222;0;0;0;0;0;0;0;0;15;0;:;13;0;20;0;0;8;0;:;:;0;14;0;0;0;0;0;0;4;:;:;0;0;0;0;7;0;106;0;0;0;12;:;75;0;125;23;:;0;:;:;17;:;:;4;0;11;0;0;0;0;:;0;0;0;0;0;0;0;0;:;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69
09 Oslo;9;Oslo;151722;3294;16;1161;52;935;13162;288;221;1138;6;624;1841;0;608;148;203;710;1084;885;11;696;:;6;4;13595;694;1858;:;2472;1443;165;2591;2834;289;3871;3246;89;688;632;284;0;2541;1302;503;457;1154;94;1809;0;0;0;468;91;10;0;0;119;4;:;:;68;1679;2091;288;24;:;662;703;52;22;182;230;418;45;311;:;111;81;41;22;16;3575;19;30;66;6;25;523;56;0;:;68;98;:;118;5;:;163;8757;39;297;0;215;188;:;40;330;329;64;11;2686;75;114;4;338;8;:;243;4397;50;4838;124;99;246;3322;212;5353;4881;188;306;84;40;142;2335;4;293;74;35;33;38;643;11;171;:;31;6;368;473;12155;:;4;92;86;21;20;111;497;1850;3863;59;0;5;0;:;:;:;0;334;0;41;294;12;337;11;:;44;11;40;38;4;283;0;:;0;0;0;4;44;14;27;0;0;:;:;57;0;1837;:;0;0;237;80;872;22;1679;503;152;:;:;23;424;5;54;151;0;429;:;0;0;0;11;0;:;0;:;:;0;0;0;100;0;0;0;:;0;0;0;0;0;:;0;0;0;0;56
