Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+
Alder;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
00 Hele landet;0;Hele landet;375744;618117;262789;684764;1757880;711040;698722;12777;42551;22484;128016;341316;56123;29843;362967;575566;240305;556748;1416564;654917;668879;192876;316066;135539;349592;905409;359026;308926;6474;21766;11964;63371;184951;30450;12736;186402;294300;123575;286221;720458;328576;296190;182868;302051;127250;335172;852471;352014;389796;6303;20785;10520;64645;156365;25673;17107;176565;281266;116730;270527;696106;326341;372689
01 Østfold;1;Østfold;19191;34522;14958;33352;96955;42660;43324;540;2398;1593;6053;17442;3390;2270;18651;32124;13365;27299;79513;39270;41054;9903;17849;7656;17154;49438;21196;18965;266;1273;827;3053;9263;1868;973;9637;16576;6829;14101;40175;19328;17992;9288;16673;7302;16198;47517;21464;24359;274;1125;766;3000;8179;1522;1297;9014;15548;6536;13198;39338;19942;23062
02 Akershus;2;Akershus;44658;77875;30716;63926;208766;76544;73272;1367;4867;2503;13591;45492;7807;4709;43291;73008;28213;50335;163274;68737;68563;22788;39683;15908;32714;105258;38626;32605;734;2415;1318;6627;24350;4192;1912;22054;37268;14590;26087;80908;34434;30693;21870;38192;14808;31212;103508;37918;40667;633;2452;1185;6964;21142;3615;2797;21237;35740;13623;24248;82366;34303;37870
03 Oslo;3;Oslo;51877;62133;23587;113731;245564;71512;66059;2061;5770;3572;33295;84988;14557;7479;49816;56363;20015;80436;160576;56955;58580;26584;31679;11982;54228;128565;35425;27681;1050;2947;1845;15589;46581;8016;3284;25534;28732;10137;38639;81984;27409;24397;25293;30454;11605;59503;116999;36087;38378;1011;2823;1727;17706;38407;6541;4195;24282;27631;9878;41797;78592;29546;34183
04 Hedmark;4;Hedmark;11768;22212;10013;22158;62375;31957;33950;332;1308;779;2716;7302;1490;856;11436;20904;9234;19442;55073;30467;33094;6092;11384;5217;11511;31548;15911;15142;173;690;420;1401;3722;737;347;5919;10694;4797;10110;27826;15174;14795;5676;10828;4796;10647;30827;16046;18808;159;618;359;1315;3580;753;509;5517;10210;4437;9332;27247;15293;18299
05 Oppland;5;Oppland;11394;21757;9639;21867;61154;29967;32042;314;1299;669;2896;7262;1288;722;11080;20458;8970;18971;53892;28679;31320;5829;11138;5048;11362;31192;15129;14219;152;673;376;1478;3865;702;286;5677;10465;4672;9884;27327;14427;13933;5565;10619;4591;10505;29962;14838;17823;162;626;293;1418;3397;586;436;5403;9993;4298;9087;26565;14252;17387
06 Buskerud;6;Buskerud;19075;33017;13685;32375;94870;39795;39411;794;2812;1404;6796;20455;3282;1886;18281;30205;12281;25579;74415;36513;37525;9855;17007;7079;16658;48613;19884;17506;397;1450;753;3394;10946;1747;821;9458;15557;6326;13264;37667;18137;16685;9220;16010;6606;15717;46257;19911;21905;397;1362;651;3402;9509;1535;1065;8823;14648;5955;12315;36748;18376;20840
